id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
178,Patpatar,"Sios Ekonia Mitir",gfk,patp1243,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic","Debasish Roy","Simon Greenhill","@misc{Mitir-178-2005,  author = \"Sios Ekonia Mitir\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-3.71078200434872007563,152.44628906250000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
178,1,hand,lima,,,1,1
535,2,left,kais,"borrowing? TP kais",,15,1
892,3,right,sot,,,18,
1249,4,leg/foot,kaki,,,1,1?
1606,5,"to walk",han,,,2,1
1963,6,road/path,ngas,,,20,
2320,7,"to come",mai,,,1,1
2677,8,"to turn",pukus,,,35,
3034,9,"to swim",ias,,,19,
3391,10,dirty,bilinge,,,13,
3748,11,dust,kabus,,,22,?
4105,12,skin,palina,,,30,
4462,13,back,tuhu,,,12?,
4819,14,belly,bala,,,18,
5176,15,bone,sur,,,52,
5533,16,intestines,"pokona bala",,,28,
5890,17,liver,kat,,,1,1
6247,18,breast,sus,,,1,1
6604,19,shoulder,kalkale,,,25,
6961,20,"to know, be knowledgeable",minonas,,,,
7318,21,"to think",lilik,,,,
7675,22,"to fear",burut,,,28,
8032,23,blood,gap,,,5,
8389,24,head,ulu,,,1,1
9103,26,hair,hi,,,,
9460,27,nose,ngarngar,,,15,
9817,28,"to breathe",manasung,,,32,
10174,29,"to sniff, smell",singnane,,,98,
10531,30,mouth,ha,,,36,1?
10888,31,tooth,ngise,,,24,1
11245,32,tongue,karane,,,"7, 14",
11602,33,"to laugh",kurus,,,,
11959,34,"to cry",suah,,,,
12316,35,"to vomit",marmarue,,,18,
12673,36,"to spit",iabis,,,25,
13030,37,"to eat",ian,"[<M], cf. 143",,1,1?
13387,38,"to chew",musala,,,,
13744,39,"to cook",tutun,,,9,
14101,40,"to drink",mom,,,27,
14458,41,"to bite",karat,,,1,1
14815,42,"to suck",dup,,,37,?
15172,43,ear,talinga,,,1,1
15529,44,"to hear",hadade,,,,
15886,45,eye,mata,,,1,1
16243,46,"to see",nes,,,,
16600,47,"to yawn",momoiah,,,19,
73959,48,"to sleep",noh,,,8,
73960,48,"to sleep",kubaba,,,,
17314,49,"to lie down","noh napu",,,43,
18028,51,"to sit",kis,,,20,
74108,52,"to stand",tur,,,"2,69",1
74109,52,"to stand",tut,,,2,1
18742,53,"person/human being",tunatuno,,,48,
19099,54,man/male,tunan,,,44,
19456,55,woman/female,hahin,,,"1,106",1
19813,56,child,natu,,,5,
20170,57,husband,tunan,,,51,
20527,58,wife,hahin,,,"5, 68",
91265,59,mother,makai,,,,1
91266,59,mother,nana,,,"1, 83",
91325,60,father,tata,,,1,1
91326,60,father,mama,,,"1,10",
21598,61,house,hala,,,14,
21955,62,thatch/roof,"hala na ...",,,67,
22312,63,name,hinsang,,,66,
74817,64,"to say",ianga,,,,
74818,64,"to say",tange,,,,
23026,65,rope,kinau,,,39,
23383,66,"to tie up, fasten",kubus,,,51,
23740,67,"to sew",singit,,,43,
24097,68,needle,nil,"[Pidgin] loan?",L,,
24454,69,"to hunt",lampap,,,,
75254,70,"to shoot",lapot,,,,
75255,70,"to shoot",laplapot,,,,
25168,71,"to stab, pierce",sago,,,50,
25525,72,"to hit",lawat,,,,
75469,73,"to steal",kinau,,,21,
75470,73,"to steal",kikinau,,,21,
26239,74,"to kill",bubing,,,,
26596,75,"to die, be dead",mat,,,1,1
26953,76,"to live, be alive",lou,,,31,
27310,77,"to scratch",kas,,,5,1?
27667,78,"to cut, hack",kato,,,119,
28024,79,stick/wood,"subana daha",,,,
75891,80,"to split",paleng,,,88,
75892,80,"to split",palage,,,88,
28738,81,sharp,ian,,,14,
76002,82,"dull, blunt",buul,,,6,
76003,82,"dull, blunt","pai ian","'not' + 'sharp'",,X,
29452,83,"to work",papalin,,,45,
29809,84,"to plant",sinaso,,,28,
76184,85,"to choose",pilak,,,"1,28",?
76185,85,"to choose",pipilak,,,"1,28",?
30523,86,"to grow",kukur,,,,
30880,87,"to swell",sus,,,75,
31237,88,"to squeeze",pus,,,18,1
31594,89,"to hold",palim,,,,
76522,90,"to dig",kil,,,1,1
76523,90,"to dig",kikil,,,1,1
76584,91,"to buy",kul,,,15?,
76585,91,"to buy",kukul,,,15,
32665,92,"to open, uncover",papos,,,34,
33022,93,"to pound, beat",tut,"or 20?",,20,1
33379,94,"to throw",gugulum,,,,
76856,95,"to fall",puko,,,19,
76857,95,"to fall",sasot,,,,
