id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
179,Ponapean,"Blust, from: Rehg & Sohl (1979)",pon,pohn1238,"Rehg, K.L. & Sohl, D.G. (1979). Ponapean-English Dictionary. Pali Language Texts. University of Hawaii Press, Honolulu.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Micronesian, Micronesian Proper, Ponapeic-Trukic, Ponapeic","Simon Greenhill","Simon Greenhill","@book{158369,  address    = {Honolulu},  publisher  = {University of Hawaii Press},  title      = {Ponapean-English Dictionary. PALI Language Texts: Micronesia},  year       = {1979},  asjp_name  = {Pohnpeian},  bibtexkey  = {rehg-sohl_ponapean-micronesia1979},  hhtype     = {dictionary},  inlg       = {English [eng]},  macro_area = {Papua},  src        = {asjp2010},  srctrickle = {asjp2010#3203},  author     = {Rehg, K.L. and Sohl, D. G.}}"
latitude,longitude
5.63347995011737268101,159.00838451822301067295
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
179,1,hand,lime,,,1,1
536,2,left,palimeiŋ,,,13,
893,3,right,palimaun,,,"5, 36",
1250,4,leg/foot,neh,,,63,
1607,5,"to walk",alu,loan?,L,34,
1964,6,road/path,ahl,,,1,1
2321,7,"to come",koh-,,,,
2678,8,"to turn",wikidek,,,12,
3035,9,"to swim",pap,,,,
3392,10,dirty,pwelipwel,,,74,
3749,11,dust,pwelipar,,,101,
4106,12,skin,kihl,,,1,1
4463,13,back,tihnsowe,back,,,
4820,14,belly,kapehd,,,89,
5177,15,bone,tih,,,2,
72147,16,intestines,kepwe,things(stuff)?,,,
72148,16,intestines,pwise,"manure?; 'faeces' < PCMic *pwuta[ei] - see Bender et al. (2003)",,,
209488,16,intestines,mwasahl,intestines,,"1,13",
5891,17,liver,eh,,,1,1
6248,18,breast,dihdi,,,1,1
6605,19,shoulder,pwopwe,,,,
6962,20,"to know, be knowledgeable",ese,,,35,
7319,21,"to think",madamadau,,,,
7676,22,"to fear",masak,,,1,1
8033,23,blood,nta,,,1,1
8390,24,head,moahŋ,,,64,
209487,24,head,"mong nge",,,64,
8747,25,neck,[tepin]were,,,,
9104,26,hair,pitenmoaŋ,,,,
9461,27,nose,tumwe,,,,
9818,28,"to breathe",esiŋek,,,,
10175,29,"to sniff, smell",ned,,,87,
10532,30,mouth,ahu,,,36,
10889,31,tooth,ŋih,,,30,
72984,32,tongue,lahu,,,18,
72985,32,tongue,loh,,,18,
11603,33,"to laugh",kouruhr,,,,
11960,34,"to cry",seŋ,,,1,1
12317,35,"to vomit",mmwus,,,1,1
12674,36,"to spit",kendip,,,"19, 55",
13031,37,"to eat",kaŋ,,,1,1
13388,38,"to chew",rukoa,,,,
13745,39,"to cook",inim,,,96,
14102,40,"to drink",nim,"reflex of PMic *nima 'drinkable object, with possessive classifier'",,"1, 59",?
73565,41,"to bite",ke,,,"38, 73",1?
73566,41,"to bite",ŋalis,,,,1?
14816,42,"to suck",kuhl,,,,
179374,42,"to suck",mihk,"to suck",,,
15173,43,ear,saleŋ,,,1,1
