id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
181,"Punan Kelai","Antonio Guerreiro",sge,sega1243,,,"Austronesian, Malayo-Polynesian, North Borneo, North Sarawakan, Kayan-Kenyah, Kayanic, Modang","Simon Greenhill","Simon Greenhill","@misc{Guerreiro-181-2005,  author = \"Antonio Guerreiro\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
2.43822999999999989740,116.71875000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
181,1,hand,eguy,,,25,
538,2,left,menlik,,,,
895,3,right,men'aw,,,"5, 36",
1252,4,leg/foot,kul,,,,
1609,5,"to walk",naw,,,2,1
1966,6,road/path,gulan,,,1,1
2323,7,"to come",tawo',,,,
2680,8,"to turn",rat,,,,
3037,9,"to swim",jo',,,20,
3394,10,dirty,mesap,,,25,
3751,11,dust,awow,,,1?,?
4108,12,skin,laés,,,20,
4465,13,back,"maè 'èng",,,,
4822,14,belly,soh,,,25,
5179,15,bone,talang,,,1,1
5536,16,intestines,"tè'èn bu'",,,,
5893,17,liver,hataè,,,1,1
6250,18,breast,gi',,,24,
6607,19,shoulder,le'ip,,,18,
6964,20,"to know, be knowledgeable",ptèng,,,24,
7321,21,"to think",ngeusang,,,,
7678,22,"to fear",kut,,,1,1
8035,23,blood,le'a,,,1?,1?
8392,24,head,tekhung,,,27,
8749,25,neck,ngeléang,,,,
9106,26,hair,wok,,,1,1
9463,27,nose,yung,,,1,1
9820,28,"to breathe",nelèsngèn,,,23,
10177,29,"to sniff, smell",nebu',,,"25, 21",
10534,30,mouth,msung,,,,
10891,31,tooth,kiu,,,70,
11248,32,tongue,kelah,,,4,1?
11605,33,"to laugh",lo',,,24,
11962,34,"to cry",ngès,,,1,1
12319,35,"to vomit",tu',,,1,1
12676,36,"to spit",menyu',,,,
13033,37,"to eat",mun,,,17,
13390,38,"to chew",na'aw,,,,
13747,39,"to cook",negu'ngan,,,,
14104,40,"to drink",yo',,,,
14461,41,"to bite",kap,,,,
14818,42,"to suck",jieuk,,,,
15175,43,ear,bal,,,,
15532,44,"to hear",ngahajing,,,13,
15889,45,eye,mtan,,,1,1
16246,46,"to see",ngang,,,,
16603,47,"to yawn",nyu,,,7,
16960,48,"to sleep",du',,,1,1
17317,49,"to lie down",neklè',,,,
