id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
183,Sangir,"Blust, from: Steller & Aebersold (1959)",sxn,sang1336,"Steller, K.G.F., & Aebersold, W.E. (1959). Sangiree-Nederrlands Woordernboek Met Nederlands-Sangirees Register. s-Gravenhage: The Netherlands",,"Austronesian, Malayo-Polynesian, Philippine, Sangiric, Northern","Debasish Roy","Simon Greenhill","@book{127733,  address               = {s-Gravenhage},  pages                 = {622},  publisher             = {'s-Gravenhage: Martinus Nijhoff},  title                 = {Sangirees-Nederlands woordenboek},  year                  = {1959},  bibtexkey             = {aebersold-steller_sangirees-nederlands1959},  class_loc             = {PL6025},  document_type         = {B},  hhtype                = {dictionary},  inlg                  = {Dutch [nld]},  inlg_code             = {eng},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6025 STE 1959},  src                   = {hh, mpieva},  srctrickle            = {hh#d:StellerAebersold:Sangirees, mpieva#Steller1959Sangiree},  subject_headings      = {Sangir language–Dictionaries–Dutch, Dutch language–Dictionaries–Sangir, Sangir language–Dictionaries–Dutch – Dutch language–Dictionaries–Sangir},  author                = {Steller, K. G. F. and Aebersold, W. E.}}"
latitude,longitude
1.41709182944163902818,125.21118164062500000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
183,1,hand,lima,,,"1,64",1
540,2,left,kaihi,,,"1,42",1
897,3,right,koaneŋ,,,"1,62",1
1254,4,leg/foot,laedĕʔ,,,109,
1611,5,"to walk",d-um-aley,,,57,
1968,6,road/path,daleŋ,,,"1,59",1
2325,7,"to come",mahi,,,1,1
2682,8,"to turn",tiriŋ,,,,?
3039,9,"to swim",kalaŋ,,,41,
3396,10,dirty,ma-labusanaŋ,,,,
3753,11,dust,awulĕʔ,"final consonat wrong for set 1",,,?
4110,12,skin,pisi,,,22,
4467,13,back,likudĕʔ,,,1,1
4824,14,belly,tiaŋ,,,1,1
5181,15,bone,duhi,,,2,
5538,16,intestines,tinai,,,1,1
5895,17,liver,ate,,,1,1
6252,18,breast,susu,,,1,1
6609,19,shoulder,bĕmbaŋ,,,19,
6966,20,"to know, be knowledgeable",siŋkaʔ,,,48,
7323,21,"to think",maŋ-ĕnna,,,,
7680,22,"to fear",takuʔ,,,1,1
8037,23,blood,daha,,,1,1
8394,24,head,tĕmboʔ,,,41,
8751,25,neck,leheʔ,,,1?,?
9108,26,hair,utaʔ,,,27,
9465,27,nose,iruŋ,,,1,1
9822,28,"to breathe",sindaʔ,,,26,
10179,29,"to sniff, smell",imbu,,,25,
10536,30,mouth,mohoŋ,,,25,
10893,31,tooth,isi,,,"24,75",1
11250,32,tongue,dila,,,4,1
11607,33,"to laugh",lĕge,,,28,
11964,34,"to cry",saŋiʔ,,,"1,74",1
12321,35,"to vomit",m-uta,,,1,1
12678,36,"to spit",maŋ-ĕdu,,,49,
13035,37,"to eat",k-um-aeŋ,,,1,1
13392,38,"to chew",sĕpa,,,17,
13749,39,"to cook",pakasasaʔ,,,47,
14106,40,"to drink",inuŋ,,,1,1
14463,41,"to bite",kiki,,,69,?
14820,42,"to suck",sĕsuʔ,,,"1,55",1
