id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
184,"Santa Ana","Blust, from Tryon & Hackman (1983)",stn,owaa1237,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, San Cristobal","Peng Du","Simon Greenhill","@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-10.83651000000000053092,162.46754000000001383341
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
184,1,hand,rima-,,,1,1
541,2,left,mafa,,,57,
898,3,right,aoto,"irregular initial /a/",,42,
1255,4,leg/foot,aua-,"irregular diphthongisation of vowel",,101,
1612,5,"to walk",tawa|raɣo|fa,,,1,1
1969,6,road/path,tara,,,1,1
2326,7,"to come","rao mai",,,"1,85",1
2683,8,"to turn",riri,,,69,
3040,9,"to swim",arasi,,,63,
3397,10,dirty,puniɣa,,,84,
3754,11,dust,rafu,,,29,?
4111,12,skin,ɣawo-,,,35,
4468,13,back,ɣairi-,,,39,
4825,14,belly,aopʷa-,"irregular addition of initial a vowel",,36,
5182,15,bone,suri-,,,52,
5539,16,intestines,aŋae-,,,59,
5896,17,liver,pʷounanuia-na,,,26,
6253,18,breast,susu-,,,1,1
6967,20,"to know, be knowledgeable",ɣirara,"irregular addition of reduplicated final syllable",,"18, 102",
7324,21,"to think",tako,,,38,
7681,22,"to fear",maɣufa,,,1,
8038,23,blood,ɣapu-,,,5,
8395,24,head,pʷaw-,"irregular diphthongisation of final vowel",,9,
8752,25,neck,rio-,,,1,1
146338,26,hair,furu,"hair (body)",,31,
9466,27,nose,bʷarusu-,,,"1,12",
9823,28,"to breathe",manawa,,,1,1
10180,29,"to sniff, smell",siɣinia,,,12,
10537,30,mouth,fara-,,,42,
10894,31,tooth,riwo-,,,"1,35",1
11251,32,tongue,mea-,,,7,
11608,33,"to laugh",mamana,,,51,
11965,34,"to cry",aŋi,,,1,1
12322,35,"to vomit",momoa,"irregular *u > o",,1,1?
12679,36,"to spit",misu,,,"14, 81",
13036,37,"to eat",ŋau,,,15,
14107,40,"to drink",tono,,,35,
14464,41,"to bite",ɣara,,,1,1
14821,42,"to suck",nuɣu,,,29,
15178,43,ear,kariŋa-,,,"1, 24",1?
15535,44,"to hear",roŋo,,,1,1
15892,45,eye,mā,,,1,1
16249,46,"to see",reɣia,,,13,
16963,48,"to sleep",mauru,,,1,1
17320,49,"to lie down",ta...,"photocopying cutoff",,,
172416,50,"to dream","mauru tai",,,15,
18034,51,"to sit",oɣa,,,80,
18391,52,"to stand",ura,,,40,
18748,53,"person/human being",ainuni,,,10,
19105,54,man/male,mʷane,,,1,1
19462,55,woman/female,fefene,,,"1,47",1
19819,56,child,kare,,,40,
20890,59,mother,kanana,,,31,
21247,60,father,mā,,,"1, 67",
21604,61,house,rima,"irregular *u > i",,"1, 48",1
21961,62,thatch/roof,"ɣairi na rima",,,,
22318,63,name,āta,,,"1,18",1
22675,64,"to say",woi,,,13,
23032,65,rope,waro,,,2,
23389,66,"to tie up, fasten",pʷaroa,,,,
23746,67,"to sew",taia,,,2,1
24460,69,"to hunt",faɣawasi,,,15,
