id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
198,Woleai,Unknown,woe,wole1240,,"Possible Incorrect Language (Identification based on Three letter acronym)","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Micronesian, Micronesian Proper, Ponapeic-Trukic, Trukic","Simon Greenhill","Simon Greenhill","@misc{Anonymous-198-2005,  author = \"Anonymous\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
7.96218643195329711659,146.25381429924951248722
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
198,1,hand,gumwushu,,,9,
555,2,left,paiutakofo,,,,
912,3,right,paiukofo,,,,
1269,4,leg/foot,pesheɛ,,,15,
1626,5,"to walk",lago,,,1,1
1983,6,road/path,yala,,,1,1
87247,7,"to come",too-,,,9,
87248,7,"to come",buu-,,,,
2697,8,"to turn",sossor,,,13,
3054,9,"to swim",yafa,,,7,
3411,10,dirty,pwpwelɪʊ,,,74,
3768,11,dust,geraatiuyetɪʊ,,,,
4125,12,skin,gilɪ,,,1,1
4482,13,back,tagiurɪʊ,,,12,
4839,14,belly,uba,,,11,
5196,15,bone,shiu,,,2,
5553,16,intestines,taa,,,14,
5910,17,liver,yasɛ,,,1,1
6267,18,breast,tiutɪʊ,,,1,1
6624,19,shoulder,yarafa,,,1,1
6981,20,"to know, be knowledgeable",giula-a,,,18,
88454,21,"to think",yagi-yagi,,,12,
88455,21,"to think",mangi-a,,,11,
7695,22,"to fear",metagʊ,,,1,1
8052,23,blood,chaa,,,1,1
8409,24,head,shimwa,,,11,
8766,25,neck,iuwa,,,18,
9123,26,hair,yan-ni-shimwa,"yan = hair, shimwa = head",,11,
9480,27,nose,-bootɪ,,,"1,12",1
9837,28,"to breathe",ng-ngasa,,,10,
10194,29,"to sniff, smell",ngiuri-a,,,32,
10551,30,mouth,yawa,,,36,
10908,31,tooth,ngii,,,30,?
11265,32,tongue,lewɛ,,,17,
88783,33,"to laugh",ffasa,,,10,
88784,33,"to laugh",mmalɪ,,,3,
11979,34,"to cry",tangɪ,,,1,1
12336,35,"to vomit",mwmwuta,,,1,1
12693,36,"to spit",kutʊ,,,"14, 89",
89299,37,"to eat",mwongoo,,,8,1?
89300,37,"to eat",gangiɪ,,,1,
13407,38,"to chew",ngiu-,,,11,
13764,39,"to cook",ga-metaa,,,"19, 82",
73482,40,"to drink",iulɪʊ,,,1,1
73483,40,"to drink",iuliumiɪ,,,1,1
73573,41,"to bite",giu-wa,,,9,1
73574,41,"to bite",giu-giu,,,9,1
14835,42,"to suck",soro-,,,66,
15192,43,ear,talinga,,,1,1
15549,44,"to hear",rongo-rongo,,,1,1
15906,45,eye,mata,,,1,1
16263,46,"to see",weriɪ,,,10,
16620,47,"to yawn",moa-li-gatelɪʊ,,,19,1
16977,48,"to sleep",masiurɪʊ,,,1,1
17334,49,"to lie down",wolo-,,,1,1?
17691,50,"to dream",ttala,,,9,
18048,51,"to sit",matto,,,"18,101",
18405,52,"to stand",siu-,,,2,1
18762,53,"person/human being",yaremata,,,"67,70",1?
19119,54,man/male,mwaalɛ,,,1,1
91060,55,woman/female,faifilɛ,,,"1,47",1
91061,55,woman/female,shaobuto,,,7,
91128,56,child,lalʊ,,,5,
91129,56,child,sarɪ,,,7,
133368,57,husband,"fitiyom mwale",,,,
133369,58,wife,"fitiyom shoabute",,,,
91269,59,mother,sila,(mother),,1,1
