id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
212,Jawe,"Blust, from: Haudricourt and Ozanne-Rivierre (1982)",jaz,jawe1237,"Haudricourt, A.-G., & Ozanne-Rivierre, F. (1982). Dictionnaire thématique des langues de la région de Hienghène (Nouvelle-Calédonie) : Pije, Fwâi, Nemi, Jawe. Paris: SELAF.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Northern, North, Nemi","Debasish Roy","Simon Greenhill","@book{122134,  address    = {Louvain},  pages      = {285},  publisher  = {Peeters},  series     = {LACITO-Documents: Asie-Austronèsie},  title      = {Dictionnaire Thématique des Langues de la région de Hienghène (Nouvelle-Calédonie): Pije – Fwâi – Nemi – Jawe},  volume     = {4},  year       = {1982},  bibtexkey  = {haudricourt-ozanne-rivierre_hienghene-jawe1982},  hhtype     = {overview;wordlist},  inlg       = {French [fra]},  inlg_code  = {fra},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#hw:HaudricourtOzanne-Rivierre:Hienghene},  author     = {Haudricourt, André-Georges and Ozanne-Rivierre, Françoise}}"
latitude,longitude
-20.64306554672645432902,164.77294921875000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
212,1,hand,hi-n,"< *kuku claw",,10,
569,2,left,moo-n,,,"1,59",1?
926,3,right,jue-hi-n,,,,?
1283,4,leg/foot,he-n,,,1?,
1640,5,"to walk",hya-,,,,
1997,6,road/path,hwaa|ran,,,"5,1",?
2354,7,"to come",he-me,,,1,1
2711,8,"to turn",thebanem,,,,
3068,9,"to swim",hyoom,,,97,
3425,10,dirty,geek,,,12,
3782,11,dust,hmuun-dilic,[Y],,"105,1",
4139,12,skin,cii-n,,,1,1
4496,13,back,jai-n,,,12,
4853,14,belly,jie-n,,,1,1
5210,15,bone,duu-n,2?,,2,
5567,16,intestines,hooŋe-n,,,33,
72170,17,liver,kei-n,,,1,1
72171,17,liver,kec,,,1,1
6281,18,breast,thi-n,,,1,?
6638,19,shoulder,pue-hi-n,,,37,
6995,20,"to know, be knowledgeable",hina,,,116,
7352,21,"to think",[ne]nemi,,,28,
7709,22,"to fear",harat,,,1?,
8066,23,blood,kuraa-n,,,"45,1",
8423,24,head,bwa-n,,,9,
8780,25,neck,noo-n,,,18,
9137,26,hair,pun-bwa-n,,,31,
9494,27,nose,hwâdi-n,,,14,
72770,28,"to breathe",po-hyeen,,,,
72771,28,"to breathe",hñana,,,1,
10208,29,"to sniff, smell",goni,,,42,
10565,30,mouth,hwa-n,,,36,
