id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
220,Roro,"Matilda Miria-Tairea",rro,waim1251,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Peripheral, Central Papuan, West Central Papuan, Nuclear","Debasish Roy","Simon Greenhill","@misc{Miria-Tairea-220-2005,  author = \"Matilda Miria-Tairea\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-8.75000000000000000000,146.58000000000001250555
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
220,1,hand,íma-,,,1,1
71508,4,leg/foot,ai-na,,,1,1
71509,4,leg/foot,aiʔu,,,1,1
71510,4,leg/foot,ai-mu,,,1,1
71566,5,"to walk",hamákaʔao,"to go",,,
71567,5,"to walk",ao,"to go",,1,
2005,6,road/path,taiara,,,74,
87848,7,"to come",omai,"come! (impersonal)",,1,
87849,7,"to come","aba nemai","he/she is coming",,1,
3076,9,"to swim",naʔu,,,51,
3433,10,dirty,opu,"[also = 'mangrove'?]",,21,
3790,11,dust,tabu,,,1,
4147,12,skin,párua,,,,
88000,13,back,kapeʔu,"my back",,109,
88001,13,back,kape-mu,"your back",,109,
88002,13,back,kape-na,"his/her back",,109,
72075,14,belly,nua-ʔu,,,22,
72076,14,belly,nua-mu,,,22,
72077,14,belly,nua-na,,,22,
5218,15,bone,húria,"[also = 'fellow Roro speaker']",,40,
5575,16,intestines,nua-na,,,90,
5932,17,liver,ahe-na,,,1,
6289,18,breast,susu-na,,,1,
116397,20,"to know, be knowledgeable",iovi-na,"know",,137,
7360,21,"to think",mo|raunana,,,96,
7717,22,"to fear",taʔu,,,1,
88545,23,blood,aruru,,,48,
88546,23,blood,"ena aruaru","his her blood",,48,
8431,24,head,ara-na,,,44,
9145,26,hair,bui-,,,31,
9502,27,nose,isu-,,,1,
88695,29,"to sniff, smell",simi-,[SImi],,112,
88696,29,"to sniff, smell","waiha simi-na","the dog's smell",,,
10573,30,mouth,pina-,,,100,
10930,31,tooth,nite-,,,24,
11287,32,tongue,maia-,,,7,
11644,33,"to laugh",móiriiri,,,,
12001,34,"to cry",hai,[n.],,1,
12358,35,"to vomit",aióra,,,7,
12715,36,"to spit",atósi,"to cough",,19,
13072,37,"to eat",ani,,,1,
73338,38,"to chew",hua,"momo='the chewed betel nut'",,33,
73339,38,"to chew",momo,"'the chewed betel nut'",,1,
14143,40,"to drink",inu,,,1,
14500,41,"to bite",-[a]ra,,,1,
