id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
232,Modang,"Antonio Guerreiro",mxd,moda1244,,,"Austronesian, Malayo-Polynesian, North Borneo, North Sarawakan, Kayan-Kenyah, Kayanic, Modang","Debasish Roy","Simon Greenhill","@misc{Guerreiro-232-2005,  author = \"Antonio Guerreiro\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
0.06042000000000000148,111.34094000000000335149
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
232,1,hand,gwɛ,,,25,
589,2,left,luy,,,86,
946,3,right,mə'a,,,,
1303,4,leg/foot,rɛs,,,,
1660,5,"to walk",əmnɛa,,,,1
2017,6,road/path,lah,,,1,1
2374,7,"to come",hay,,,1?,1?
2731,8,"to turn",mdo',,,,
3088,9,"to swim",ənjo',,,20,
3445,10,dirty,məlmah,,,,
3802,11,dust,nyɛ,,,,
4159,12,skin,laés,,,20,
4516,13,back,"kəjun məl",,,,
4873,14,belly,soh,,,25,
72102,15,bone,tuang,,,1,1
72103,15,bone,tluang,,,1,1
5587,16,intestines,"wət kuən",,,,
5944,17,liver,hətaɛ,,,1,1
6301,18,breast,wi',,,24,
6658,19,shoulder,lə'ip,,,18,
7015,20,"to know, be knowledgeable",ptɛng,,,24,
7372,21,"to think",nəmuak,,,,
7729,22,"to fear",pkut,,,1,1?
8086,23,blood,lə'a,,,1?,1
8443,24,head,du',,,1?,1?
8800,25,neck,kəlnan,,,,
9157,26,hair,wok,,,1,1
9514,27,nose,"guang lung",,,1,1
9871,28,"to breathe","ngəs ngiang",,,23,
10228,29,"to sniff, smell",mbu,,,"25, 21",
10585,30,mouth,"guang wa'",,,1?,
10942,31,tooth,kwə,,,70,1
11299,32,tongue,tla',,,4?,1?
11656,33,"to laugh",kəlo',,,24,
12013,34,"to cry",nəngɛs,,,1,1
12370,35,"to vomit",əntua',,,1,1
12727,36,"to spit",nəploa',,,,?
73257,37,"to eat",mun,,,17,1?
73258,37,"to eat",hu',,,,1?
13441,38,"to chew",əmpa',"[cp 84]",,,1?
13798,39,"to cook",məngsɛak,,,19,
14155,40,"to drink",mək,,,,
14512,41,"to bite",əntəp,,,1?,1
14869,42,"to suck",ənjik,,,,
15226,43,ear,kəlnyə|n,,,1,1?
15583,44,"to hear",ngəhjing,,,13,
15940,45,eye,mta|n,,,1,1
16297,46,"to see",ənli',,,,
16654,47,"to yawn",nguə,,,7,1?
17011,48,"to sleep",əndu',,,1?,1?
17368,49,"to lie down",ngəla',,,,
