id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
24,Mor,"Blust, from Laycock (1965-1966), Anceaux (1961)",mhz,morm1235,"Anceaux, J.C. (1961) The linguistic situation in the islands on Yapen, Kurundu, Nau, and Miosnum, New Guinea. Verhandelingen van het Koninklijk Instituut voor Taal-, Land- en Volkenkunde, Vol. 35. The Hague: Nijhoff.Laycock, D.C. (1965-1966) Unpublished field notes on Mor. Manuscript.Tried to add Grace materials, but these appear to represent a distinct dialect",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, South Halmahera-West New Guinea, West New Guinea, Cenderawasih Bay, Mor","Penny Keenan","Simon Greenhill","@book{121185,  address               = {'s-Gravenhage},  note                  = {35},  pages                 = {166},  publisher             = {Martinus Nijhoff},  series                = {Verhandelingen van het Koninglijk instituut voor taal-, land- en volkenkunde},  title                 = {The Linguistic Situation in the Islands of Yapen, Kurudu, Nau and Miosnum, New Guinea},  url                   = {http://www.papuaweb.org/dlib/bk1/kitlv/},  volume                = {35},  year                  = {1961},  bibtexkey             = {anceaux_kurudu-miosnum1961},  class_loc             = {PL6265},  document_type         = {B},  fn                    = {papua\anceaux_yapen1961.pdf, papua\anceaux_yapen1961_o.pdf, papua\anceaux_yapen1961v2_o.pdf, papua\anceaux_miosnumxxxv1961.pdf, papua\anceaux_yapen1961_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6265 ANC 1961},  mpifn                 = {yapen_anceaux1961_o.pdf},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Anceaux:Yapen, mpieva#Anceaux1961Thelingu},  subject_headings      = {Islands–Geelvink Bay–Languages, Islands–Geelvink Bay–Languages},  author                = {Anceaux, Johannes Cornelis}}@book{Laycock1965,  address = {},  title   = {Unpublished field notes on Mor},  year    = {1965-1966},  author  = {Laycock, D. C.}}"
latitude,longitude
-3.00000000000000000000,135.75000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
24,1,hand,"vére [a]",,,16,
381,2,left,sa|wiri,,,1,1?
738,3,right,ja,,,,
1095,4,leg/foot,ne[a],,,19?,
1452,5,"to walk",vera,,,,
1809,6,road/path,rarin[a],(cp.129),,1,1
2166,7,"to come",rama,,,30,?
2523,8,"to turn",wariawá,,,,
2880,9,"to swim",ata,,,,
3237,10,dirty,weriraʔa,,,22,
3594,11,dust,ʔahá,,,,
3951,12,skin,hiʔi,,,,
4308,13,back,haré,,,23,
4665,14,belly,reváme,,,,
5022,15,bone,ʔoro,,,,
5379,16,intestines,"sine wariʔa",,,1?,
5736,17,liver,"sine aʔa",,,1,1
6093,18,breast,tut[a],,,1,1
6450,19,shoulder,vahu,,,,
6807,20,"to know, be knowledgeable",anini,,,,
7164,21,"to think",tarama,,,,
7521,22,"to fear","vea mukaʔa",,,,
7878,23,blood,rara,,,1,1
8235,24,head,varu,,,1?,
8592,25,neck,toro,,,,
8949,26,hair,"[u] ranu",,,40,
9306,27,nose,hóro,,,,
9663,28,"to breathe",orana,,,1?,
10020,29,"to sniff, smell",anita,,,,
10377,30,mouth,vo,,,,
10734,31,tooth,wóto,,,,
11091,32,tongue,néma,,,,?
11448,33,"to laugh",mariʔa,,,3,
11805,34,"to cry",ʔanita,,,1,1
12162,35,"to vomit",mamuaʔa,[<M],,1?,1?
12519,36,"to spit",unukuʔa,,,,
12876,37,"to eat",ana,,,1,1
13590,39,"to cook",ʔuni,,,,
13947,40,"to drink",anumi,[&<inuma?],,1?,1?
14304,41,"to bite",aʔa,,,,
14661,42,"to suck",tuama,,,,
15018,43,ear,ina,,,1,1
15375,44,"to hear",orani,,,1?,?
15732,45,eye,masinaʔu,,,1?,
16089,46,"to see",eraʔuma,,,,
16803,48,"to sleep",tu-ena,,,8,
17160,49,"to lie down",ena,,,1,1
17517,50,"to dream",enami,,,20,
17874,51,"to sit",tuʔo,,,,
18231,52,"to stand",eta,,,,
18588,53,"person/human being",naʔu,,,,
18945,54,man/male,"naʔu vurana",,,1?,1?
19302,55,woman/female,vavína,,,"1,106",1
19659,56,child,naʔú-na,,,5,
