id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
241,"Thao B96",Blust,ssf,thao1240,"From Blust, R . (1996), Some remarks on the linguistic position of Thao. Oceanic Linguistics, 35(2):272-294","Andreea: replaced one instance (item #207) of /đ/ with /ð/, following conventions used by Ferrell et. al.","Austronesian, Western Plains, Thao","Simon Greenhill","Simon Greenhill","@article{180926,  journal    = {Oceanic Linguistics},  number     = {2},  pages      = {272-294},  title      = {Some Remarks on the Linguistic Position of Thao},  volume     = {35},  year       = {1996},  bibtexkey  = {blust_position-thao1996},  hhtype     = {overview;wordlist},  inlg       = {English [eng]},  macro_area = {Papua},  src        = {hh, zurich},  srctrickle = {hh#hw:Blust:Thao, zurich#Blust1996-2},  author     = {Blust, Robert}}"
latitude,longitude
23.87579191610101858601,120.87707519531250000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
241,1,hand,rima,,,"1,64",1
598,2,left,tana-wizi,,L,1,
955,3,right,tana-du,"c.f. Bunun tanaṣkáʼun, this almost certainly is a Bunun loan in Thao",L,,
1312,4,leg/foot,kuskus,,,29,
1669,5,"to walk",mun-dadán,"from Bunun set 21, also has pazaw",L,,
2026,6,road/path,saran,,,1,1
2383,7,"to come",mu-nay,,,,
2740,8,"to turn",tau-shuqish,,,,
3097,9,"to swim",m-rauz,,,,
3454,10,dirty,ma-risris-in,,,,
3811,11,dust,bulbul,"a loan according to Sagart",L,14,
4168,12,skin,shapa,,,,
4525,13,back,rikus,,,1,1
4882,14,belly,tiaz,,,1,1
5239,15,bone,puqu,"cf Kavalan poho 'knee'. (LS)",,,
5596,16,intestines,rumrum,,,,
5953,17,liver,rishi,,,,
6310,18,breast,tutu,,,1,1
6667,19,shoulder,qalhafa,,,1,1
7024,20,"to know, be knowledgeable",ma-fazaq,,,2,1
7381,21,"to think",m-aŋqtu,,,,
7738,22,"to fear",sh-uŋ-kash,,,,
8095,23,blood,talhum,,,,
8452,24,head,punuq,"based on PAN *punuq 'brain'",,34,
8809,25,neck,buqtur,,,,
