id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
246,Tuamotu,"POLLEX 2000 (Bruce Biggs & Ross Clark)",pmt,tuam1242,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Tahitic","Simon Greenhill","Simon Greenhill","@article{POLLEX,  journal = {Oceanic Linguistics},  number  = {2},  pages   = {551--559},  title   = {{POLLEX-Online: The Polynesian Lexicon Project Online}},  volume  = {50},  year    = {2011},  author  = {Greenhill, Simon J. and Clark, Ross}}"
latitude,longitude
-18.51483933446288077107,-140.60058193698588979714
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
83892,1,hand,kapu,"Sole of the foot, palm of the hand (Stn)",,x,
83893,1,hand,rima,"Five, hand",,1,
603,2,left,hema,"Left (Hand)",,11,
960,3,right,katau,"Right (not left)",,"5, 40",
1317,4,leg/foot,vae,Leg,,"1, 100",
1674,5,"to walk",haere,Go,,6,
2031,6,road/path,ara,Road,,1,
135243,7,"to come","(haere) mai",,,"1,42",
135242,8,"to turn",huri,,,15,
3102,9,"to swim",kau,Swim,,5,
3459,10,dirty,hava,Filthy,,8,
3816,11,dust,puuehu,"Dust, scattered",,"1, 74",
4173,12,skin,kiri,Skin,,1,
4530,13,back,papatua,"Small of back",,11,
88043,14,belly,kona,"Lower abdomen",,8,
88044,14,belly,koopuu,"Belly, stomach",,2,
88045,14,belly,manava,Belly,,9,
88046,14,belly,tia,"Lower part of belly (Stn)",,1,
5244,15,bone,ivi,Bone,,"52,5",
5601,16,intestines,ŋaakau,Intestines,,12,
5958,17,liver,ate,Heart,,1,
6315,18,breast,koouma,"Chest, breast, bosom (Stn)",,"7,50",
88361,19,shoulder,pakihivi,"Shoulder-blade (Stn)",,8,
88362,19,shoulder,pakihui,"Collarbone, part of shoulder on which, carrying pole rests (Stn) [<]",,x,
88405,20,"to know, be knowledgeable",kite,Know,,12,
88406,20,"to know, be knowledgeable",maatau,Understand,,1,
7386,21,"to think",mahara,"Remember, recall, bear in mind, consider (Stn)",,8,
7743,22,"to fear",mataku,"Fear v, afraid, to be",,1,
8100,23,blood,toto,"Blood (Stn)",,4,
88568,24,head,uru,"Head, hair",,1,
88569,24,head,upoko,"Head of a man",,10,
88593,25,neck,kaakii,"Neck, neck of phallus",,20,
88594,25,neck,ua,"Neck (poetic)",,18,
88624,26,hair,huru,"Hair, feather",,31,
88625,26,hair,roouru,"Hair (Obs.)",,40,
9528,27,nose,ihu,Nose,,1,
88660,28,"to breathe",ŋaa,"Breathe, take deep breath",,10,
88661,28,"to breathe",manava,"Breath (Poetic)",,1,
88662,28,"to breathe",haa,Breathe,,11,
88663,28,"to breathe",haa/haa,"Breathe, gasp",,11,
10242,29,"to sniff, smell",hoŋi,"Touch noses, smell",,9,
88724,30,mouth,vaha,Mouth,,"1,8",
88725,30,mouth,ŋutu,"Beak, lips, rim, snout",,2,
10956,31,tooth,niho,Tooth,,1,
11313,32,tongue,arero,"Tongue, clitoris (Stn)",,15,
11670,33,"to laugh",kata,Laugh,,7,
12027,34,"to cry",taŋi,"Weep, cry, groan, make characteristic sound (Stn)",,1,
12384,35,"to vomit",ruua/ki,Vomit,,"8,31",
88907,36,"to spit",anu,"To spit, spittle, saliva",,"14,84, 121",
88908,36,"to spit",tuha,"Spit, expectorate (Stn)",,120,
88909,36,"to spit",tufa,"Spit, expectorate (Stn)",,120,
13098,37,"to eat",kai,"Food, eat",,"1,47",
13455,38,"to chew",ŋau,Gnaw,,8,
13812,39,"to cook",tao,"Cook in earth oven",,10,
14169,40,"to drink",inu,Drink,,1,
14526,41,"to bite",kati,"Bite, nip v",,"1,55",
90041,42,"to suck",miti,"Suck, lick",,8,
90042,42,"to suck",momi,"Swallow, suck",,71,
90043,42,"to suck",omo,"Sip, suck (Stn)",,7,
90044,42,"to suck",ŋoŋo,"Suck, as a baby at the breast (Stn)",,7,
15240,43,ear,tariŋa,"Ear (Stn)",,1,
15597,44,"to hear",roŋo,"Hear, news",,1,
15954,45,eye,mata,"Eye, face",,1,
