id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
25,Mota,"Blust, From Codrington & Palmer (1896)",mtt,mota1237,"Codrington, R.H. & Palmer, J. (1896). A dictionary of the language of Mota, Sugarloaf Island, Banks Islands. London: Society for Promoting Christian Knowledge",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu","Simon Greenhill","Simon Greenhill","@book{20301,  address    = {London},  pages      = {343},  publisher  = {Society for Promoting Christian Knowledge},  title      = {A dictionary of the language of Mota, Sugarloaf Island, Banks Islands},  year       = {1896},  bibtexkey  = {codrington-palmer_mota-sugarloaf1896},  fn         = {papua\codrington_mota-dictionary1896.pdf, papua\codrington-palmer_mota1896.pdf},  hhtype     = {grammar_sketch;dictionary},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#sd:CodringtonPalmer:Mota},  author     = {Codrington, Robert and Palmer, Jim}}"
latitude,longitude
-13.72473892694067032494,168.21367854466890889853
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
25,1,hand,panei,,,14,
382,2,left,galao,,,14,
739,3,right,matua,(<M),,"5, 37",1?
1096,4,leg/foot,raŋoi,,,17,
1453,5,"to walk",van[o],,,2,1
1810,6,road/path,mate-sala,,,"1, 43",1
2167,7,"to come","vano ma",,,"23,1",
2524,8,"to turn",viro,,,24,?
71767,9,"to swim",gagao,,,5,
71768,9,"to swim",garu,,,5,
71808,10,dirty,lepa,,,9,
71809,10,dirty,pulua,,,67,
3595,11,dust,wuwua,,,"1, 50",
3952,12,skin,vinitiu,,,28,
72010,13,back,tagir,,,12,
72011,13,back,kulai,,,10,
4666,14,belly,toqai,"phonet. /tokpʷa-i/",,36,
5023,15,bone,sur[iu],,,52,
5380,16,intestines,tinai,,,1,1
5737,17,liver,varai,,,17,
6094,18,breast,sus[iu],,,1,1
6451,19,shoulder,qatagpanei,,,"36,65?",
6808,20,"to know, be knowledgeable",gilala,,,18,
7165,21,"to think",nonom,"actually <*dodomi",,13,1
7522,22,"to fear",gogolo,"cf mataataa (rare)",,57,
7879,23,blood,nara,,,1,1
8236,24,head,qatiu,,,9,
8593,25,neck,nenei,,,63,
8950,26,hair,ului,,,31,
9307,27,nose,manui,,,14,
