id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
251,Ivasay,"Tsuchida et al. (1987)",ivv,ivat1242,"Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo",,"Austronesian, Malayo-Polynesian, Philippine, Bashiic, Ivatan","Simon Greenhill","Simon Greenhill","@book{46500,  address               = {Tokyo},  pages                 = {v+227},  publisher             = {University of Tokyo},  title                 = {List of selected words of Batanic languages},  year                  = {1989},  bibtexkey             = {moriguchi-tsuchida-yamada_selected-batanic1989},  class_loc             = {PL5571.Z5},  document_type         = {B},  hhtype                = {overview;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 5571 BAT 1989},  src                   = {hh},  srctrickle            = {hh#hw:Tsuchidaetal:Batanic:Worsds},  subject_headings      = {Batan language–Glossaries, vocabularies, etc, Batan language–Glossaries, vocabularies, etc},  author                = {Tsuchida, Shigeru and Yamada, Yukihiro and Moriguchi, Tsunekazu}}"
latitude,longitude
20.38582538187426251852,121.94824218750000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
251,1,hand,tanoro,,,22,
608,2,left,holi,,,26,
965,3,right,wanan,,,1,
71516,4,leg/foot,kokod,,,29,
71517,4,leg/foot,padang,,,26,
85162,5,"to walk",ayam,"to walk",,17,
85163,5,"to walk",omayan,"to walk (affixed)",,17,
87217,6,road/path,rahan,"road or path",,1,
87218,6,road/path,rarahan,"road or path (affixed)",,"1,54",
2393,7,"to come",mangay,,,1,
87869,8,"to turn",tico,"to change one's direction",,23,
87870,8,"to turn",tomico,"to change one's direction (affixed)",,,
87913,9,"to swim",awat,"to swim",,21,
87914,9,"to swim",mayawat,"to swim (affixed)",,,
87960,10,dirty,lapos,,,28,
87961,10,dirty,rodit,"PMP (Reid) *rujit \"dirty\"",,27,
87962,10,dirty,saypet,,,29,
87963,10,dirty,ropitek,,,,
87964,10,dirty,maynavan,,,,
3821,11,dust,ahbek,,,"1,49",
4178,12,skin,kodit,,,1,
4535,13,back,dicod,,,1,
4892,14,belly,vodek,,,27,
5249,15,bone,tohang,,,1,
5606,16,intestines,tinayi,,,1,
5963,17,liver,atay,,,1,
6320,18,breast,soso,,,1,
6677,19,shoulder,pakoh,,,21,
88419,20,"to know, be knowledgeable",panmo,"to know",,25,
88420,20,"to know, be knowledgeable",maapanmo,"to know (affixed)",,25,
88421,20,"to know, be knowledgeable",patak,"to know",,27,
88422,20,"to know, be knowledgeable",ica'patak,"to know (affixed)",,27,
88472,21,"to think",akto,"to think",,25,
88473,21,"to think",mangtokto,"to think (affixed)",,25,
88533,22,"to fear",a'mo,"to fear",,18,
88534,22,"to fear",ma'mo,"to fear (affixed)",,18,
8105,23,blood,raya,,,1,
8462,24,head,oho,,,1,
8819,25,neck,lagaw,,,36,
9176,26,hair,vook,,,"1,65",
72705,27,nose,mohed,,,19,
72706,27,nose,maymomohed,"maymomohed = affixed form",,19,
88670,28,"to breathe",inawa,"to breathe",,1,
88671,28,"to breathe",ominawa,"to breathe (affixed form)",,1,
88703,29,"to sniff, smell",angot,"to smell",,"4, 22",
88704,29,"to sniff, smell",mangangot,"to smell (affixed)",,"4, 22",
10604,30,mouth,vivi,,,32,
88750,31,tooth,nyipen,tooth,,1,
88751,31,tooth,kamansasanga,molar,,13,
88752,31,tooth,soong,canine,,19,
11318,32,tongue,rida,,,4,
88793,33,"to laugh",a'yak,"to laugh",,26,
88794,33,"to laugh",ma'yak,"to laugh (affixed)",,26,
88845,34,"to cry",tanyis,"to weep",,1,
88846,34,"to cry",tomanyis,"to weep (affixed)",,1,
88873,35,"to vomit",ota,"to vomit",,1,
88874,35,"to vomit",omota,"to vomit (affixed)",,1,
89316,37,"to eat",kan,,,"1,14",
89317,37,"to eat",koman,(affixed),,"1,14",
89382,38,"to chew",mama,"to chew betel",,1,
89383,38,"to chew",manmama,"to chew betel (affixed)",,1,
89680,39,"to cook",ro'tong,"to cook",,22,
89681,39,"to cook",mano'tong,"to cook (affixed)",,"22,41",
89736,40,"to drink",inom,"to drink",,1,
89737,40,"to drink",ominom,"to drink (affixed)",,1,
89834,41,"to bite",sonyit,"to bite",,19,
89835,41,"to bite",sonyiten,"to bite (affixed)",,19,
90054,42,"to suck",sepsep,"to suck",,1,
90055,42,"to suck",sepsepan,"to suck (affixed)",,1,
15245,43,ear,tadinya,,,1,
90099,44,"to hear",adngey,"to hear",,1,
90100,44,"to hear",madngey,"to hear (affixed)",,1,
15959,45,eye,mata,,,1,
90140,46,"to see",tiib,see,,41,
90141,46,"to see",tiiban,"see (affixed)",,41,
90175,47,"to yawn",awab,yawn,,19,
90176,47,"to yawn",omwab,"yawn (affixed)",,19,
90716,48,"to sleep",iceh,"to sleep",,21,
90717,48,"to sleep",makayceh,"to sleep (affixed)",,21,
90759,49,"to lie down",govat,"to lie down to",,34,
90760,49,"to lie down",magovagovat,"to lie down to (affixed)",,34,
90761,49,"to lie down",harag,"to lie down to",,,
90762,49,"to lie down",maharaharag,"to lie down to (affixed)",,,
17744,50,"to dream",tayenep,'dream',,30,
90810,51,"to sit",disna,"to sit down to",,34,
90811,51,"to sit",maydisna,"to sit down to (affixed)",,34,
90967,52,"to stand",tetnek,"to stand up",,21,
90968,52,"to stand",maytetnek,"to stand up (affixed)",,21,
18815,53,"person/human being",tawo,,,1,
19172,54,man/male,mahakay,,,"2,24",
19529,55,woman/female,mavakes,,,16,
91159,56,child,metdeh,child,,15,
91160,56,child,anak,"own child",,1,
20243,57,husband,"kakovot a mahakay",,,30,
20600,58,wife,"kakovot a mavakes",,,21,
20957,59,mother,ina,mother,,1,
21314,60,father,ama,father,,1,
21671,61,house,vahay,,,14,
22028,62,thatch/roof,atep,roof,,1,
22385,63,name,ngaran,,,1,
23099,65,rope,hovid,"string or cord",,21,
91513,66,"to tie up, fasten",kedked,"to tie",,27,
91514,66,"to tie up, fasten",pakedkeren,"to tie (affixed)",,27,
91548,67,"to sew",rayit,"to sew",,2,
91549,67,"to sew",rayten,"to sew (affixed)",,2,
91550,67,"to sew",axneb,"to sew",,,
91551,67,"to sew",axneben,"to sew (affixed)",,,
24170,68,needle,dayem,,,"1,34",
91585,69,"to hunt",volaw,"to hunt with dogs",,26,
91586,69,"to hunt",pamolawen,"to hunt with dogs (affixed)",,26,
91639,71,"to stab, pierce",vono,"to stab/pierce",,26,
