id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
263,"Melayu Brunei (Dialect)","Hajah Fatimah Haji Awg Chuchu",kxd,brun1242,,,"Austronesian, Malayo-Polynesian, Malayo-Chamic, Malayic, Malay","Simon Greenhill","Simon Greenhill","@misc{Chuchu-263-2005,  author = \"Hajah Fatimah Haji Awg Chuchu\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
4.54905000000000026006,114.57092000000000098225
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
263,1,hand,tangan,,,18,
620,2,left,kiri,,,"1,42",
977,3,right,kanan,,,"1,73",
1334,4,leg/foot,batis,,,23,
1691,5,"to walk",bajalan,,,21,
2048,6,road/path,jalan,,,1,
2405,7,"to come",datang,,,14,
2762,8,"to turn",biluk,,,24,
3119,9,"to swim",mananang,,,23,
3476,10,dirty,kamah,,,35,
3833,11,dust,abuk,,,1,
4190,12,skin,kulit,,,1,
4547,13,back,punggung,,,24,
4904,14,belly,parut,,,32,
5261,15,bone,tulang,,,1,
88325,16,intestines,usus,,,24,
88326,16,intestines,taliparut,,,23,
5975,17,liver,ati,,,1,
6332,18,breast,susu,,,1,
6689,19,shoulder,baʷu,,,17,
7046,20,"to know, be knowledgeable",taʷu,,,1,
7403,21,"to think",bapikir,,,22,
7760,22,"to fear",takut,,,1,
8117,23,blood,darah,,,1,
8474,24,head,kapala,"Skt kapala 'skull'",L,45,
8831,25,neck,lihir,,,1,
9188,26,hair,rambut,,,20,
9545,27,nose,idung,,,1,
9902,28,"to breathe",banapas,,,29,
10259,29,"to sniff, smell",mancium,,,30,
10616,30,mouth,mulut,,,27,
10973,31,tooth,gigi,,,17,
11330,32,tongue,lidah,metathesis,,"4,31",
11687,33,"to laugh",tatawa,,,1,
12044,34,"to cry",manangis,,,1,
12401,35,"to vomit",mutah,,,1,
12758,36,"to spit",maludahi,,,1,
73263,37,"to eat",makan,,,1,
73264,37,"to eat",mangasak,,,,
73265,37,"to eat",mamajuh,,,,
73266,37,"to eat",manumbuk,,,,
73267,37,"to eat",mangantar,,,,
13472,38,"to chew",mamapak,,,30,
73432,39,"to cook",mamasak,,,19,
73433,39,"to cook",manjarang,,,,
14186,40,"to drink",minum,,,1,
73581,41,"to bite",manggigit,,,21,
73582,41,"to bite",manganggus,,,,
73583,41,"to bite",manganakah,,,,
73683,42,"to suck",mangisap,,,1,
73684,42,"to suck",manyiruk,,,,
15257,43,ear,talinga,,,1,
15614,44,"to hear",mandangar,,,1,
15971,45,eye,mata,,,1,
16328,46,"to see",maliat,,,23,
16685,47,"to yawn",manguap,,,19,
17042,48,"to sleep",tidur,,,"1,70",
17399,49,"to lie down",malimpang,,,,
17756,50,"to dream",bamimpi,,,1,
18113,51,"to sit",duduk,,,35,
18470,52,"to stand",badiri,,,1,
18827,53,"person/human being",urang,,,20,
131833,54,man/male,laki-laki,,,2,
19541,55,woman/female,bini-bini,,,"1,41",
19898,56,child,anak,,,1,
20255,57,husband,laki,,,28,
20612,58,wife,bini,,,5,
74505,59,mother,mama,,,5,
74506,59,mother,babu,,,,
21326,60,father,bapa,,,5,
131838,61,house,rumah,,,1,
131839,61,house,balai,,,14,
131834,62,thatch/roof,atap,,,1,
131840,63,name,nama,,,12,
131841,63,name,ngaran,,,12,
131842,63,name,dama,,,12,
22754,64,"to say",barucap,,,,
131843,65,rope,tali,,,1,
131844,65,rope,kalat,,,1,
75040,66,"to tie up, fasten",mangikat,,,1,
75041,66,"to tie up, fasten",maikat,,,1,
23825,67,"to sew",manjait,,,2,
254394,68,needle,jarum,,,,
24539,69,"to hunt",baburu,,,23,
24896,70,"to shoot",manimbak,,,49,
25253,71,"to stab, pierce",manikam,,,31,
25610,72,"to hit",mangampas,,,,
25967,73,"to steal",mancuri,,,19,
26324,74,"to kill",mambunuh,,,1,
91908,75,"to die, be dead",maninggal,orang,,,
91909,75,"to die, be dead",lindung,raja,,,
27038,76,"to live, be alive",idup,,,"1,82",
131845,77,"to scratch",mangakai,,,,
131846,77,"to scratch",mancakar,,,54,
75761,78,"to cut, hack",mamutung,,,41,
75762,78,"to cut, hack",manganat,,,,
75763,78,"to cut, hack",mamanggal,,,,
75914,80,"to split",mambalah,,,1,
75915,80,"to split",mamanggal,,,,
131847,81,sharp,tumpul,,,,
131848,81,sharp,tumal,,,,
29537,83,"to work",bakaraja,,,23,
29894,84,"to plant",mananam,,,2,
30251,85,"to choose",mamilih,,,1,
30965,87,"to swell",mambangkaki,,,19,
31322,88,"to squeeze",mamaras,,,42,
76470,89,"to hold",mamagang,,,32,
76471,89,"to hold",manjangkai,,,,
76533,90,"to dig",mangali,,,1,
76534,90,"to dig",mangurik,,,20,
32393,91,"to buy",mambali,,,1,
76659,92,"to open, uncover",mambuka,,,1,
76660,92,"to open, uncover",manyiah,,,,
33107,93,"to pound, beat",manumbuk,,,9,
33464,94,"to throw",mambalangkan,,,,
33821,95,"to fall",gugur,,,67,
34178,96,dog,kuyuk,,,26,
34892,98,egg,talur,,,1,
35963,101,"to fly",tarabang,,,18,
37034,104,fat/grease,ramak,,,24,
37391,105,tail,ikung,,,1,
38819,109,mosquito,rangit,,,21,
39533,111,fish,lauk,,,14,
39890,112,rotten,buruk,,,1,
254392,118,grass,rumput,,,27,
153217,121,sand,pasir,,,18,
43460,122,water,aying,,,2?,
43817,123,"to flow",mangalir,,,1,
44531,125,salt,sira,,,1,
131849,126,lake,danau,,,1,
131850,126,lake,tasik,,,1,
131851,126,lake,luagan,,,1,
45245,127,woods/forest,utan,,,7,
47744,134,thunder,guruh,,,1,
254393,135,lightning,tamparik,,,,
254391,136,wind,angin,,,1,
48815,137,"to blow",batiup,,,"1,19",
49886,140,dry,karing,,,22,
50600,142,heavy,barat,,,1,
51314,144,"to burn",manunu,,,1,
52385,147,black,itam,,,1,
53099,149,red,mirah,,,1,
53813,151,green,ija,,,25,
54170,152,small,damit,,,23,
54527,153,big,basar,,,28,
54884,154,short,buntak,,,35,
55598,156,thin,nipis,,,1,
55955,157,thick,tabal,,,26,
56312,158,narrow,sampit,,,68,
56669,159,wide,libar,,,48,
80407,160,"painful, sick",damam,,,,
80408,160,"painful, sick","jahat rasa",,,,
80463,161,"shy, ashamed",awar,,,,
80464,161,"shy, ashamed",galat,,,,
80465,161,"shy, ashamed",sagan,,,,
58097,163,new,baharu,,,1,
59168,166,"correct, true",banar,,,1,
59882,168,day,ari,,,17,
60239,169,year,taʷun,,,1,
60596,170,when?,bila,,,13,
60953,171,"to hide",batapuk,,,,
63095,177,this,ani,,,1,
63452,178,that,atu,,,16,
63809,179,near,ampir,,,25,
254390,181,where?,mana?,,,,
122464,182,I,aku,,,1,
122465,182,I,kaola,,,,
122466,182,I,paramba,,,,
122467,182,I,amba,,,9,
122468,182,I,patik,,,,
122469,182,I,beta,,,10,
65594,184,he/she,ia,,,1,
122470,185,we,katani,,,1,
122471,185,we,kitani,,,1,
122472,185,we,kadikami,,,2,
82064,186,you,abiskita,,,,
82065,186,you,biskita,,,,
82066,186,you,bikaola,,,,
82067,186,you,bispanomba,,,,
82068,186,you,bisamba,,,,
82170,187,they,oiurang,,,,
82171,187,they,bisdia,,,,
68093,191,all,samua,,L,33,
122970,192,and,nyan,,,,
122971,192,and,sama,"< SKT",L,29,
122972,192,and,dangan,,,64,
172577,193,if,mun,,,10,
82649,194,how?,macamana,,,23,
82650,194,how?,miana,,,23,
82651,194,how?,"macam miana",,,23,
69521,195,"no, not",inda,,,109,
82802,196,"to count",mangitung,,,31,
82803,196,"to count",mangira,,,32,
71306,200,Four,ampat,,,1,
172578,201,Five,lima,,,1,
