id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
264,"Rapanui (Easter Island)","POLLEX 2000 (Bruce Biggs & Ross Clark)",rap,rapa1244,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Rapanui","Simon Greenhill","Simon Greenhill","@article{POLLEX,  journal = {Oceanic Linguistics},  number  = {2},  pages   = {551--559},  title   = {{POLLEX-Online: The Polynesian Lexicon Project Online}},  volume  = {50},  year    = {2011},  author  = {Greenhill, Simon J. and Clark, Ross}}"
latitude,longitude
-27.11781284232122501976,-109.37164306640625000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
130656,1,hand,rima,,,1,
130655,2,left,maui,,,"1,59",
3228584,2,left,hema,,,11,
978,3,right,mata'u,"Right (not left)",,"5, 13",
3228585,3,right,kotau,,,"5,40",
1335,4,leg/foot,ba'e,"Leg; irregular *w > b",,x,
133544,4,leg/foot,va'e,,,"1, 100",
3228586,4,leg/foot,vae,,,"1, 100",
1692,5,"to walk",haere,"L from Tahitian",L,6,
3228587,5,"to walk",here,,,"6,9",
2049,6,road/path,ara,Road,,1,
130654,7,"to come",oho,,,,
3228588,7,"to come",hiho,,,,
88883,8,"to turn",teka,"Pollex 06: Teka. :Turn, spin (Fts).",,,
133599,8,"to turn",taviri,"turn round",,90,
3227980,8,"to turn",amio,,,,
3228589,8,"to turn",tioi,,,10,
3120,9,"to swim",kau,"To swim (Fts)",,5,
3477,10,dirty,haba/haba,Filthy,,x,
133527,10,dirty,hava,"muddy, grimy",,8,
133528,10,dirty,one,,,x,
3228590,10,dirty,tahavahava,,,8,
87983,11,dust,huŋa,"Fine dust (Fts) [PPN *funga 'small pieces, crumbs, scraps -MW]",,90,
87984,11,dust,ŋa/rahu/,"White powder or dust used in tattooing (Fts)",,x,
133532,11,dust,huga,"reduced to powder [PPN *funga 'small pieces, crumbs, scraps -MW]",,90,
133533,11,dust,garahu,"embers, soot",,x,
133534,11,dust,pugaehu,,,"1,67",
3228591,11,dust,rehu,,,1,
130626,12,skin,kiri,,,1,
88884,13,back,tuaivi,"Pollex 06: Tuaivi. :Spine, vertebrae, back, loins (Chl).",,11,
133516,13,back,"tu'a ivi",,,11,
3228592,13,back,tua,,,11,
88056,14,belly,kopu,"Abdomen, belly, paunch, stomach (Fts)",,2,
88057,14,belly,manaba,"Abdomen, belly, stomach (Fts)",,9,
133517,14,belly,manava,,,9,
5262,15,bone,ibi,"Bone; needle (Fts)",,"52,5",
133519,15,bone,ivi,,,"52,5",
88885,16,intestines,kokoma,"Pollex 06: <Kokoma. :Bowels, guts, intestines (Fts)>.",,31,
3228593,16,intestines,nenenene,,,1,
88335,17,liver,àte,"Higado (Bxn 1ŋ72)",,1,
88336,17,liver,ate,Liver,,1,
6333,18,breast,u'u,"Breast, dug, teat; milk (Fts)",,1,
133520,18,breast,û,,,1,
3228594,18,breast,hu,,,1,
6690,19,shoulder,kapuhibi,"Shoulder (Fts)",,8,
133576,19,shoulder,kapuhivi,,,8,
3227979,19,shoulder,kekehu,,,,
133555,20,"to know, be knowledgeable",agi,,,,
3228595,20,"to know, be knowledgeable",kite,,,12,
130625,21,"to think",mana'u,,,7,
3228596,21,"to think",manako,,,7,
88886,22,"to fear",riaria,"L from Tahitian",L,8,
133540,22,"to fear",mataku,,,1,
8118,23,blood,toto,"Blood (Fts)",,4,
8475,24,head,puoko,"Head (Mtx)",,10,
130624,25,neck,gao,,,x,
3228597,25,neck,kaki,,,20,
9189,26,hair,huru/huru,Hair,,31,
133548,26,hair,huruhuru,feather,,x,
133549,26,hair,oho,,,36,
3228598,26,hair,rauoho,,,"40, 36",
9546,27,nose,ihu,Nose,,1,
9903,28,"to breathe",haa,,,11,
3228599,28,"to breathe",anave,"unusual loss of initial [m]",,1,
10260,29,"to sniff, smell",hoŋi,"Kiss, smell",,9,
133578,29,"to sniff, smell",hogi,,,9,
88732,30,mouth,haha,Mouth,,1,
88733,30,mouth,ŋutu,"Beak, bill, lip, mouth (Fts)",,x,
133559,30,mouth,gutu,,,2,
3228600,30,mouth,haha,,,1,
10974,31,tooth,niho,Tooth,,1,
88767,32,tongue,àrero,"Lengua (organo e idioma) (Bxn 1ŋ72)",,15,
88768,32,tongue,arero,Tongue,,15,
11688,33,"to laugh",kata,"Laugh, smile (Fts)",,7,
88849,34,"to cry",tagi,"To cry, bark, mew (Chl)",,1,
88850,34,"to cry",taŋi,"Llorar, lamentarse (Egt)",,1,
12402,35,"to vomit",rua,Vomit,,8,
12759,36,"to spit",àànu,"Saliva, escupir (Bxn 1972)",,"14,84, 121",
133580,36,"to spit",aanu,,,"14,84, 121",
13116,37,"to eat",kai,"Food, eat",,"1,47",
88887,38,"to chew",mama,"Pollex 06: Mama. :Chew.",,1,
130653,39,"to cook",tunu,,,9,
14187,40,"to drink",unu,"Drink (Fts)",,1,
130652,41,"to bite",gau,,,7,
90061,42,"to suck",omo/omo,"Sip, suck B. [<]",,7,
90062,42,"to suck",omo,"Sip, suck (Fts)",,7,
3228601,42,"to suck",miti,,,8,
15258,43,ear,tariŋa,Ear,,1,
133535,43,ear,tariga,,,1,
130651,44,"to hear",garo'a,,,1,
3228602,44,"to hear",roŋo,,,1,
15972,45,eye,mata,"Eye (Fts)",,1,
133573,46,"to see",tikea,,,1,
3228603,46,"to see",kite,"variant: ite",,1,
16686,47,"to yawn",haka/mama,"Yawn (Fts)",,"19,28",
3228604,47,"to yawn",amama,,,"19,28",
17043,48,"to sleep",moe,Sleep,,"10, 109",
133557,49,"to lie down",moe,,,6,
133530,50,"to dream",moe,,,7,
18114,51,"to sit",noho,Sit,,16,
18471,52,"to stand",tu'u,"Stand, arrive; mast, shaft (Fts)",,2,
3228605,52,"to stand",tutu,,,2,
18828,53,"person/human being",taŋata,Man,,"1,66, 97",
133567,53,"person/human being",tagata,man,,"1,66, 97",
19185,54,man/male,tane,"L from Tahitian",L,"1,11",
3228606,54,man/male,tamaroa,,,10,
91090,55,woman/female,bahine,"L from Tahitian",L,"1,106",
91091,55,woman/female,tama(ha)/hine/,"Feminine, female (Fts)",,"1,98",
133611,55,woman/female,tama,,,98,
3228607,55,woman/female,uha,,,,
130650,56,child,poki,,,,
130649,57,husband,kenu,,,,
133607,58,wife,vî'e,,,5?,
88888,59,mother,matu'a,,,4,
3228608,59,mother,kui,,,15,
88889,60,father,matu'a,,,9,
88894,60,father,koro,,,31,
21684,61,house,hare,House,,14,
91388,62,thatch/roof,àto,"Techar exteriomente una casa, bardar un techo (Bxn. 1ŋ72)",,1,
91389,62,thatch/roof,ato,"To roof",,1,
3228609,62,thatch/roof,puru,,,,
22398,63,name,iŋoa,Name,,6,
133560,63,name,îgoa,,,6,
133570,64,"to say",kî,,,43,
3228610,64,"to say",tako,,,128,
23112,65,rope,taura,"Cable, cord, rope, string (Fts)",,9,
23469,66,"to tie up, fasten",ha/ha'u/,"Atar, amarra, lazada (Bxn. lŋ72)",,11,
133598,66,"to tie up, fasten",haha'u,,,11,
3228611,66,"to tie up, fasten",hahi,,,,
