id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
270,"Proto-Oceanic (Blust)","Blust (1993)",,ocea1241,"Blust, Robert. Central and Central–Eastern Malayo-Polynesian. 32:241–293 (1993).Ross, Pawley & Osmond. The lexicon of Proto Oceanic. Vol. 1 (1998), vol. 2 (2003); plus drafts of some chapters of vol. 3.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, (Proto)","Simon Greenhill","Simon Greenhill","@article{160573,  journal    = {Oceanic Linguistics},  number     = {2},  pages      = {241-294},  title      = {Central and Central-Eastern Malayo-Polynesian},  volume     = {32},  year       = {1993},  bibtexkey  = {blust_malayo-polynesian1993},  fn         = {papua\blust_CEMP1993v2.pdf, papua\blust_CEMP1993_s.pdf},  hhtype     = {overview;comparative},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  src        = {hh, zurich},  srctrickle = {hh#hv:Blust:CEMP, zurich#Blust1993},  author     = {Blust, Robert}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
270,1,hand,*lima,,,"1,64",
627,2,left,*ma-wiʀi,,,"1,59",
83934,3,right,*wanan,,,1,
83935,3,right,*mataqu,,,"5,13",
1341,4,leg/foot,*waqe,,,"1,100",
85174,5,"to walk",*lako,,,1,
85175,5,"to walk",*pano,,,2,
2055,6,road/path,*jalan,,,1,
71676,7,"to come",*mai,,,1,
71677,7,"to come",*maʀi,,,1,
2769,8,"to turn",*liu,,,2,
3126,9,"to swim",*kakaʀu,[?],,5,
71864,10,dirty,*maqitom,,,2,
71865,10,dirty,*ma-qetom,,,2,
3840,11,dust,*qapuk,,,1,
4197,12,skin,*kulit,,,1,
4554,13,back,*muri,"Refers to a spatial relation 'rear' and needs to be removed from this semantic set",,3,
125916,13,back,*takuʀu,,,12,
4911,14,belly,*tian,,,1,
5268,15,bone,*suʀi,,,52,
5625,16,intestines,*tinaqi,,,1,
5982,17,liver,*qate,,,1,
6339,18,breast,*susu,,,1,
6696,19,shoulder,*[qa]paʀa,,,1,
7053,20,"to know, be knowledgeable",*taqu,,,1,
7410,21,"to think",*rodrom,,,13,
