id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
272,"Rukai (Budai F69)","Ferrell (1969)",dru,ruka1240,"Ferrell, R.(1969). Taiwan Aboriginal Groups: Problems in cultural and linguistic classification. Monograph 17: Institute of Ethnology, Academica Sinica","Some slightly different cognacy - see annotations column.Andreea: replaced /đ/ with /ð/ (cf. book).","Austronesian, Rukai","Simon Greenhill","Simon Greenhill","@book{Ferrell69,  address   = {Taiwan},  publisher = {Academica Sinica},  title     = {Taiwan Aboriginal Groups: Problems in cultural and linguistic classification},  series    = {Monograph 17: Institute of Ethnology},  year      = {1969},  author    = {Ferrell, Raleigh}}"
latitude,longitude
22.81669412689984355325,120.91552734375000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
71435,1,hand,ʔa:rimáʔ,,,1,
71436,1,hand,sətapai,,,,
71437,1,hand,arema,,,1,
629,2,left,viríʔ,,,1,
986,3,right,vanál,,,1,
71524,4,leg/foot,dapal',,,55,
71525,4,leg/foot,daʔal',,,55,
71526,4,leg/foot,tsapku,,,,
71527,4,leg/foot,amou,,,,
1700,5,"to walk",udadawác',,,23,
71623,6,road/path,kaur'á,,,42,
71624,6,road/path,kaələa,,,42,
71625,6,road/path,kadarananə,,,1,
71678,7,"to come",niamá',,,,
71679,7,"to come",wakə:la,,,39,
2771,8,"to turn",maliuliús,,,2,
3128,9,"to swim",walaŋúi,,,1,
3485,10,dirty,malisíʔ,,,,
3842,11,dust,səvə́g',,,,
4199,12,skin,ikid',,,62,
4556,13,back,dərə́k',,,71,
4913,14,belly,baráŋ',,,67,
5627,16,intestines,boʔóroʔ,,,53,
5984,17,liver,ʔatái,,,1,
6341,18,breast,totóʔ,,,1,
72251,19,shoulder,livadáŋ,,,49,
72252,19,shoulder,tabalaŋa,,,7,
7055,20,"to know, be knowledgeable",watiŋál',,,71,
7412,21,"to think",kiarəm'rə́m',"looks like this form is entered wrong.",,13,
7769,22,"to fear",mok'lə́d',,,57,
8126,23,blood,ərái,,,40,
72524,24,head,ʔáoloʔ,,,1,
72525,24,head,kapallu,"Skt kapala 'skull'",L,45,
72581,25,neck,rə'əʔ,,,1,
72582,25,neck,rolun,,,,
72583,25,neck,ourohu,,,,
72652,26,hair,isí'oʔ,,,50,
72653,26,hair,ussioi,,,50,
72728,27,nose,ŋuŋu'á,,,28?,
72729,27,nose,coumonu,,,,
72730,27,nose,ongoho,"[AF] isn't it cognate with #27 *ŋusu?",,27?,
9911,28,"to breathe",manianiák',,,59,
10268,29,"to sniff, smell",wasabáliʔ,,,3,
72887,30,mouth,ŋodə́i,,,71,
72888,30,mouth,ŋodui,,,71,
72889,30,mouth,muto-mytou,,,72,
10982,31,tooth,valis',,,2,
11339,32,tongue,ridám',,,3,
11696,33,"to laugh",macacawáʔ,,,1,
12053,34,"to cry",watobí:',,,54,
12410,35,"to vomit",suaŋalái,,,,
12767,36,"to spit",ŋalái,"Sputum / Spittle not verb",,3,
13124,37,"to eat",wakan',,,1,
13838,39,"to cook",wagáʔ,,,,
14195,40,"to drink",woŋól',,,45,
14552,41,"to bite",wakác',"prefixed kaRaC. Irreg. -C",,1,
14909,42,"to suck",waqa:nuqanúʔ,,,,
73723,43,ear,cáliŋaʔ,,,1,
73724,43,ear,charinga,,,1,
15623,44,"to hear",kialaláʔ,,,52,
73812,45,eye,macáʔ,,,1,
73813,45,eye,macha,,,1,
16337,46,"to see",wacəʔə́l',,,77,
73989,48,"to sleep",wapə́c',,,77,
73990,48,"to sleep",oaʔəcə,,,77,
17408,49,"to lie down","ʔikaiŋa waʔət'",,,,
18122,51,"to sit",watakainə́n',,,103,
74126,52,"to stand",wáidi:',,,1,
74127,52,"to stand",wá'iri:,,,1?,
18836,53,"person/human being",ʔomás',,,,
74252,54,man/male,sawalái,,,"1,108",
74253,54,man/male,sarellai,,,"1,108",
74254,54,man/male,aoolai,,,"1,108",
74324,55,woman/female,ʔababái,,,"1,105",
74325,55,woman/female,abaia,,,1,
74411,56,child,rola'i,,,20,
74412,56,child,lalak',,,1,
20978,59,mother,tináʔ,,,1,
21335,60,father,ta:máʔ,,,1,
74626,61,house,da:n',,,41,
74627,61,house,dami,,,,
22406,63,name,nagán',,,1,
22763,64,"to say",kawárevaʔ,,,100,
23120,65,rope,ʔunái,,,,
75045,66,"to tie up, fasten",wa'rə́c',,,71,
75046,66,"to tie up, fasten",wa'və́g,,,,
23834,67,"to sew",wacaicaisi,CaqiS,,"1,52",
75224,69,"to hunt",walúp,,,1,
75225,69,"to hunt",oaloʔo,,,1,
24905,70,"to shoot",wabilakác',,,,
75345,71,"to stab, pierce",warakád',,,,
75346,71,"to stab, pierce",wadər'də́r',,,,
25619,72,"to hit",wasasərúr',"to hit (with fist)",,,
75525,74,"to kill",wabicaluʔ,,,,
75526,74,"to kill",wapacai,,,2,
75555,75,"to die, be dead",waʔacái,,,1,
75556,75,"to die, be dead",opacai,,,1,
27047,76,"to live, be alive",maliliŋái,,,67?,
27404,77,"to scratch",ʔogacəgácə,,,62,
27761,78,"to cut, hack",wati'ábuʔ,,,39,
92326,79,stick/wood,kawaʔ,"Tree / wood",,1,
