id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
274,"Saisiyat F69","Ferrell (1969)",xsy,sais1237,"Ferrell, R.(1969). Taiwan Aboriginal Groups: Problems in cultural and linguistic classification. Monograph 17: Institute of Ethnology, Academica Sinica","Some slightly different cognacy - see annotations column.","Austronesian, Northwest Formosan","Simon Greenhill","Simon Greenhill","@book{Ferrell69,  address   = {Taiwan},  publisher = {Academica Sinica},  title     = {Taiwan Aboriginal Groups: Problems in cultural and linguistic classification},  series    = {Monograph 17: Institute of Ethnology},  year      = {1969},  author    = {Ferrell, Raleigh}}"
latitude,longitude
24.56461038017684828105,120.99517822265625000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
274,1,hand,imaʔ,,,"1,65",
631,2,left,kay'iʔ,,,"1,42",
988,3,right,kaʔnal,,,"1,76",
1345,4,leg/foot,ʔäʔäy,,,1,
71575,5,"to walk",manra'an,,,21,
71576,5,"to walk",maiziza,,,52,
2059,6,road/path,ra'an,,,1,
2416,7,"to come",moway,,,33,
3130,9,"to swim",lalaŋoy,,,1,
3487,10,dirty,arå'iʔ,1?,,95,
3844,11,dust,sä'päʔ,,,,
4201,12,skin,baŋəŝ,,,26,
4558,13,back,ikor,,,1,
4915,14,belly,tiyäl,,,1,
5272,15,bone,böʔöl,,,44,
5629,16,intestines,maʔasay,,,51,
5986,17,liver,räʔäl,,,28,
6343,18,breast,höhöʔ,,,1,
6700,19,shoulder,ʔäba'aʔ,,,1,
7057,20,"to know, be knowledgeable",ra'am,"*[dz]aNam, LS",,38,
7414,21,"to think",eʔazʔazəm,,,1,
7771,22,"to fear",imatiktikot,,,1,
8128,23,blood,ramoʔ,,,20,
8485,24,head,taʔölöh,,,57,
72588,25,neck,warəŋ,,,93,
72589,25,neck,kaŝlar,,,,
72590,25,neck,töʔwiŝ,,,,
9199,26,hair,bokəŝ,,,1,
9556,27,nose,kaŋosəlan,,,43,
9913,28,"to breathe",ehnak,,,57,
10270,29,"to sniff, smell",sazəkən,,,1,
10627,30,mouth,ŋabas,,,68,
10984,31,tooth,nəpən,,,1,
11341,32,tongue,kähmaʔ,,,1,
11698,33,"to laugh",sawaʔ,,,1,
12055,34,"to cry",hömaŋih,,,1,
12412,35,"to vomit",motäʔ,,,1,
12769,36,"to spit",ähök,"Sputum / Spittle not verb",,,
13126,37,"to eat",somiʔäl,,,26,
13840,39,"to cook",tomalək,"< taNek",,1,
14197,40,"to drink",romäʔö',,,43,
14554,41,"to bite",koma'as,"*kaRaC. Irreg. -C",,1,
14911,42,"to suck",ʔomosʔos,,,45,
15268,43,ear,saleʔe',,,35,
15625,44,"to hear",bäzäʔ,,,48,
15982,45,eye,masaʔ,,,1,
16339,46,"to see",kitaʔ,,,1,
17053,48,"to sleep",mäʔrəm,"reflecting *ma-qizem",,27,
74031,49,"to lie down",maywa'wa'kan,,,84,
74032,49,"to lie down",maywa'wa'ak,,,84,
18124,51,"to sit",masa'əŋ,,,91,
18481,52,"to stand",miririʔi',,,1,
18838,53,"person/human being",mäʔiyäh,,,,
19195,54,man/male,kamamanra'an,,,62,
19552,55,woman/female,miŋkoriŋan,,,65,
19909,56,child,korkoriŋ,,,59,
20980,59,mother,ʔoyaʔ,,,2,
21337,60,father,yabaʔ,"PAN *aba(-q) Laurent Sagart",,14,
21694,61,house,täwʔän,,,21,
22408,63,name,raroʔoʔ,,,43,
74851,64,"to say",komoŝa,,,,
74852,64,"to say",maʔiyaka'iʔ,,,,
23122,65,rope,ŝinäʔiŝ,*S-in-aliS,,1,
23479,66,"to tie up, fasten",makisäʔöʔ,,,,
23836,67,"to sew",ŝomäʔiŝ,CaqiS,,"1,52",
75228,69,"to hunt",tomalboyöʔ,,,,
75229,69,"to hunt",ʔmalup,,,1,
24907,70,"to shoot",ponänäʔ,,,1,
25264,71,"to stab, pierce",hömażáb,,,38,
25621,72,"to hit",ŝəmbət,"to hit (with fist)",,103,
26335,74,"to kill",tombok,,,84,
26692,75,"to die, be dead",masay,,,1,
27049,76,"to live, be alive",ʔiʔiyäh,,,63,
27406,77,"to scratch",koma'ka'aw,,,1,
27763,78,"to cut, hack",ʔinsiyaz,,,,
28120,79,stick/wood,kähöy,"Tree / wood",,1,
28477,80,"to split",ŝomawiʔ,,,,
