id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
276,"Siraya F69","Ferrell (1969)",fos,sira1267,"Ferrell, R.(1969). Taiwan Aboriginal Groups: Problems in cultural and linguistic classification. Monograph 17: Institute of Ethnology, Academica Sinica","Some slightly different cognacy - see annotations column.","Austronesian, East Formosan, Southwest","Simon Greenhill","Simon Greenhill","@book{Ferrell69,  address   = {Taiwan},  publisher = {Academica Sinica},  title     = {Taiwan Aboriginal Groups: Problems in cultural and linguistic classification},  series    = {Monograph 17: Institute of Ethnology},  year      = {1969},  author    = {Ferrell, Raleigh}}"
latitude,longitude
22.91792293614604503205,120.76171875000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
83906,1,hand,rima,,,"1,64",
83907,1,hand,dadukam,,,,
164077,1,hand,li-ma,(Chulo-hsien),,"1,64",
633,2,left,mougy,,,"1,59",
71480,3,right,mouwal,,,"1,68",
71481,3,right,ouwal,,,"1,68",
164105,3,right,monal,,,"1,68",
1347,4,leg/foot,toural,,,,
164085,4,leg/foot,sapal,"Foot",,55,
164086,4,leg/foot,titil,"Foot",,,
164087,4,leg/foot,teng-teng,(Chulo-hsien),,,
71579,5,"to walk",mounounang,,,,
71580,5,"to walk",marisip,,,,
2061,6,road/path,darang,,,1,
87853,7,"to come",mouqua,"X : = 'to go to' (SA)",,,
87854,7,"to come",mapil,,,,
87855,7,"to come",mapunakuli,,,3,
71757,8,"to turn",magouvering,"magou- = 'do reverse'; -vering 'turn'",,4,
71758,8,"to turn",parit,*paliC,,104,
3132,9,"to swim",lmangoy,,,1,
71868,10,dirty,katil,,,,
71869,10,dirty,madidung,,,,
164067,10,dirty,marocksong,,,,
164068,10,dirty,marosock,,,110,
3846,11,dust,mal,,,,
4203,12,skin,validt,doublet,,"2,29",
72045,13,back,ricos,,,1,
72046,13,back,kator,,,,
72091,14,belly,vouil,,,81,
72092,14,belly,vauyl,,,81,
164062,14,belly,bu-ek,(Chulo-hsien),,,
5274,15,bone,toural,,,1,
164084,16,intestines,talamey,"\"Large intestines\"",,97,
72174,17,liver,mauwach,,,47,
72175,17,liver,dapling,,,,
164088,17,liver,mauwah,,,47,
6345,18,breast,oho,,,1,
164064,18,breast,ave,"\"Upper breast\"",,,
164065,18,breast,vangonga,", \"Lower-most breast\"",,,
72255,19,shoulder,tago,,,80,
72256,19,shoulder,tagu,,,80,
7059,20,"to know, be knowledgeable",mouvana,*bajaq,,2,
342641,20,"to know, be knowledgeable",m-umxa,,,,
342642,20,"to know, be knowledgeable",k<m>alang,,,,
7416,21,"to think",pagdimdim,,,13,
7773,22,"to fear",mattacot,"this might be a Malay loan although the ma prefix i would then be hard to explain.BB.",L?,1,
72461,23,blood,àmagh,,,"44,39",
72462,23,blood,gamach,,,"44,39",
72463,23,blood,gama,,,"44,39",
88572,24,head,vaungo,,,2,
88573,24,head,vongo,,,2,
88574,24,head,bungu,,,2,
88575,24,head,uho,,,,
164078,24,head,bong-ngo,(Chulo-hsien),,2,
72591,25,neck,ruch,"always with i in G dial.",,1,
72592,25,neck,taang,,,,
72593,25,neck,lalo,,,,
72594,25,neck,kuduak,,,,
72654,26,hair,voukig,,,1,
72655,26,hair,vaukugh,,,1,
72656,26,hair,bukaun,,,1,
164075,26,hair,vouking,,,1,
164076,26,hair,but-sek,(Chulo-hsien),,1.65,
72735,27,nose,gogos,,,77,
72736,27,nose,gongos,,,77,
72737,27,nose,gungus,,,77,
72738,27,nose,togunut,,,,
164098,27,nose,ngong-ngo-su,(Chulo-hsien),,77,
10272,29,"to sniff, smell",smasangog,,,"26,70",
72894,30,mouth,motaus,,,88,
72895,30,mouth,mulut,loan,L,,
72896,30,mouth,moutous,,,88,
72951,31,tooth,walig,,,2,
72952,31,tooth,wangan,,,,
72953,31,tooth,walit,,,2,
72954,31,tooth,wali,,,2,
72999,32,tongue,dadila,dadila,,4,
73000,32,tongue,dadilah,dadila,,4,
73039,33,"to laugh",mattauwa,,,1,
73040,33,"to laugh",macktlig,,,,
73041,33,"to laugh",matawa,,,1,
164119,33,"to laugh",mattawa,,,1,
73096,34,"to cry",madagam,,,,
73097,34,"to cry",mangi,,,1,
73098,34,"to cry",t'angit'angi,,,1,
73276,37,"to eat",mavock,,,,
73277,37,"to eat",kmang,,,1,
73278,37,"to eat",input,,,,
164116,37,"to eat",ma-bok-kiet-ta,"(Chulo-hsien), \"To eat boiled rice\"",,,
13842,39,"to cook",juku,,,,
73498,40,"to drink",miit,,,71,
73499,40,"to drink",mudadarang,,,,
164115,40,"to drink",bi-ti-ta,"(Chulo-hsien), \"To drink alcoholic drink\"",,,
14913,42,"to suck",smippsip,,,1,
73729,43,ear,tangira,,,"1,72",
73730,43,ear,tangela,,,"1,72",
73768,44,"to hear",gmilingig,,,"1,27",
73769,44,"to hear",pouramang,,,,
73818,45,eye,matta,,,1,
73819,45,eye,mata,,,1,
16341,46,"to see",kmitta,,,1,
17055,48,"to sleep",mesip,,,108,
74035,49,"to lie down",magoutoucong,,,,
74036,49,"to lie down",mariku,,,,
131085,50,"to dream",tmaling,,,50,
164114,50,"to dream",mattimalling,,,50,
18126,51,"to sit",miraong,,,57,
18483,52,"to stand",mitouko,,,,
74191,53,"person/human being",sidaia,,,,
74192,53,"person/human being",ta'u,,,1,
164101,53,"person/human being",cagoulong,,,72,
164102,53,"person/human being",kak-ko-lang,"(Chulo-hsien), In ma-tok-ke-kak-ko-lang \"many people\"",,72,
74255,54,man/male,cagoulong,,,59,
74256,54,man/male,amama,,,125,
74257,54,man/male,kaxuloung,,,59,
164090,54,man/male,ama,,,125,
74330,55,woman/female,ina,ina,,30,
74331,55,woman/female,inina,in(a)-ina,,30,
19911,56,child,allack,,,1,
164066,56,child,allak,,,1,
164081,57,husband,bi-ka,"(Chulo-hsien), \"Husband\"",,,
164082,57,husband,ke-ka-lo,"(Chulo-hsien), \"Wife\"",,,
164124,58,wife,bi-ka,"(Chulo-hsien), \"Husband\"",,74,
