id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
281,Lakalai,"A. Chowning",nak,naka1262,"Chowning, A. (1996) Relations among languages of West New Britain: an assessment of recent theories and evidence. Pp. 7-62 In M.D. Ross, Ed. Studies in Languages of New Britain and New Ireland. 1: Austronesian Languages of the North New Guinea Cluster in Northwestern New Britain. Pacific Linguistics, C-135.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, Willaumez","Simon Greenhill","Simon Greenhill","@incollection{152885,  address    = {Canberra},  booktitle  = {Studies in Languages of New Britain and New Ireland, I: Austronesian Languages of the North New Guinea Cluster in Northwestern New Britain},  pages      = {7-62},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  title      = {Relations among languages of West New Britain: an assessment of recent theories and evidence},  year       = {1996},  bibtexkey  = {chowning_britain-assessment1996},  fn         = {papua\chowning_wnew-britain1996.pdf, papua\chowning_wnew-britain1996_ov2.pdf, papua\ross_new-ireland-new-britain1996.pdf, papua\chowning_wnew-britain1996_o.pdf, papua\chowning_relations-west-new-britain1996_o.pdf},  hhtype     = {overview;comparative},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#hv:Chowning:WNewBritain},  author     = {Chowning, Ann},  editor     = {Ross, Malcolm D.}}"
latitude,longitude
-5.00000000000000000000,151.00000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
281,1,hand,lima,,,1,
638,2,left,meru,,,18,
995,3,right,labalaba,cf94,,,
1352,4,leg/foot,vaha,,,20,
1709,5,"to walk",tuga,,,13,
2066,6,road/path,gauru,,,9,
2423,7,"to come",go-mai,,,"1,90",
2780,8,"to turn",vulo,,,33,
3137,9,"to swim",puru,,,13,
3494,10,dirty,mumugu,,,18,
3851,11,dust,magasa-pupusi,EarthRises,,10,
87996,12,skin,kulikuli,,,1,
87997,12,skin,vovo,=body,,13,
72047,13,back,poga,,,19,
72048,13,back,poke,,,19,
4922,14,belly,tia,,,1,
5279,15,bone,tuha,,,"1,10",
5636,16,intestines,tamusi,,,18,
5993,17,liver,hate,,,1,
6350,18,breast,susu,,,1,
72257,19,shoulder,pala,,,1,
72258,19,shoulder,belo,,,26,
7064,20,"to know, be knowledgeable",rovi,,,21,
7421,21,"to think",gabutatala,,,87,
88537,22,"to fear",taga,,,12,
88538,22,"to fear",matau,,,1,
8135,23,blood,kasoso,,,11,
8492,24,head,gama,,,22,
8849,25,neck,loho,,,28,
9206,26,hair,ivu,,,13,
9563,27,nose,maisu,,,"1,75",
9920,28,"to breathe",lalahate,,,21,
10277,29,"to sniff, smell",aso,,,1,
10634,30,mouth,hare,,,15,
10991,31,tooth,livo,,,"1,35",
11348,32,tongue,kalamea,,,"7, 14",
11705,33,"to laugh",lege,,,28,
12062,34,"to cry",tali,,,1,
12419,35,"to vomit",kalalua,,,8,
73192,36,"to spit",kapute,,,"19, 92",
73193,36,"to spit",kavarasi,,,26,
13133,37,"to eat",ani,,,1,
73344,38,"to chew",gari,,,12,
73345,38,"to chew",kamuta,,,71,
13847,39,"to cook",gutu,,,15,
14204,40,"to drink",liu,,,1,
89839,41,"to bite",ala,,,1,
89840,41,"to bite",tolo,,,24,
89841,41,"to bite",koro,,,15,
89842,41,"to bite",gari,,,,
14918,42,"to suck",susu,,,25,
15275,43,ear,gavusa,,,7,
15632,44,"to hear",lolo,,,"1, 36",
15989,45,eye,mata,,,1,
16346,46,"to see",hilo,,,119,
16703,47,"to yawn",tolomaha,,,"19, 25",
17060,48,"to sleep",mavuta,,,15,
17417,49,"to lie down",mavuta,,,69,
17774,50,"to dream",tagabara,,,16,
18131,51,"to sit",pou,,,24,
18488,52,"to stand",magiri,,,1,
18845,53,"person/human being",tau,1,,1,
91025,54,man/male,tahalo,man,,18,
91026,54,man/male,hatamale,male,,"1,14",
91092,55,woman/female,tavile,woman,,"1,35",
91093,55,woman/female,hatavile,female,,"1,35",
19916,56,child,guliliki,,,13,
20273,57,husband,harua,,,2,
20630,58,wife,rutu,,,16,
20987,59,mother,tila,,,1,
21344,60,father,tama,,,1,
21701,61,house,luma,,,1,
91390,62,thatch/roof,varu,forehead,,14,
91391,62,thatch/roof,ivu,hair,,32,
22415,63,name,isa,,,66,
22772,64,"to say",vei,,,"13, 93",
23129,65,rope,mota,,,13,
75047,66,"to tie up, fasten",kisi,,,20,
75048,66,"to tie up, fasten",solo,,,,
75049,66,"to tie up, fasten",vuu,,,,
23843,67,"to sew",sahi,,,2,
24200,68,needle,salu,,,1,
24557,69,"to hunt",vamusi,,,20,
24914,70,"to shoot",kapiti,,,,
25271,71,"to stab, pierce",ubi,,,,
25628,72,"to hit",kue,,,20,
25985,73,"to steal",pakali,,,14,
26342,74,"to kill",bili,,,19,
26699,75,"to die, be dead",peho,,,7,
75593,76,"to live, be alive",oio,,,,
75594,76,"to live, be alive",mahuli,,,"1, 76",
27413,77,"to scratch",kasi,,,5,
75770,78,"to cut, hack",vari,,,13?,
75771,78,"to cut, hack",tubi,,,,
75772,78,"to cut, hack",tolo,,,28,
28127,79,stick/wood,malege,,,,
28484,80,"to split",sulu,,,38,
92419,81,sharp,kara,,,69,
92420,81,sharp,mata,,,36,
29198,82,"dull, blunt",matatupo,"'sharp' + 'not'",,x,
29555,83,"to work",igo-golu,,,18,
29912,84,"to plant",galu,,,14,
30269,85,"to choose",isu,,,,
30626,86,"to grow",tubu,,,1,
76318,87,"to swell",sogo,,,15,
76319,87,"to swell",buku,,,24,
76320,87,"to swell",pore,,,,
31340,88,"to squeeze",bebe,,,"21,80",
76476,89,"to hold",abi,,,23,
76477,89,"to hold",sau,,,20,
32054,90,"to dig",oli,,,1,
32411,91,"to buy",loto,,,16,
32768,92,"to open, uncover",kope,,,16,
76707,93,"to pound, beat",katu,,,17,
76708,93,"to pound, beat",voro,,,,
76793,94,"to throw",pigi,,,39,
76794,94,"to throw",laba,,,16,
76885,95,"to fall",boru,,,,
76886,95,"to fall",paru,,,23,
34196,96,dog,paia,,,14,
34553,97,bird,malu,,,1,
34910,98,egg,hatotolu,,,1,
104638,99,feather,ivu,,,7,
104639,99,feather,kokoma,,,10,
35624,100,wing,palapala,,,17,
35981,101,"to fly",lovo,,,1,
36338,102,rat,kusuke,,,"3,86",
36695,103,meat/flesh,maili,,,20,
37052,104,fat/grease,molamola,,,"1,65",
37409,105,tail,kiu,,,1,
37766,106,snake,pase,,,,
77456,107,"worm (earthworm)",pakeso,,,,
77457,107,"worm (earthworm)",kirere,,,12,
38480,108,louse,utu,,,1,
38837,109,mosquito,lamo,,,1,
39194,110,spider,kamimisi,,,14,
39551,111,fish,ia,,,1,
77710,112,rotten,mavulu,,,"1, 65",
77711,112,rotten,parara,,,13,
77712,112,rotten,pusa,,,"9, 73",
40265,113,branch,halala,,,1,
40622,114,leaf,galalau,,,15,
40979,115,root,ua,,,39,
41336,116,flower,sesee,,,16,
41693,117,fruit,vavua,,,1,
42050,118,grass,rako,,,,
42407,119,earth/soil,magasa,,,17,
42764,120,stone,uati,,,1,
43121,121,sand,magasa-la-mago,earthofsea,,14,
43478,122,water,lalu,,,"1,43",
43835,123,"to flow",sali,,,24,
44192,124,sea,mago,,,16,
44549,125,salt,mimila,,,9,
45263,127,woods/forest,tibulu,,,19,
78544,128,sky,lagi,,,1,
78545,128,sky,lage,,,1,
45977,129,moon,taio,,,10,
46334,130,star,matatabu,,,15,
78680,131,cloud,gauku,,,20?,
78681,131,cloud,mori,,,,
78731,132,fog,gauku,,,14,
78732,132,fog,veto,,,21,
47405,133,rain,hura,,,1,
78830,134,thunder,"mori kumu",,,,
78831,134,thunder,kuraraba,,,25,
78877,135,lightning,sima,,,15,
78878,135,lightning,meme,,,37,
48476,136,wind,lolovi,,,17,
79051,137,"to blow",vai,,,78,
79052,137,"to blow",vahi,,,78,
49190,138,warm,tivura,,,17,
49547,139,cold,maigi,,,1,
79287,140,dry,tagara,,,35,
79288,140,dry,masaga,,,11,
50261,141,wet,beta,,,18,
50618,142,heavy,tikumu,,,16,
50975,143,fire,havi,,,1,
79502,144,"to burn",goo,,,,
79503,144,"to burn",goho,,,,
51689,145,smoke,sosobu,,,17,
52046,146,ash,buburo,,,14,
79656,147,black,kuru,,,14,
79657,147,black,parakuru,,,14,
52760,148,white,kakea,,,20,
53117,149,red,magegese,,,23,
53474,150,yellow,ialalo,,,9,
79828,151,green,lamalivoloo,,,,
79829,151,green,kakesa,,,8,
54188,152,small,bisi,,,14,
54545,153,big,uru,,,17,
54902,154,short,boboto,,,9,
55259,155,long,malau,,,12,
80202,156,thin,malauga,,,,
80203,156,thin,tavi,,,8,
80222,157,thick,uru,,,,
80223,157,thick,bitolu,,,3,
80289,158,narrow,bisi,kapilikia=ofdoorwayonly,,31,
80290,158,narrow,kapilikia,"of door way only",,1,
56687,159,wide,uru,,,,
80417,160,"painful, sick",ligi,,,,
80418,160,"painful, sick",lea,,,20,
57401,161,"shy, ashamed",mahela,,,42,
57758,162,old,uru,big,,,
58115,163,new,halaba,,,9,
80651,164,good,taritigi,,,24,
80652,164,good,tigi,,,24,
58829,165,"bad, evil","kama kokora",notadequate,,15,
80801,166,"correct, true",taritigi,,,,
80802,166,"correct, true",sesele,,,16,
80803,166,"correct, true",matata,straight,,28,
59543,167,night,logo,,,11,
59900,168,day,haro,,,"1, 54",
60257,169,year,leavala,rainyseason,,12,
123630,170,when?,gaisa,(future),,"1,24",
123631,170,when?,alisa,(past),,"1,43",
123632,170,when?,alaisa,(past),,"1,43",
60971,171,"to hide",tari-kokovu,,,"11,10",
81069,172,"to climb",go-ata,,,,
81070,172,"to climb",sae,,,2,
61685,173,at,"oio te",,,10,
62042,174,"in, inside",o-ilo,,,"1,26",
62399,175,above,o-ata,,,1,
62756,176,below,o-talo,,,15,
81405,177,this,-le,,,9,
81406,177,this,ale,,,9,
63470,178,that,aleo,,,18,
63827,179,near,hagavi,,,19,
64184,180,far,malau,,,21,
81743,181,where?,o-ve,,,3,
81744,181,where?,oio-ve,,,3,
64898,182,I,"ŋa (eau)",,,x,
65255,183,thou,eme,,,8,
65612,184,he/she,eia,,,1,
123633,185,we,etatou,,,2,
123634,185,we,amiteu,,,2,
66326,186,you,amutou,,,"1,32",
66683,187,they,egiteu,,,"25,60",
82268,188,what?,(la)-rova,,,28,
82269,188,what?,lava,,,1,
67397,189,who?,ere(i),,,1,
67754,190,other,isapolo,,,9,
68111,191,all,tomi,,,18,
68468,192,and,me,,,2,
82656,194,how?,mave,,,17,
82657,194,how?,ilava,,,,
123607,195,"no, not",ouka,"no,not",,49,
123608,195,"no, not",ka(ma),,,19,
69896,196,"to count",gigi,,,17,
82879,197,One,-saa,,,1,
82880,197,One,-sasa,,,1,
70610,198,Two,-lua,,,1,
70967,199,Three,-tolu,,,1,
71324,200,Four,-vaa,,,1,
