id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
285,Amara,"Thurston (1996)",aie,amar1272,"Thurston, W.R. (1996). Amara: An Austronesian language of Northwestern New Britain. In Ross, M.D. Studies in Languages of New Britain and New Ireland. Canberra: Pacific Linguistics",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Southwest New Britain, Amara","Simon Greenhill","Simon Greenhill","@incollection{100250,  address    = {Canberra},  booktitle  = {Studies in the Languages of New Britain and Ireland 1: Austronesian Languages of the North New Guinea Cluster in Northwestern New Britain},  pages      = {197-248},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics: Series C},  title      = {Amara: An Austronesian Language of Northwestern New Britain},  volume     = {135},  year       = {1996},  bibtexkey  = {thurston_amara-northwestern1996},  fn         = {papua\thurston_amara1996_o.pdf, papua\ross_new-ireland-new-britain1996.pdf, papua\thurston_amara1996.pdf},  hhtype     = {grammar_sketch},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  src        = {hh, wals},  srctrickle = {hh#s:Thurston:Amara, wals#6002},  author     = {Thurston, William R.},  editor     = {Ross, Malcolm D.}}"
latitude,longitude
-5.52851052569278778037,148.67797851562500000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
285,1,hand,lume,,,1,
642,2,left,ŋas,"left hand",,19,
999,3,right,togou,"right hand",,,
1356,4,leg/foot,"ka ruo",,,1,
1713,5,"to walk",leila,,,14,
2070,6,road/path,ekreŋ,,,11,
2427,7,"to come",me,,,1,
71759,8,"to turn",pul,,,33,
71760,8,"to turn","opul iou","I turn myself",,33,
87923,9,"to swim",iouiou,"on surface",,,
87924,9,"to swim",kultip,underwater,,71,
3498,10,dirty,mukmuk,,,18,
71932,11,dust,asakir,,,,
71933,11,dust,asakirkir,,,,
4212,12,skin,kulkulio,,,1,
4569,13,back,"vine pio",,,,
4926,14,belly,kope,,,2,
5283,15,bone,gigio,,,,
5640,16,intestines,gorgorio,,,,
5997,17,liver,katkate,,,1,
72213,18,breast,kosio,,,,
72214,18,breast,nemŋe,,,,
6711,19,shoulder,galaŋa,,,,
7068,20,"to know, be knowledgeable",klele,,,18,
7782,22,"to fear",motou,,,1,
8139,23,blood,otopo,,,12,
8496,24,head,"gude kane",,,,
72595,25,neck,adeŋe,,,,
72596,25,neck,"guda maganio",,,,
9210,26,hair,uore,,,14,
9567,27,nose,"sŋore ka",,,,
72778,28,"to breathe",omomod,,,,
72779,28,"to breathe",opuop,,,,
10281,29,"to sniff, smell",duŋki,,,,
10638,30,mouth,"na kane vre",,,36,
10995,31,tooth,"na kane vre kokŋe",,,,
11352,32,tongue,"meme gudio",,,7,
11709,33,"to laugh",ŋiŋ,,,44,
12066,34,"to cry",taŋ,,,1,
12423,35,"to vomit",memto,,,1,
73196,36,"to spit",epsok,,,,
73197,36,"to spit",pre,,,,
73279,37,"to eat",ken,,,1,
73280,37,"to eat",kenen,,,1,
13494,38,"to chew",ŋas,"chew betel",,12,
73440,39,"to cook",peiou,,,113,
73441,39,"to cook",some,,,,
14208,40,"to drink",in,,,1,
14565,41,"to bite",kere,,,1,
14922,42,"to suck",nem,"suckle; irregular *u > e",,"50, 36",
15279,43,ear,"telŋe gudio",,,1,
15636,44,"to hear",loŋo,,,"1, 36",
15993,45,eye,mete,,,1,
16350,46,"to see",rei,,,13,
17064,48,"to sleep",kono,,,8,
17421,49,"to lie down",kono,,,1,
17778,50,"to dream",kanimnim,,,"1,37,40",
18135,51,"to sit",meitei,,,150,
18492,52,"to stand",mid,,,1,
90992,53,"person/human being",otogou,(s),,"1,40",
90993,53,"person/human being",otodgoio,(pl),,"1,40",
74258,54,man/male,adan,,,,
74259,54,man/male,auram,"young man",,,
