id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
289,Babuyan,"Tsuchida et al. (1987)",ivv,ivat1242,"Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo",,"Austronesian, Malayo-Polynesian, Philippine, Bashiic, Ivatan","Simon Greenhill","Simon Greenhill","@book{46500,  address               = {Tokyo},  pages                 = {v+227},  publisher             = {University of Tokyo},  title                 = {List of selected words of Batanic languages},  year                  = {1989},  bibtexkey             = {moriguchi-tsuchida-yamada_selected-batanic1989},  class_loc             = {PL5571.Z5},  document_type         = {B},  hhtype                = {overview;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 5571 BAT 1989},  src                   = {hh},  srctrickle            = {hh#hw:Tsuchidaetal:Batanic:Worsds},  subject_headings      = {Batan language–Glossaries, vocabularies, etc, Batan language–Glossaries, vocabularies, etc},  author                = {Tsuchida, Shigeru and Yamada, Yukihiro and Moriguchi, Tsunekazu}}"
latitude,longitude
19.51837547860156618640,121.95922851562500000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
289,1,hand,panorowan,,,22,
83928,2,left,holi,left,,26,
83929,2,left,kaholi,"left (affixed)",,26,
83936,3,right,wanan,right,,1,
83937,3,right,kawanan,"right (affixed)",,"1,62",
1360,4,leg/foot,ayi,,,1,
85176,5,"to walk",ayam,"to walk",,17,
85177,5,"to walk",omayam,"to walk (affixed)",,,
2074,6,road/path,rarahan,"road or path",,"1,54",
87856,7,"to come",ay,"to come",,1,
87857,7,"to come",may,"to come (affixed)",,1,
87878,8,"to turn",siwal,"to change one's direction",,22,
87879,8,"to turn",somiwal,"to change one's direction (affixed)",,,
87929,9,"to swim",awat,"to swim",,21,
87930,9,"to swim",mayawat,"to swim (affixed)",,,
135634,10,dirty,rudit,,,27,
135635,10,dirty,marudit,,,27,
3859,11,dust,ahbek,,,"1,49",
4216,12,skin,kodit,,,1,
4573,13,back,dicod,,,1,
4930,14,belly,bodek,,,27,
5287,15,bone,tohang,,,1,
5644,16,intestines,cinayi,,,1,
6001,17,liver,atayi,,,1,
6358,18,breast,soso,,,1,
6715,19,shoulder,pakoh,,,21,
88431,20,"to know, be knowledgeable",panmo,"to know",,25,
88432,20,"to know, be knowledgeable",ipapanmo,"to know (affixed)",,25,
88433,20,"to know, be knowledgeable",patak,"to know",,27,
88434,20,"to know, be knowledgeable",icapatak,"to know (affixed)",,27,
