id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
30,Kairiru,"R. Wivell",kxa,kair1263,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Schouten, Kairiru-Manam, Kairiru","Simon Greenhill","Simon Greenhill","@misc{Wivell-30-2005,  author = \"R. Wivell\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-3.35440535760295155399,143.56384277343750000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
30,1,hand,koweñ,,,62,
387,2,left,ñai,,,19,
744,3,right,mouwon,,,"1,29",1?
1101,4,leg/foot,kayeñ,,,1,?
1458,5,"to walk",vyal,,,116,?
1815,6,road/path,jyel,,,1,1
2172,7,"to come",myai,,,1,1
2886,9,"to swim",iyei,,,,
3243,10,dirty,jirjir,,,,
3957,12,skin,quliñ,(his),,1,1
72012,13,back,kapya-,(his),,111,
72013,13,back,nirri,(his),,,
72014,13,back,ñumurri,(his),,3,
4671,14,belly,tiyeñ,(his),,1,1
5028,15,bone,jikyap,,,33,
5385,16,intestines,tinak,(?),,1,1
5742,17,liver,kurpuñ,(his),,,
6099,18,breast,sus,,,1,1
6456,19,shoulder,qarapañ,(his),,1,
6813,20,"to know, be knowledgeable",touñ,,,1,?
7170,21,"to think",naq,,,,
72395,22,"to fear",qu,,,79,
72396,22,"to fear",quwe,,,79,
7884,23,blood,jinai,,,31,
72482,24,head,qarai,"'his head'",,,
72483,24,head,ipwoñ,"'his head'",,14,
72484,24,head,sameñ,"'his head'",,69,
8598,25,neck,nakeñ,(his),,,
8955,26,hair,yir̃,,,,
72679,27,nose,isuñ,(his),,1,1
72680,27,nose,kolañ,(his),,,1
72681,27,nose,nukalañ,(his),,,1
72682,27,nose,nar̃uñ,(his),,,1
9669,28,"to breathe",pui,[N],,,
72790,29,"to sniff, smell",spu,,,,
72791,29,"to sniff, smell",spoun,,,,
72836,30,mouth,puriñ,(his),,57,
72837,30,mouth,smañ,(his),,,
10740,31,tooth,ñar̃oñ,(his),,10,
11097,32,tongue,mamañ,(his),,7,?
11454,33,"to laugh",ulik,,,,
73054,34,"to cry",taŋ,,,1,1
73055,34,"to cry",tiŋ,,,1,1
12168,35,"to vomit",mumut,,,1,1
73158,36,"to spit",qanswoi,,,"14, 90",
73159,36,"to spit",qans,,,"14, 90",
73208,37,"to eat",moñeq,,,8,1
73209,37,"to eat",qan,,,1,1
73299,38,"to chew",jiem,"(Chew Betel)",,65,
73300,38,"to chew",jm,"(Chew Betel)",,65,
73301,38,"to chew",jim,"(Chew Betel)",,65,
86065,39,"to cook",nau,"c.f. 57/58 NB nau 'sear'",,3,1?
86066,39,"to cook",nou,,,3,
86067,39,"to cook",nu,,,3,
13953,40,"to drink",in,,,1,1
14310,41,"to bite",qan,,,38,?
15024,43,ear,tiliŋeñ,(his),,1,1
15381,44,"to hear",ruoŋ,,,1,1
15738,45,eye,mataŋ,(his),,1,1
86068,46,"to see",r̃im,"misplaced should be over r",,21,
86069,46,"to see",r̃ma,,,21,
86070,46,"to see",r̃om,,,21,
16809,48,"to sleep",inamyat,,,,
17166,49,"to lie down",yin,,,1,1
17523,50,"to dream",miu,,,"1, 37",
17880,51,"to sit",mor̃,,,18,
18237,52,"to stand",tu,,,2,1
18594,53,"person/human being",ramat,,,"1,66",1
18951,54,man/male,mo|yan,,,1,?
