id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
302,"East Damar","Taber (1993)",dmr,east2472,"Taber, M. (1993) Toward a better understanding of the indigenous languages of southwestern Maluku. Oceanic Linguistics, 32:2, 389-441",,"Austronesian, Malayo-Polynesian, Central-Eastern, Central Malayo-Polynesian, Timor, Extra-Ramelaic, East, East Damar","Simon Greenhill","Simon Greenhill","@article{110693,  journal    = {Oceanic Linguistics},  number     = {2},  pages      = {389-441},  title      = {Toward a better understanding of the Indigenous Languages of Southwestern Maluku},  volume     = {32},  year       = {1993},  bibtexkey  = {taber_better-maluku1993},  fn         = {papua\taber_better1993.zip, papua\taber_better1993.pdf},  hhtype     = {overview;comparative;wordlist},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#hvw:Taber:SWMaluku},  author     = {Taber, Mark}}"
latitude,longitude
-8.07258086134464569739,128.46321574317281033473
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
302,1,hand,'limano,,,"1,64",
1373,4,leg/foot,'lɛʔɛno,foot,,9,
1730,5,"to walk",ṇ'laʔat,,,"1,47",
2087,6,road/path,lal'no,,,1?,
2444,7,"to come",ṃ'mai,,,1,
3158,9,"to swim","ə  ṇ'nani",,,"1,45",
4229,12,skin,uli'tianno,,,1,
4943,14,belly,'apnono,,,"2,57",
5300,15,bone,ru'rino,,,2,
6014,17,liver,'ralmano,,,5,
6371,18,breast,'huhuno,,,1,
7085,20,"to know, be knowledgeable",ga'tu,,,,
8156,23,blood,'rar,,,1,
8513,24,head,'uluno,,,1,
8870,25,neck,'lirano,,,,
9227,26,hair,bu'gano,,,,
9584,27,nose,'nurmano,70?,,1?,
10655,30,mouth,'wowaro,,,1,
11012,31,tooth,ŋi'hano,,,1,
11369,32,tongue,le'maino,,,6?,
11726,33,"to laugh",ṃ'mali,,,3,
12083,34,"to cry",'ou,,,,
12440,35,"to vomit",ṃ'mut,,,1,
12797,36,"to spit",'napri,,,"9,13",
13154,37,"to eat",game'nan,,,,
14225,40,"to drink",go'mun,,,5,
14582,41,"to bite",'giʔi,,,3,
15296,43,ear,'ŋinano,,,,
15653,44,"to hear",gat'lin,,,,
16010,45,eye,'matano,,,1,
16367,46,"to see",go'ven,,,,
17081,48,"to sleep",gam'dudu,,,1?,
17795,50,"to dream",'ɲatə,,,,
18152,51,"to sit",ṃ'pap,,,,
18509,52,"to stand",nam'briri,,,1,
18866,53,"person/human being",'tamɔt,,,"1,66",
19223,54,man/male,'man,,,1,
19580,55,woman/female,'hat,,,128?,
19937,56,child,'anano,,,1,
20294,57,husband,'hato,,,,
20651,58,wife,'amno,,,2,
21008,59,mother,'inno,,,1,
21365,60,father,'hano,,,7,
21722,61,house,haʋi'al,,,,
22436,63,name,inan'narano,,,1?,
23150,65,rope,'ara,,,2?,
26363,74,"to kill",ṇve'dan,,,,
26720,75,"to die, be dead",ṃ'mat,,,1,
27434,77,"to scratch",ne'wur,,,,
28862,81,sharp,'na:n,,,3?,
33860,95,"to fall",'taiwou,,,,
34217,96,dog,'ahu,,,1,
34574,97,bird,'manuk,,,1,
34931,98,egg,teru'wan,,,1,
36002,101,"to fly",'nɛm,,,7,
36359,102,rat,'ʋau,"Mouse / Rat",,,
36716,103,meat/flesh,ih'ino,,,31,
37073,104,fat/grease,na'pit,,,,
37430,105,tail,ir'wan,,,,
37787,106,snake,tʰuwa'nin,,,,
38501,108,louse,'utu,,,1,
38858,109,mosquito,'nini,,,1?,
39572,111,fish,'jaŋ,,,1,
39929,112,rotten,tu'hah,,,,
40643,114,leaf,'taven,,,7?,
41000,115,root,aha'ran,,,2,
41714,117,fruit,'buan,,,1,
42071,118,grass,'alhan,"Kunai grass",,,
42428,119,earth/soil,'ɛn,,,,
42785,120,stone,'watu,,,1,
43142,121,sand,'matar,,,,
43499,122,water,'er,,,2?,
44213,124,sea,'lur,,,6,
44570,125,salt,'hu,,,,
45284,127,woods/forest,'bʷar,,,,
45641,128,sky,li'anti,,,1,
45998,129,moon,'vulnɔ,,,1?,
46355,130,star,'bintaŋ,,,1?,
46712,131,cloud,'awan,,,1,
47426,133,rain,'mulɔ,,,,
48497,136,wind,'anin,,,1,
49211,138,warm,'panas,=hot,,1,
49568,139,cold,ma'ririn,,,1,
118997,140,dry,ṛʔɛ'ran,Dry,,,
118998,140,dry,ra'liɛr,"to dry",,,
50996,143,fire,'ai,,,1,
51353,144,"to burn",'tʰunu,,,1,
51710,145,smoke,ai'muklan,,,12,
52067,146,ash,li'avu,,,1,
52424,147,black,mu'han,,,,
52781,148,white,wawa'rah,,,6,
53138,149,red,mer'mer,,,1,
53495,150,yellow,mar'mar,,,6,
53852,151,green,mor'mor,,,4?,
55280,155,long,pla'hun,,,10,
55637,156,thin,nam'nihu,,,1,
55994,157,thick,'poum,,,,
57779,162,old,'nau,,,,
58136,163,new,raver'veru,,,1,
58493,164,good,ra'venu,,,,
59564,167,night,'alam,,,20,
62063,174,"in, inside",la'ralmano,inside,,1,
62420,175,above,la'rah,,,,
62777,176,below,la'wo,,,1?,
63134,177,this,'idioi,,,5?,
63491,178,that,'dai,,,,
63848,179,near,hu'til,,,,
64205,180,far,ṛ'lɛt,,,,
64562,181,where?,ladanmai'je,,,,
64919,182,I,'au,,,1,
118999,185,we,'it,incl.,,1,
119000,185,we,'it,excl.,,1,
66347,186,you,'um,,,,
67061,188,what?,an'de,,,,
67418,189,who?,hei'je,,,1?,
68132,191,all,vedue'dinhi,,,,
69203,194,how?,'umbʷannuʔo'e,,,,
69560,195,"no, not",'tadu,,,,
70274,197,One,me'han,,,"1,68",
70631,198,Two,'woru,,,"1,28",
70988,199,Three,wo'telu,,,"1,40",
71345,200,Four,wo'atu,,,"1,17",
