id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
309,"North Babar","Taber (1993)",bcd,nort2860,"Taber, M. (1993) Toward a better understanding of the indigenous languages of southwestern Maluku. Oceanic Linguistics, 32:2, 389-441",,"Austronesian, Malayo-Polynesian, Central-Eastern, Central Malayo-Polynesian, Babar, North","Simon Greenhill","Simon Greenhill","@article{110693,  journal    = {Oceanic Linguistics},  number     = {2},  pages      = {389-441},  title      = {Toward a better understanding of the Indigenous Languages of Southwestern Maluku},  volume     = {32},  year       = {1993},  bibtexkey  = {taber_better-maluku1993},  fn         = {papua\taber_better1993.zip, papua\taber_better1993.pdf},  hhtype     = {overview;comparative;wordlist},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#hvw:Taber:SWMaluku},  author     = {Taber, Mark}}"
latitude,longitude
-8.07258086134464569739,128.46321574317281033473
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
309,1,hand,'namne,,,"1,66",
1380,4,leg/foot,he'inni,foot,,"1,100",
1737,5,"to walk",inata'tanna,,,,
2094,6,road/path,'haʔanai,,,18,
2451,7,"to come",ṇ'mai,,,1,
3165,9,"to swim",ṇ'wɛnnai,,,2,
4236,12,skin,u'nɛʔinai,,,4?,
4950,14,belly,'apene,,,"2,57",
5307,15,bone,'runai,,,2,
6021,17,liver,a'ʔaɲa,,,1?,
6378,18,breast,'dutnijɛ,,,4,
7092,20,"to know, be knowledgeable",ja'ʔakijai,,,47,
8163,23,blood,'raʔanai,,,"1,27",
8520,24,head,'unni,,,3,
8877,25,neck,'onne,,,3,
9234,26,hair,'mukai,,,5,
9591,27,nose,'otne,,,4,
10662,30,mouth,'dioʔane,,,,
11019,31,tooth,'itne,,,3,
11376,32,tongue,'naməne,,,"6,12",
11733,33,"to laugh",ṇ'hanni,,,4,
12090,34,"to cry",ṇ'naroti,,,,
12447,35,"to vomit",in'moʔo,,,14,
12804,36,"to spit",ṇ'nɛtivo,,,4,
13161,37,"to eat",ṇ'weßo,,,,
14232,40,"to drink",'mimno,,,4,
14589,41,"to bite",ṇ'wedado,,,22,
15303,43,ear,'klinnɛ,,,3?,
15660,44,"to hear",jɛ'ʔennio,,,,
16017,45,eye,'matənnɛ,,,1,
16374,46,"to see",jɛ'tenni,,,,
17088,48,"to sleep",'niʔina,,,4,
17802,50,"to dream",ṇ'namui,,,2,
18159,51,"to sit",ṇ'waʔarena,,,,
18516,52,"to stand",ṇ'nɛpri,,,4,
18873,53,"person/human being",'ejai,,,78,
19230,54,man/male,'mɛɲai,,,5,
19587,55,woman/female,'waʔai,,,1?,
19944,56,child,'annai,,,1,
20301,57,husband,'davɛne,,,4,
20658,58,wife,'amne,,,2,
21015,59,mother,'ɛnne,,,1,
21372,60,father,'davɛne,,,2,
21729,61,house,'omai,,,1?,
22443,63,name,'anai,,,,
23157,65,rope,vi'aʔai,,,2,
26370,74,"to kill",ṇ'wunni,,,1,
26727,75,"to die, be dead",ṇ'maʔi,,,1,
27441,77,"to scratch",ṇ'weivero,,,2,
28869,81,sharp,ṇ'nəmare,,,3,
33867,95,"to fall",ṇ'nɛkɲe,,,7,
34224,96,dog,a'duvijai,,,,
34581,97,bird,'manija,,,4?,
34938,98,egg,div'kenjai,,,,
36009,101,"to fly",ṇ'nimo,,,3,
36366,102,rat,'martai,"Mouse / Rat",,4,
36723,103,meat/flesh,'itinai,,,31,
37080,104,fat/grease,nɛ'prono,,,4,
37437,105,tail,'inijai,,,3?,
37794,106,snake,siaʔanan'nanna,,,6,
38508,108,louse,'otijai,,,4?,
38865,109,mosquito,da'dadai,,,3,
39579,111,fish,'inai,,,47,
39936,112,rotten,ṇ'pure,,,1,
40650,114,leaf,'kaʋnija,,,,
41007,115,root,'viana,,,4?,
41721,117,fruit,'vuna,,,3?,
42078,118,grass,'weßəna,"Kunai grass",,7,
42435,119,earth/soil,'kanjai,,,3?,
42792,120,stone,'waʔajaie,,,2?,
43149,121,sand,'ɛnija,,,5?,
43506,122,water,'ßieja,,,2?,
44220,124,sea,na'nora,,,35,
44577,125,salt,'dojai,,,4,
45291,127,woods/forest,'wura,,,4,
46005,129,moon,'wona,,,1?,
46362,130,star,'toʔonɲa,,,,
46719,131,cloud,'mudai,,,,
47433,133,rain,'ho:na,,,,
48504,136,wind,'anniai,,,1,
49218,138,warm,ṇ'vetunni,=hot,,3,
49575,139,cold,'nɛrinnu,,,3?,
122594,140,dry,ṇ'mɛti,Dry,,,
122595,140,dry,nɛviai'jɛnna,"to dry",,3,
51003,143,fire,'amijai,,,2,
51360,144,"to burn",'tunni,,,1,
51717,145,smoke,a'mematɲai,,,5?,
52074,146,ash,'niavi,,,,
52431,147,black,ṇ'mɛʔemmo,,,1,
52788,148,white,ṇ'worwore,,,4,
53145,149,red,ṇ'meme,,,3,
53502,150,yellow,'kurnai,,,1,
53859,151,green,'hidʒau,,,2,
55287,155,long,ne'plavado,,,3,
55644,156,thin,ṇnɛm'nido,,,"3,1",
56001,157,thick,wo'tɛnne,,,5,
57786,162,old,ṇnɛn'ɲero,,,,
58143,163,new,'ʋiʋijɛ,,,3,
58500,164,good,'duane,,,3,
59571,167,night,mɛn'mɛnno,,,4?,
62070,174,"in, inside",'ranne,inside,,1,
62427,175,above,na'hunvia,,,3,
62784,176,below,nera'wenna,,,3,
63141,177,this,'hija,,,,
63498,178,that,'hejai,,,,
63855,179,near,ho'riorijɛ,,,4,
64212,180,far,wiar'niɛte,,,5,
64569,181,where?,'nomai,,,4,
64926,182,I,'jawu,,,1?,
119021,185,we,'ita,incl.,,1,
119022,185,we,'jamoi,excl.,,2,
66354,186,you,'owu,,,2,
67068,188,what?,'dadijɛ,,,3,
67425,189,who?,'dedijɛ,,,3,
68139,191,all,ṇ'nehupno,,,,
69210,194,how?,'ɛtimai,,,,
69567,195,"no, not",ka'manne,,,,
70281,197,One,'mɛdɛ,,,"1,68",
70638,198,Two,'ruwu,,,1,
70995,199,Three,'kini,,,1,
71352,200,Four,'ato,,,1,
