id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
327,So'a,"Male person in So'a, kab. Ngadha, Flores",ssq,cent2074,,,"Austronesian, Malayo-Polynesian, Central-Eastern, Central Malayo-Polynesian, Bima-Sumba","Leif Asplund",,"@misc{Asplund-327-2005,  author = \"Leif Asplund\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-8.67877869236304988476,121.20666503906250000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
327,1,hand,lima,,,"1,64",
684,2,left,léu,,,4,
1041,3,right,wana,,,1,
1398,4,leg/foot,wa'i,,,"1,100",
1755,5,"to walk",la'a,,,1,
2112,6,road/path,la'a,,,1?,
2469,7,"to come",mai,,,1,
2826,8,"to turn",ghéo,,,,
3183,9,"to swim",nangu,,,"1,45",
71874,10,dirty,laka,,,,
71875,10,dirty,kora,,,,
3897,11,dust,nuawu,,,1,
4254,12,skin,huki,"Possibly a borrowing from Nage",,93,
4611,13,back,logo,,,6,
4968,14,belly,tuka,,,4,
5325,15,bone,toko,,,3,
5682,16,intestines,bhara,,,,
6039,17,liver,até,,,1,
6396,18,breast,susu,,,1,
6753,19,shoulder,wigu,,,3,
7110,20,"to know, be knowledgeable",to'a,,,114,
7467,21,"to think",magha,,,85,
7824,22,"to fear",mizo,,,4,
8181,23,blood,ra'a,,,1,
8538,24,head,ulu,,,1,
8895,25,neck,foké,,,5,
9252,26,hair,fuu,,,1,
9609,27,nose,ngizu,,,1,
9966,28,"to breathe",hungai,,,2,
10323,29,"to sniff, smell",ngara,,,,
10680,30,mouth,boro,,,6,
11037,31,tooth,ngi'i,,,24,
11394,32,tongue,lemma,,,6,
11751,33,"to laugh",tawa,,,1,
12108,34,"to cry",kaza,,,,
12465,35,"to vomit",muta,,,1,
12822,36,"to spit",rura,,,,
13179,37,"to eat",ka,,,1,
13536,38,"to chew",ngéu,,,4,
13893,39,"to cook",zaka,,,2,
14250,40,"to drink",inu,,,1,
14607,41,"to bite",kiki,,,1,
73689,42,"to suck",kido,,,,
73690,42,"to suck",musu,,,6,
15321,43,ear,hinga,,,1,
15678,44,"to hear",zenge,,,1,
16035,45,eye,mata,,,1,
16392,46,"to see",ngaddi,,,3,
16749,47,"to yawn",moapa,,,19,
17106,48,"to sleep",nade,,,5,
17820,50,"to dream",nipi,,,"1,60",
18177,51,"to sit",gogu,,,7,
18534,52,"to stand",dai,,,1?,
18891,53,"person/human being",ata,,,4,
19248,54,man/male,"ana haki",,,7,
19605,55,woman/female,"finé ga'e",,,"1,39",
19962,56,child,ana,,,1,
20319,57,husband,haki,,,7,
20676,58,wife,fai,,,31,
21033,59,mother,ué,,,,
