id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
328,"East Sumbanese Kambera, Southern dialect","Local people in Southern Sumba",xbr,kamb1299,"Main entry: words occuring in Nggonggi (Karera) and Lai Lunggi (Tawui). Noted if different: Tab: Tabundung, Tar: Tarimbang and M: Mangili. Short vowels: Ã , i, u long vowels: a, Ã­, Ãº.",,"Austronesian, Malayo-Polynesian, Central-Eastern, Central Malayo-Polynesian, Bima-Sumba","Leif Asplund",,"@misc{Asplund-328-2005,  author = \"Leif Asplund\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-10.07340606318858000634,120.70238112344530634346
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
328,1,hand,lima,"Tab: líma",,"1,64",
685,2,left,kalei,"Tar, M: kalai",,5,
1042,3,right,kawana,,,"1,62",
1399,4,leg/foot,witi,,,5,
85182,5,"to walk",kaku,Tab,,48,
85183,5,"to walk",kandàku,"should be laku .BB",,48,
2113,6,road/path,ànda,,,19,
71688,7,"to come",mai,"Tab: tàka",,1,
71689,7,"to come",mei,"Tab: tàka",,1,
2827,8,"to turn",hilir,"Tar: hèlir, Tab: helir",,104,
3184,9,"to swim",ngani,,,"1,45",
3541,10,dirty,maríhak,,,3,
71937,11,dust,"kàmbur tana","Tar: kumbur tana",,72,
71938,11,dust,au,"Tar: kumbur tana",,1,
4255,12,skin,manula,,,6,
88007,13,back,kanua,"Tar: kajo, Tab: kajio, M: kajiaTar: kajo, Tab: kajio, M: kajia",,,
88008,13,back,wonggu,,,96,
4969,14,belly,kambu,,,2,
72113,15,bone,rí,,,2,
72114,15,bone,"rí kawudu",,,2,
5683,16,intestines,tanai,"M: tanei",,1,
6040,17,liver,ati,,,1,
6397,18,breast,huhu,,,1,
72261,19,shoulder,kondu,,,4,
72262,19,shoulder,kúndu,,,4,
7111,20,"to know, be knowledgeable",pínya,"Tar: penya, M: penya, pínyu",,5,
72388,21,"to think",patandang,"Tab: kananggeng",,3?,
72389,21,"to think",kananding,"Tab: kananggeng",,3?,
7825,22,"to fear",mangàdat,"Tar, Tab: madetu",,21,
72464,23,blood,"wai ria","\"red water\"",,"1,58",
72465,23,blood,"wai ra",,,1,
8539,24,head,katàku,,,6,
8896,25,neck,goru,"(?) Tab, Tar, M: nggoru",,6,
72657,26,hair,"rau longgi","leaf hair; possibly hair < head (ASch)",,40,
72658,26,hair,lúnggi,,,6,
9610,27,nose,uru,,,1,
9967,28,"to breathe",kayeku,,,3,
10324,29,"to sniff, smell",hangudu,,,4,
10681,30,mouth,ngaru,,,7,
11038,31,tooth,ngàndu,"Tab, Tar: wongàndu",,5,
73001,32,tongue,làma,"Tab: wewu",,6,
73002,32,tongue,yú,"Tab: wewu",,,
73003,32,tongue,weu-na,"Tab: wewu",,44,
11752,33,"to laugh",riki,,,6,
12109,34,"to cry",hí,"Tab hei",,55,
12466,35,"to vomit",muta,,,1,
12823,36,"to spit",pangànji,,,5,
13180,37,"to eat",ngangu,,,3,
13537,38,"to chew",nyama,,,3,
13894,39,"to cook",manahu,,,"3,107",
14251,40,"to drink",unu,,,1,
89992,41,"to bite",kati,,,1,
89993,41,"to bite",witu,,,2,
14965,42,"to suck",lamuji,"Tab: habubu, M also homu",,6,
15322,43,ear,kahilu,"M: kawàki",,"1,4",
15679,44,"to hear",ràngi,"Tar: ròngi",,1,
16036,45,eye,mata,"Tar: womata",,1,
16393,46,"to see",tàngar,"Tar: ita, Tab: also ita, M: ita, eluya",,4,
16750,47,"to yawn",mawa,"M mawak",,19,
17107,48,"to sleep",katuda,,,6?,
17821,50,"to dream",manggadipang,,,"1,60,4",
18178,51,"to sit",uhuk,"Tab, Tar: mandidi, M: mandaku",,8,
90977,52,"to stand",dingir,,,6,
90978,52,"to stand",ndolak(u),,,7,
18892,53,"person/human being",tau,,,1,
19249,54,man/male,"tau moni",,,"1,22",
19606,55,woman/female,"tau kawini",,,"1,41,109",
91174,56,child,anakída,"Tab, Tar: anakèda",,1,
91175,56,child,ana,"M: anakeda",,1,
20320,57,husband,lai,,,6,
91239,58,wife,"tau angu",,,35,
91240,58,wife,taun,,,35,
91241,58,wife,tauna,,,35,
21034,59,mother,ina,,,1,
21391,60,father,ama,,,1,
21748,61,house,uma,,,1,
91392,62,thatch/roof,"kawuku uma","Tar: witu, Tab: witu, katàku dadung, M: katàku dadu",,5,
91393,62,thatch/roof,pambungu,"Tar: witu, Tab: witu, katàku dadung, M: katàku dadu",,6,
89887,63,name,tamu,,,4,
89888,63,name,ngara,,,1,
74865,64,"to say",kareòku,"Tar: panewi",,6,
74866,64,"to say",kareuk,"Tar: panewi",,6,
74934,65,rope,leku,,,5,
74935,65,rope,liaku,,,5,
23533,66,"to tie up, fasten",hondu,"Tab, Tar: hòndu",,4,
23890,67,"to sew",utu,,,3,
24247,68,needle,utu,"Tar: ròngu",,2,
75234,69,"to hunt",patama,,,3,
75235,69,"to hunt",patamang,,,3,
24961,70,"to shoot",pana,,,1,
25318,71,"to stab, pierce",hunju,,,37,
25675,72,"to hit",palu,,,1,
75492,73,"to steal",bohu,,,,
75493,73,"to steal",manganga,,,"1,59,60",
26389,74,"to kill",pamati,,,2,
26746,75,"to die, be dead",mati,,,1,
27103,76,"to live, be alive",lúri,,,"1,26",
27460,77,"to scratch",kau,"Tab: pakau",,1,
27817,78,"to cut, hack",ponggu,"M: kadàpu",,4,
75929,80,"to split",bera,"Tab: kawita",,1,
75930,80,"to split",bièra,"Tab: kawita",,1,
28888,81,sharp,dàka,,,4,
29245,82,"dull, blunt",buli,"Tab: karonga",,6,
29602,83,"to work",ràma,,,4,
29959,84,"to plant",tàndung,"M: tondu",,35,
30316,85,"to choose",pindi,"M: putu",,2,
30673,86,"to grow",tumbu,,,1,
76327,87,"to swell",mbo,,,32,
76328,87,"to swell",mbua,,,32,
31387,88,"to squeeze",pàhu,"M: pou",,1,
76478,89,"to hold",àpa,,,,
76479,89,"to hold",kítang,,,6,
32101,90,"to dig",àki,,,4,
32458,91,"to buy",kai,,,24,
32815,92,"to open, uncover",bungga,,,1,
76709,93,"to pound, beat",bia,"M: bie",,1?,
76710,93,"to pound, beat",be,"M: bie",,"1?,13",
33529,94,"to throw",tuku,,,5,
33886,95,"to fall",kanabu,,,"1,105",
34243,96,dog,ahu,,,1,
34600,97,bird,mahawurung,,,5,
34957,98,egg,"telu (e pepet)","Tab: tàlu",,1,
35314,99,feather,"rau ihi",,,24,
35671,100,wing,"rau kàpa",,,1,
36028,101,"to fly",hawurung,,,5,
36385,102,rat,kalau,"Tab, Tar: malau",,"1,83",
77263,103,meat/flesh,tanggu,"M: tolu",,,
77264,103,meat/flesh,tolung,"M: tolu",,4,
77336,104,fat/grease,mboka,"M: mbuoka",,5,
77337,104,fat/grease,mbuaka,"M: mbuoka",,5,
77372,105,tail,kiku,,,"1,69",
77373,105,tail,kaiku,,,"1,69",
37813,106,snake,ular,"M: also tàru",,2,
38170,107,"worm (earthworm)",nyali,"Tab: malila",,3,
38527,108,louse,wutu,,,1,
77543,109,mosquito,kaninik,,,4,
77544,109,mosquito,kalubu,,,,
77579,110,spider,ngínggi,,,3,
77580,110,spider,nggenggi,,,3,
39598,111,fish,iyang,,,1,
105251,112,rotten,muhung,,,4,
105252,112,rotten,mohung,,,4,
40669,114,leaf,rau,,,1,
41026,115,root,amu,,,3,
41383,116,flower,wàla,"Tab: also bunga",,4,
41740,117,fruit,wo,"M: wua",,1,
42097,118,grass,rumba,,,47,
42454,119,earth/soil,tana,,,1,
42811,120,stone,watu,,,1,
43168,121,sand,wara,,,1?,
43525,122,water,wei,"Tar, Tab: wai",,2,
78294,123,"to flow",laku,"M: mbàngat",,,
78295,123,"to flow",jànjar,"M: mbàngat",,,
44239,124,sea,tàhik,"Tab: tèhiku",,1,
44596,125,salt,mahi,"Tab: mèhi (substantive)",,"3,45",
44953,126,lake,tàma,"Tar: ràmuk, Tab, M: ramuk",,4,
118279,127,woods/forest,omang,Tar,,6,
118280,127,woods/forest,oamang,"M: òmang",,6,
45667,128,sky,awang,,,7,
46024,129,moon,wulang,,,1,
46381,130,star,kandunu,,,6?,
118281,131,cloud,kàmbang,"Tar: kamadang",,1,
118282,131,cloud,karumang,"M: karuma",,1,
78735,132,fog,karumang,,,,
78736,132,fog,hambongu,,,6,
47452,133,rain,urang,,,1,
47809,134,thunder,kangguruku,"M: kabèrak",,6,
48166,135,lightning,kabilak,,,"26,6",
48523,136,wind,ngàlu,,,5,
48880,137,"to blow",hapui,"Tar: paruru, Tab: paroru",,1?,
49237,138,warm,mbana,,,1,
49594,139,cold,maringu,,,1,
49951,140,dry,màdu,,,73,
50308,141,wet,mbaha,,,1,
50665,142,heavy,mbotu,,,1,
51022,143,fire,api,,,1,
122788,144,"to burn",tunu,,,1,
122789,144,"to burn",mutung,,,,
51736,145,smoke,kawú,"Tar: kotung",,35,
52093,146,ash,au,"Tab: awu",,1,
52450,147,black,míting,,,1,
52807,148,white,bara,,,3,
53164,149,red,rara,,,5,
122898,150,yellow,kaungi,,,1,
122899,150,yellow,wingir,,,4,
53878,151,green,múru,"Tar: moru",,4,
54235,152,small,kudu,"Tab, Tar: màrak",,"2?,40",
54592,153,big,bàkul,,,5,
54949,154,short,pandak,"Tab, Tar: kèndar, M: pàndak",,1,
122489,155,long,madíta,,,7,
122490,155,long,madeta,,,7,
55663,156,thin,manipa,"Tab, Tar: manipihu",,1,
56020,157,thick,tímbi,"Tab, Tar, M: tembi",,7,
56377,158,narrow,kahukul,"Tar: kujur",,5,
56734,159,wide,mbàlaru,"Tar: malau (about door), gailar (about land)",,2,
57091,160,"painful, sick",hàdu,"Tar: katiu",,4,
122657,161,"shy, ashamed",makí,,,1,
122658,161,"shy, ashamed",makia,,,1,
57805,162,old,kaweda,,,5,
58162,163,new,budi,,,5?,
58519,164,good,hàmu,"Tar: hàm",,6,
121408,165,"bad, evil","nda hàmu",,,4,
121409,165,"bad, evil",kabulak,,,5,
123529,166,"correct, true",padaning,,,5,
123530,166,"correct, true","tanga tàka",,,,
59590,167,night,rudung,,,7,
119479,168,day,làdu,,,12,
119480,168,day,lodu,,,12,
60304,169,year,ndaungu,,,1,
60661,170,when?,pirang,,,"1,65",
81009,171,"to hide",kawuning,,,1,
81010,171,"to hide",kapàndi,,,,
61375,172,"to climb",hai,,,4,
61732,173,at,la,,,2,
62089,174,"in, inside","hu dalu","Tar: nu dàl(u), Tab, M: la kuru",,1,
120877,175,above,"hú díta",,,5,
120878,175,above,"hu deta",,,5,
62803,176,below,"hú wawa","Tar: nu wawa, Tab: wawa, M: hu wá",,1,
123501,177,this,naina,,,,
123502,177,this,na.ina,,,1?,
63517,178,that,nana,"Tar, Tab: naina, M: núna",,1,
63874,179,near,marani,,,1,
64231,180,far,marau,,,"1,6",
64588,181,where?,"la nggí","Tar: la ngge",,5,
64945,182,I,nyungga,,,3,
65302,183,thou,nyumu,"M also yumu",,2,
65659,184,he/she,nyuna,"M also yuna",,2,
123099,185,we,nyuta,incl.,,1,
123100,185,we,nyuma,excl.,,2,
66373,186,you,nyimi,"M also yimi",,14,
66730,187,they,nyuda,,,"4,1",
67087,188,what?,nggàra,"M: gamu",,5,
122647,189,who?,ga.ia,,,,
122648,189,who?,nggamu,,,6,
82369,190,other,hawa.ing,,,3,
82370,190,other,hawiang,,,3,
123122,191,all,"mbulu hela (e pepet)",,,7,
123123,191,all,"mbulu ndeba (e pepet)",,,7,
68515,192,and,dàngu,,,4,
68872,193,if,jàka,"M jàka wàkina",,4,
82660,194,how?,nggikina,"M: wàki wàna",,5,
82661,194,how?,"ngara ula","M: wàki wàna",,6,
121148,195,"no, not",nda,Tab,,2,
121149,195,"no, not",ndia,"Tar: nda.a",,2,
69943,196,"to count",diha,,,5,
70300,197,One,hau,"Tar: diha",,76,
119180,198,Two,dua,Tar,,1,
119181,198,Two,dàmbu,"Tab do",,3,
71014,199,Three,tailu,"M also tilu",,1,
71371,200,Four,patu,,,1,
136417,201,Five,lima,,,1,
136416,202,Six,nàmu,,,14,
136415,203,Seven,pihu,"M pitu",,1,
136413,204,Eight,walu,,,3,
136412,205,Nine,hiwa,,,5,
136414,206,Ten,hambulu,"M hakambulu",,5,
