id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
335,Yami,"D. Victoria Rau",tao,yami1254,,,"Austronesian, Malayo-Polynesian, Philippine, Bashiic, Yami","D. Victoria Rau","D. Victoria Rau","@misc{Rau-335-2005,  author = \"D. Victoria Rau\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
23.26520361929584979066,121.91382626702210245639
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
335,1,hand,lima,,,"1,64",
692,2,left,ozi,"left (hand)",,26,
1049,3,right,wanan,,,1,
1406,4,leg/foot,ai,,,1,
1763,5,"to walk",omalam,,,17,
133454,6,road/path,rarahan,,,"1,54",
133455,7,"to come",mai,,,1,
2834,8,"to turn",vazihoshos,,,,
3191,9,"to swim",miawawat,,,,
3548,10,dirty,malóit,(clothes),,"27,122",
3905,11,dust,ibek,,,"1,49",
4262,12,skin,kolit,,,1,
4619,13,back,likod,,,1,
4976,14,belly,velek,,,27,
5333,15,bone,totoang,,,1,
5690,16,intestines,cinai,,,1,
6047,17,liver,atay,,,1,
6404,18,breast,soso,,,1,
6761,19,shoulder,pakaw,,,21,
7118,20,"to know, be knowledgeable",kátenngan,"to know a person",,26,
199214,21,"to think",nakenakem,,,26,
7832,22,"to fear",mamogaw,,,,
8189,23,blood,rala,,,1,
8546,24,head,oo,,,1,
8903,25,neck,zagaw,,,36,
9260,26,hair,ovok,,,"1,69",
9617,27,nose,momodan,,,19,
10331,29,"to sniff, smell",angno,,,"4, 22",
10688,30,mouth,ngongoy,,,22,
11045,31,tooth,ngepen,teeth,,"1,48",
11402,32,tongue,lila,,,4,
11759,33,"to laugh",mámiying,,,25,
12116,34,"to cry",omlavi,,,10,
12473,35,"to vomit",motowta,,,1,
12830,36,"to spit",cipa,,,15,
13187,37,"to eat",koman,,,1,
89388,38,"to chew",rengey,"chew betel",,,
89389,38,"to chew",ngeh,"chew betel",,,
89698,39,"to cook",rotongan,"to cook",,22,
89699,39,"to cook",kombaz,"to boil",,32,
14258,40,"to drink",inomen,,,1,
14615,41,"to bite",songit,,,19,
73691,42,"to suck",sepsepen,,,1,
73692,42,"to suck",cizopen,,,,
15329,43,ear,talinga,,,1,
15686,44,"to hear",amizingen,,,16,
16043,45,eye,mata,,,1,
16400,46,"to see",citaen,,,1,
17114,48,"to sleep",mitkeh,,,21,
17471,49,"to lie down",mangalalas,"to lie (?)",,,
17828,50,"to dream",teynep,,,30,
18185,51,"to sit",lísna,,,34,
18542,52,"to stand",tánek,,,21,
18899,53,"person/human being",tao,,,1,
19256,54,man/male,mehakay,,,"2,24",
19613,55,woman/female,mavakes,,,16,
91176,56,child,metdeh,,,15,
91177,56,child,kanakan,,,1,
20327,57,husband,mehakay,,,30,
20684,58,wife,mavakes,,,21,
21041,59,mother,ina,,,1,
21398,60,father,ama,,,1,
21755,61,house,vahay,,,14,
22112,62,thatch/roof,atep,roof,,1,
22469,63,name,ngaran,,,1,
22826,64,"to say",vataen,,,40,
23183,65,rope,ovid,,,21,
23897,67,"to sew",tapangen,,,25,
24254,68,needle,rayom,,,1,
25325,71,"to stab, pierce",vónoen,,,26,
26039,73,"to steal",takawen,,,1,
91875,74,"to kill",limanen,,,25,
91876,74,"to kill",zakaten,,,24,
26753,75,"to die, be dead",maliman,,,14,
27467,77,"to scratch",kadkaden,,,60,
27824,78,"to cut, hack",aripen,"to cut or slice meat",,44,
28181,79,stick/wood,kayo,,,1,
28895,81,sharp,matárem,,,1,
29252,82,"dull, blunt",mangáreh,,,26,
29609,83,"to work",vazay,,,,
29966,84,"to plant",moaen,,,1,
30323,85,"to choose",pili,,,1,
31394,88,"to squeeze",zamosen,,,44,
31751,89,"to hold",pinanan,,,,
32108,90,"to dig",kaliin,,,1,
32465,91,"to buy",sazangan,,,19,
33179,93,"to pound, beat",mangsad,"to pound rice",,7,
33536,94,"to throw",patelemen,,,,
33893,95,"to fall",mazba,,,,
76951,96,dog,agsa,,,22,
76952,96,dog,ino,,L,,
34607,97,bird,laciw,,,,
34964,98,egg,icioy,,,1,
35321,99,feather,bobow,,,"1,67",
35678,100,wing,panid,,,2,
36035,101,"to fly",somalap,,,23,
36392,102,rat,karam,,,24,
37106,104,fat/grease,tava,,,23,
37463,105,tail,ipos,,,30,
37820,106,snake,volay,"etymon: *buNay",,29,
38177,107,"worm (earthworm)",kalkalten,,,,
38534,108,louse,koto,,,1,
38891,109,mosquito,tamonong,,,19,
39248,110,spider,ahahawa,,,1,
39605,111,fish,among,,,19,
39962,112,rotten,mehta,,,40,
135765,113,branch,mehta,,,,
40676,114,leaf,vohong,,,18,
41033,115,root,yamot,,,3,
41390,116,flower,savosavong,,,"24,1",
41747,117,fruit,"asiasi no kayo",,,10,
42461,119,earth/soil,tana,,,1,
42818,120,stone,vato,,,1,
43175,121,sand,anay,,,"1,88",
43532,122,water,ranom,,,1,
44246,124,sea,attaw,,,27,
44603,125,salt,asin,,,3,
44960,126,lake,"mibebneng a ranom",,,,
45317,127,woods/forest,kakayoan,,,2,
45674,128,sky,angit,,,1,
46031,129,moon,vehan,,,1,
46388,130,star,"mata no angit",,,18,
46745,131,cloud,cinalab,,,28,
47459,133,rain,cimoy,,,12,
47816,134,thunder,adey,,,32,
48173,135,lightning,cicilat,,,1,
48530,136,wind,sazowsaw,,,26,
79059,137,"to blow",avyot,,,23,
79060,137,"to blow",opag,,,,
49601,139,cold,marékmeh,,,122,
122604,140,dry,makozay,dry,,50,
122605,140,dry,kozayin,"to ripen",,50,
50315,141,wet,mavasa,,,1,
50672,142,heavy,maréhmet,,,"22,64",
51029,143,fire,apoy,,,1,
51386,144,"to burn",kozad,,,,
51743,145,smoke,ahob,,,55,
52100,146,ash,avo,,,1,
52457,147,black,maváheng,,,20,
52814,148,white,malávang,,,28,
53171,149,red,mabazángbang,,,30,
53528,150,yellow,máray,,,26,
53885,151,green,mowgáraw,,,29,
54242,152,small,aLíkey,"small object",,"66,124",
54599,153,big,aráko,,,22,
80144,154,short,mavéveh,,,54,
80145,154,short,alígned,,,,
55313,155,long,anáro,,,1,
55670,156,thin,matarípis,,,"1,11",
56027,157,thick,mágsaz,,,23,
56384,158,narrow,méylid,,,20,
56741,159,wide,mówvong,,,15,
57098,160,"painful, sick",'ingen,pain,,"24,101",
57455,161,"shy, ashamed",másnek,ashamed,,15,
57812,162,old,rarakeh,,,23,
58169,163,new,vayo,,,"1,54",
58526,164,good,apía,,,1,
58883,165,"bad, evil",maráhet,,,1,
199213,166,"correct, true",manoyong,,,,
59597,167,night,mahep,,,22,
59954,168,day,araw,,,"1,54",
60311,169,year,awan,,,"2,74",
60668,170,when?,mango,,,"10,69",
