id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
336,Puluwatese,"Bender et al. (2003a,b)",puw,pulu1242,"Bender, W.B., Goodenough, W.H., Jackson, F.H., Marck, J.C., Rehg, K.L., Sohn, H., Trussel, S. & Wang, J.W. (2003) Proto-Micronesian Reconstructions I & II.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Micronesian, Micronesian Proper, Ponapeic-Trukic, Trukic","Simon Greenhill",,"@article{304886,  journal    = {Oceanic Linguistics},  number     = {1},  pages      = {1-110},  title      = {Proto-Micronesian Reconstructions: I},  volume     = {42},  year       = {2003},  bibtexkey  = {bender-goodenough-jackson-marck-rehg-sohn-trussel-wang_micronesian-reconstructions2003},  fn         = {papua\benderetal_proto-micronesian2003.pdf},  hhtype     = {overview;comparative},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#hv:Benderetal:Proto-Micronesian},  author     = {Bender, Byron W. and Goodenough, Ward H. and Jackson, Frederick H. and Marck, Jeffrey C. and Rehg, Kenneth L. and Sohn, Ho-min and Trussel, Stephen and Wang, Judith W.}}"
latitude,longitude
7.33000000000000007105,149.33000000000001250555
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
83908,1,hand,paaw,,,8,
83909,1,hand,pawú-n,,,8,
83910,1,hand,kumʷúʀ,,,9,
71466,2,left,(húyi)-mééyúŋ,"be on the left hand side",,13,
71467,2,left,(yii)-mééyúŋ,"be on the left hand side",,13,
1407,4,leg/foot,peʀe,,,15,
1764,5,"to walk",-fetál,"here and there, everywhere",,8,
87221,6,road/path,yaal,"path/road/street/his path",,1,
87222,6,road/path,yela-(n),,,1,
2835,8,"to turn",kúll,"to turn (as in walking)",,,
71795,9,"to swim",yaf,,,7,
71796,9,"to swim",yáfe-,,,7,
71989,12,skin,kiil,,,1,
71990,12,skin,kili,,,1,
4620,13,back,hakúr,,,12,
88060,14,belly,wuupʷ,"belly, stomach",,11,
88061,14,belly,wupʷe-(er),"their bellys",,11,
5334,15,bone,cúú,,,2,
5691,16,intestines,taa,,,14,
6048,17,liver,yááyá,,,1,
6405,18,breast,túút,breast/nipple,,1,
6762,19,shoulder,yefar,shoulder,,1,
7119,20,"to know, be knowledgeable",kúle-e-(y),"find it, know it, understand it",,18,
88488,21,"to think",máŋimáŋ,thought,,11,
88489,21,"to think",yákiyák,"to think",,12,
88490,21,"to think",yekiyek,"thoughts / plans",,12,
88491,21,"to think",yekiyeki-(y),"thought / suppose",,12,
88492,21,"to think",yákiyák,"think it.",,12,
88493,21,"to think",yekiyek,thoughts/plans/think/suppose,,12,
88494,21,"to think",yekiyeki-(y),"think it",,12,
7833,22,"to fear",me-hak,"be afraid",,1,
72466,23,blood,cca,,,1,
72467,23,blood,ccaa-,,,1,
72601,25,neck,wúúw,,,18,
72602,25,neck,wúwa-(n),,,18,
88637,26,hair,wún,"hair/feather/scale/his hair.",,10,
88638,26,hair,wúnú-(n),,,10,
72741,27,nose,pʷoot,,,"1,12",
72742,27,nose,pʷootú-,,,"1,12",
9975,28,"to breathe",ŋahaŋah,breathe/breath,,10,
10332,29,"to sniff, smell",téŋú-ú-(w),"to smell, sniff (something)",,11,
88734,30,mouth,yaawo,mouth,,36,
88735,30,mouth,yewá-(y),"my mouth",,36,
72959,31,tooth,ŋii,,,30,
72960,31,tooth,ŋii-(n),,,30,
72961,31,tooth,-ŋi,,,30,
88805,33,"to laugh",fah,"to laugh",,10,
88806,33,"to laugh",kkay,"to laugh/be amusing",,11,
88807,33,"to laugh",(ya)-kékkay,"to laugh/be amusing",,11,
12117,34,"to cry",háŋ,,,1,
12474,35,"to vomit",mʷmʷuh,,,1,
89279,36,"to spit",yóttúf,saliva/sputum,,"19, 55",
89280,36,"to spit",óttúfe,"to spit",,"19, 55",
89330,37,"to eat",mʷéŋé,"eat food",,8,
89331,37,"to eat",mʷéŋéé-(n),"food of",,8,
89332,37,"to eat",yaŋi-(y),"nibble/munch/eat it.",,1,
89390,38,"to chew",lúú,"(sic) to chew (as gum)/eat noisily/eat (polite)",,59,
89391,38,"to chew",lúúlú,"chew/eat (polite to children)",,59,
89392,38,"to chew",ŋú-ti-(y),"chew and suck it",,11,
89700,39,"to cook",mʷoot,cooked,,"19, 82",
89701,39,"to cook",(ya)-mʷoot,"to cook",,"19, 82",
89702,39,"to cook",(yó)-mʷoot,"to cook",,"19, 82",
89703,39,"to cook",mʷoot,"cooked/cook slowly",,"19, 82",
89704,39,"to cook",(yó)-mʷota-,"cooked/cook slowly",,"19, 82",
89705,39,"to cook",pʷuka,"cooked/cook slowly",,12,
73502,40,"to drink",wún,,,1,
73503,40,"to drink",wúnú-mi-(y),,,1,
73504,40,"to drink",wúnu-ma-(n),,,1,
14616,41,"to bite",kkú-ú,"to bite",,9,
90106,44,"to hear",roŋ,hear/listen/obey,,1,
90107,44,"to hear",roŋoroŋ,hear/listen/obey,,1,
73820,45,eye,maah,,,1,
73821,45,eye,meha-(n),,,1,
73822,45,eye,mehá-(n),,,1,
90145,46,"to see",weri-(y),"see/find/get/come upon",,10,
90146,46,"to see",weriwer,"to see/find",,10,
16758,47,"to yawn",mém-méwóó-(n-atél),,,19,
17115,48,"to sleep",mawúr,,,1,
17472,49,"to lie down",woon,"lie down/sleep (sic)",,1,
90792,50,"to dream",ttan,"to dream",,9,
90793,50,"to dream",ttana-a,"dream it",,9,
90819,51,"to sit",móót,"to sit",,"18,101",
90820,51,"to sit",mó-tiw,"to sit down (sic)",,"18,101",
18543,52,"to stand",wúú-(tá),"stand up/rise",,2,
18900,53,"person/human being",yere-mah,,,"67,70",
91029,54,man/male,mʷáán,man/male,,1,
91030,54,man/male,wolo-,"male with demonstrative",,13,
91098,55,woman/female,ʀóó-pʷut,"older woman",,7,
91099,55,woman/female,liye-,,,6,
91178,56,child,nawú-n,,,5,
91179,56,child,nawúnaw,,,5,
91180,56,child,náyi-náy,,,5,
91181,56,child,háár,,,7,
91182,56,child,hári-,,,7,
