id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
346,Kiribati,"Bingham & Sabatier via Stephen Trussel and Gordon",gil,gilb1244,"A Combined Kiribati-English Dictionary based on the works of Hiram Bingham, D.D. and Father Ernest Sabatier, M.S.C. (translated by Sr. M. Oliva) with additional scientific material from Luomala, Goo & Banner. Compiled by Stephen Trussel and Gordon W. Groves, University of Hawaii, 1978 (http://www.trussel.com/kir/dic/dic_a.htm)",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Micronesian, Micronesian Proper, Ikiribati","Francisc Czobor",,"@misc{TrusselGroves1978,  date   = {1978},  title  = {A Combined Kiribati-English Dictionary based on the works of Hiram Bingham, D.D. and Father Ernest Sabatier, M.S.C.},  note   = {website},  url    = {http://www.trussel.com/kir/dic/dic_a.htm},  author = {Trussel, Stephen and Groves, Gordon W.}}"
latitude,longitude
-1.09129174695414299379,172.11042570881599544919
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
346,1,hand,bái,"hand, arm, wing, fin",,8,
703,2,left,máing,"left, left-hand, left-handed person",,13,
1060,3,right,átai,"the right, the right hand of, right handed",,"5,40",
1417,4,leg/foot,wáe,"a leg, a foot",,"1, 100",
71592,5,"to walk",karae,,,,
71593,5,"to walk",nákonako,,,1,
124902,5,"to walk",butæ,,,,
124903,5,"to walk",nuwae,,,,
2131,6,road/path,káwai,"road, way, route, path, street",,,
71690,7,"to come",ke,,,16,
71691,7,"to come",ki,,,16,
71692,7,"to come",róko,"róko means also; see Bender et al. (2003) given as \"come, arrive\"",,9,
71765,8,"to turn",tan,,,59,
71766,8,"to turn",tæn,,,59,
3202,9,"to swim",uáua,,,,
71876,10,dirty,baitoto,,,,
71877,10,dirty,bakanana,,,,
71878,10,dirty,baáreka,,,,
71879,10,dirty,korowawa,,,,
3916,11,dust,búbu,"smoke, dust, sawdust",,,
4273,12,skin,kun,"skin, peel, bark, crust, membrane",,1,
4630,13,back,áku,,,12,
4987,14,belly,bíroto,abdomen,,,
5344,15,bone,ri,,,2,
5701,16,intestines,"kanoa n nano","bowels, intestines",,,
6058,17,liver,áto,,,1,
72215,18,breast,b'aáb'aa,"lower part of the breast",,x,
72216,18,breast,úb'a,"upper part of the breast",,x,
6772,19,shoulder,ánga,,,,
7129,20,"to know, be knowledgeable",atá,"to know, to be aware of, to understand",,35,
7486,21,"to think",iango,,,,
72435,22,"to fear",maákina,"not sure of -kina bit here, but Bender et al. (2003) give ma-aku 'afraid' and ma-aka 'fear s/one', so I've coded as cognate",,1,
