id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
347,Woleaian,"Bender et al. (2003a,b)",woe,wole1240,"Bender, W.B., Goodenough, W.H., Jackson, F.H., Marck, J.C., Rehg, K.L., Sohn, H., Trussel, S. & Wang, J.W. (2003) Proto-Micronesian Reconstructions I & II.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Micronesian, Micronesian Proper, Ponapeic-Trukic, Trukic","Simon Greenhill",,"@article{304886,  journal    = {Oceanic Linguistics},  number     = {1},  pages      = {1-110},  title      = {Proto-Micronesian Reconstructions: I},  volume     = {42},  year       = {2003},  bibtexkey  = {bender-goodenough-jackson-marck-rehg-sohn-trussel-wang_micronesian-reconstructions2003},  fn         = {papua\benderetal_proto-micronesian2003.pdf},  hhtype     = {overview;comparative},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#hv:Benderetal:Proto-Micronesian},  author     = {Bender, Byron W. and Goodenough, Ward H. and Jackson, Frederick H. and Marck, Jeffrey C. and Rehg, Kenneth L. and Sohn, Ho-min and Trussel, Stephen and Wang, Judith W.}}"
latitude,longitude
7.96218643195329711659,146.25381429924951248722
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
71445,1,hand,paaú,,,8,
71446,1,hand,paú-(l),,,8,
1418,4,leg/foot,peshee,,,15,
1775,5,"to walk",fetale,"move by its own power, go, around and about (as verbal suffix)",,8,
87231,6,road/path,yaale,"path/road/path of",,1,
87232,6,road/path,yela-(li),"path/road/path of",,1,
87233,6,road/path,yen-(nape),"path/roadway (< *yalalapa)",,1,
2846,8,"to turn",sape,"turn, face",,14,
3203,9,"to swim",yafe,,,7,
72001,12,skin,giili,,,1,
72002,12,skin,gili,,,1,
4631,13,back,taguru,,,12,
88078,14,belly,uube,chest,,11,
88079,14,belly,uba-(l),"his c.",,11,
72121,15,bone,shúú,,,2,
72122,15,bone,shúú-,,,2,
5702,16,intestines,taa,,,14,
72178,17,liver,yaase,,,1,
72179,17,liver,yase-,,,1,
88357,18,breast,ttú-(ú),"my breast",,1,
88358,18,breast,ttú-(le),"her breast",,1,
72269,19,shoulder,yefare,,,1,
72270,19,shoulder,yafera-(le),,,1,
7130,20,"to know, be knowledgeable",gile,"be clear, seen clearly, recognized",,18,
88499,21,"to think",maŋimeŋi,"to think/remember/consider/ponder/expect",,11,
88500,21,"to think",maŋi-i-(ye),"think about it/expect it/remember it",,11,
88501,21,"to think",yagi-(le),"for thought of it/by reason of it/because of it",,12,
88502,21,"to think",yagiyegi,"to think/ponder/consider",,12,
88503,21,"to think",yagi-(le),"for thought of it/by reason of it/because of it",,12,
88504,21,"to think",yagiyegi,,,12,
7844,22,"to fear",me-tagú-(ú),"be scared of it, be afraid of it",,1,
8201,23,blood,chchaa,,,1,
72605,25,neck,úúwe,,,18,
72606,25,neck,úwa-(le),,,18,
72670,26,hair,úúle,,,10,
72671,26,hair,úle-(li),,,10,
72672,26,hair,úleúle,,,10,
72673,26,hair,úle-fi-(i),,,10,
9629,27,nose,booti,,,"1,12",
9986,28,"to breathe",ŋaseŋase,"breathe rapidly/be exhausted",,10,
72907,30,mouth,yaawe,,,36,
72908,30,mouth,yewa-(le),,,36,
72968,31,tooth,ŋii,,,30,
72969,31,tooth,ŋii-(le),,,30,
88777,32,tongue,leewe,tongue,,17,
88778,32,tongue,lewe-(mʷu),"your tongue",,17,
88813,33,"to laugh",ffase,"to laugh/smile/chuckle",,10,
88814,33,"to laugh",(ge)-fase,,,10,
73113,34,"to cry",taŋi,,,1,
73114,34,"to cry",taŋiteŋi,,,1,
12485,35,"to vomit",mʷmʷute,"to vomit, throw up",,1,
89281,36,"to spit",ma-ttipi,"to spit out",,"19, 53",
89282,36,"to spit",ma-ttipi-(ye),"to spit it out",,"19, 53",
89342,37,"to eat",mʷoŋoo,"to eat food",,8,
89343,37,"to eat",gaŋi-(i),"to eat something",,1,
89402,38,"to chew",lúúlúú,"chew/masticate/eat (honorific by female)",,59,
89403,38,"to chew",lúúlúú-(we),"to chew betel",,59,
89404,38,"to chew",ŋú-ti-i,"chew it",,11,
89717,39,"to cook",mette,cooked,,"19, 82",
89718,39,"to cook",(ga)-met,"cook/prepare food",,"19, 82",
89719,39,"to cook",(ga)-mett,"cook/prepare food",,"19, 82",
89720,39,"to cook",mette,,,"19, 82",
89721,39,"to cook",buga-a,,,12,
73519,40,"to drink",úlú,,,1,
73520,40,"to drink",úlú-mi-(i),,,1,
73521,40,"to drink",úlú-ma-(le),,,1,
90006,41,"to bite",geigei,"to bite with the teeth or husk coconuts, into smaller layers",,"38, 73",
90007,41,"to bite",kúkkú,"to bite/sting (as mosquitoes)",,"9, 74",
90008,41,"to bite",gúúgúú,"to bite/chew/hold/squeeze",,"9, 74",
15341,43,ear,taliŋe,ear,,1,
15698,44,"to hear",roŋoroŋ,,,1,
73836,45,eye,maate,,,1,
73837,45,eye,meta-(le),,,1,
73838,45,eye,meta-(li),,,1,
90151,46,"to see",weri,"to see/observe",,10,
90152,46,"to see",weriweri,"to see/observe",,10,
16769,47,"to yawn",móó-(li-gatelú),"to yawn/a yawn",,19,
90736,48,"to sleep",masúrú,sleep,,1,
90737,48,"to sleep",mʷmʷe,"sleep well",,,
17483,49,"to lie down",wolo,"to lie down/stretch oneself out",,1,
17840,50,"to dream",ttale,,,9,
18197,51,"to sit",matto,"sit/squat down",,"18,101",
18554,52,"to stand",súú,"stand/take an upright position",,2,
18911,53,"person/human being",yare-mate,,,"67,70",
19268,54,man/male,mʷaale,"man, male",,1,
91103,55,woman/female,faifile,,,"1,47",
91104,55,woman/female,shóó-buto,"woman forty to fifty years of age",,7,
91199,56,child,laaú,,,5,
91200,56,child,laú-le,,,5,
91201,56,child,laúleú,,,5,
91202,56,child,saari,,,7,
91203,56,child,sari-,,,7,
21053,59,mother,sila-(le),"his mother",,1,
91350,60,father,taame,father,,1,
91351,60,father,tema-(li),"father of",,1,
74649,61,house,iimʷe,,,"1, 48",
