id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
350,"Amis (Central)","R. Blust, Dorinda Liu",ami,amis1246,"[o] and [u] are allophonic variations in Amis.",,"Austronesian, East Formosan, Amis","R. Blust, Dorinda Liu",,"@misc{Liu-350-2005,  author = \"Robert A. Blust and Dorinda Liu\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
23.13025718529103258447,121.33300781250000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
90202,1,hand,kamay,,,13,
707,2,left,kawili,,,"1,42",
1064,3,right,kawanan,,,"1,62",
1421,4,leg/foot,waqay,,,"1,100",
90205,4,leg/foot,wa'ay,,,"1,100",
1778,5,"to walk",l-um-akat,,,40,
90206,5,"to walk",r-um-akat,"-um AF marker",,40,
2135,6,road/path,lalan,,,1,
90208,7,"to come",tayni,,,34,
90209,8,"to turn",ma-liwuŋ,"ma- AF marker",,2,
3206,9,"to swim",Languy,,,1,
90210,9,"to swim",mi-Laŋuy,"mi- AF marker",,1,
3563,10,dirty,ma-acek,"disgusting",,,
90211,10,dirty,ma-kaLit,"mi- AF marker",,90,
90212,11,dust,taʔfod,,,,
90213,12,skin,faŋes,,,26,
4634,13,back,kulur,,,69,
90214,13,back,koror,,,69,
4991,14,belly,ti(j)aL,"belly, abdomen",,1,
5348,15,bone,ukak,,,19,
90701,15,bone,okak,,,19,
5705,16,intestines,tinaiq,,,1,
90217,16,intestines,tina(j)iʕ,,,1,
6062,17,liver,atay,,,1,
90218,17,liver,ʕatay,,,1,
90703,18,breast,faluhaŋ,breast/chest,,42,
90704,18,breast,falohaŋ,breast/chest,,42,
90705,18,breast,cucu,"breast of woman/udder/teat",,1,
6776,19,shoulder,afala,,,1,
90220,19,shoulder,ʔafala,,,1,
7133,20,"to know, be knowledgeable",ma-fanaq,"know, understand",,2,
90221,20,"to know, be knowledgeable",ma-fanaʔ,,,2,
90222,21,"to think",mi-harateŋ,,,56,
7847,22,"to fear",ma-talaw,"afraid, cowardly",,34,
8204,23,blood,remes,,,44,
8561,24,head,tangar,,,37,
90225,24,head,fuŋoh,,,2,
