id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
359,"Tungag / Tungak / Lavongai","Beaumont & Lloyd (1988)",lcm,tung1290,"Beaumont, C. H. (Ed.) (1986). Lavongai Materials, Volume 82 of Pacific Linguistics: Series D. Research School of Pacific and Asian Studies, Australian National University, Canberra.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, Lavongai-Nalik","Eva Lindström",,"@book{145873,  address               = {Canberra},  pages                 = {xi+130},  publisher             = {Pacific Linguistics},  series                = {Pacific Linguistics : Series D, Special Publications},  title                 = {Lavongai materials},  volume                = {82},  year                  = {1986},  bibtexkey             = {beaumont-donaldson-stamm_lavongai-materials1986},  class_loc             = {PL6253.L42},  document_type         = {B},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858833784},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6253 .L42 LAV 1986},  src                   = {mpieva},  srctrickle            = {mpieva#Stamm1986Lavongai},  subject_headings      = {Lavongai language, Lavongai language},  author                = {Stamm, Josef and Donaldson, Tamsin and Beaumont, Clive H.}}"
latitude,longitude
-2.54999999999999982236,150.25000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
84001,1,hand,kuŋa-,,,40,
3229862,2,left,kais,,,,
3229863,3,right,sut,,,,
84004,4,leg/foot,kak(-i-),,,1,
84005,5,"to walk",pasal,,,8,
84903,6,road/path,salan,,,1,
84904,6,road/path,selen,,,1,
84905,7,"to come",me,,,1,
84907,7,"to come",serei,,,,
84906,7,"to come",palak,,,,
84010,10,dirty,muŋan,,,63,
85120,10,dirty,muŋ,"dirt",,63,
84908,12,skin,kulit,,,1,
84909,12,skin,pe,,,,
84910,13,back,toŋi,,,,
84911,13,back,tuan,,,12?,
84014,14,belly,viŋa,,,,
84015,15,bone,tuan,,,"1,10",
84016,16,intestines,nei,,,1?,
84017,17,liver,pakaŋa,,,,
84018,18,breast,tus,,,"1, 33",
84020,20,"to know, be knowledgeable",nas,,,98,
84912,21,"to think",lomon,,,78,
84913,21,"to think",lomlomonai,,,78,
85099,22,"to fear",aleŋ,"frighten",,,
84023,23,blood,raŋai,,,1,
84914,24,head,pat,,,9,
84916,24,head,vaŋaŋ,,,,
84915,24,head,patu-,,,9,
84917,25,neck,ŋo,sic,,18,
84918,25,neck,eŋono,sic,,18,
84026,26,hair,uŋ,,,41,
84919,27,nose,his,,,1,
84920,27,nose,is(-u-),,,1,
84030,30,mouth,ŋur,,,2,
84031,31,tooth,ŋisa-,,,24,
84032,32,tongue,kalkalame,,,"7, 14",
85100,34,"to cry",taŋis,"crying",,1,
85101,34,"to cry",aŋtaŋis,"cry together",,1,
84035,35,"to vomit",mutak,,,1,
84037,37,"to eat",aŋan,,,"1,53",
3229864,38,"to chew",tokol,b.,,,
84039,39,"to cook",taun,,,9,
84922,40,"to drink",inum,,,1,
84921,40,"to drink",sep,,,22,
84043,43,ear,taliŋa,,,1,
84924,44,"to hear",loŋo,,,"1, 36",
84923,44,"to hear",loŋoŋ,,,"1, 36",
84926,45,eye,mete,,,1,
84925,45,eye,mata,,,1,
84930,46,"to see",ba,"not see",,X,
84929,46,"to see",de,,,,
84928,46,"to see",ararai,,,15,
84927,46,"to see",arai,,,15,
84933,48,"to sleep",pasim,,,85,
84932,48,"to sleep",papasimai,,,85,
84931,48,"to sleep",matuŋ,,,1,
84050,50,"to dream",ororuŋ,,,,
84936,51,"to sit",sinuŋ,,,73,
84935,51,"to sit",sinoŋ,,,73,
84934,51,"to sit",sinu,,,73,
84052,52,"to stand",tuŋ,,,2,
85102,52,"to stand",atuŋ,transitive,,2,
85103,53,"person/human being",makan,"people",,,
85104,53,"person/human being",vap,"people",,33,
84941,54,man/male,"pua vap",plural,,,
84940,54,man/male,vap,plural,,,
84939,54,man/male,igenen,,,,
84938,54,man/male,anitun,"person/human being",,,
84937,54,man/male,anu,,,33,
84942,55,woman/female,aina,,,"1,106",
84943,55,woman/female,haina,,,"1,106",
84056,56,child,nat,,,5,
3229865,57,husband,kisŋag,,,,
84058,58,wife,kisŋana,,,,
84059,59,mother,rina-,,,1,
84944,60,father,tama-,,,1,
84945,60,father,mamai,,,"1,10",
84946,60,father,mamem,"(mamem on south coast)",,"1,10",
84061,61,house,lu,,,26,
84062,62,thatch/roof,pat,"roof, head (no word given for thatch)",,40,
84063,63,name,asan,,,"1,18",
84947,64,"to say",arakus,,,,
84948,64,"to say",daŋ,,,,
84066,66,"to tie up, fasten",dikut,"'tie together'",,,
3229866,69,"to hunt",akalat,,,,
84073,73,"to steal",tainau,,,"1,55",
84949,74,"to kill",punuk,,,1,
84950,74,"to kill","rauŋ amatan",,,"49, 2",
84951,74,"to kill",rauŋ,,,49,
84952,74,"to kill",puka,killed,,,
84953,74,"to kill",vilua,killed,,29,
84954,74,"to kill",tapunuk,"killed, of animals for a feast",,1,
84075,75,"to die, be dead",mat,,,1,
84955,76,"to live, be alive",to,,,8,
84956,76,"to live, be alive",go,"also 'wait'",,,
84078,78,"to cut, hack",anti,"to cut",,,
85089,78,"to cut, hack",taŋai,"cut down",,1,
85090,78,"to cut, hack",ŋat,"cut grass",,116,
85091,78,"to cut, hack",ŋaut,"cut grass",,116,
85092,78,"to cut, hack",dek,"cut lengthwise",,,
85093,78,"to cut, hack",tuk,"cut off",,"3, 96",
85094,78,"to cut, hack",putputuk,"cut up",,55,
84957,79,stick/wood,eian,,,1,
84958,79,stick/wood,ŋakan,,,,
84959,79,stick/wood,vukei,,,1,
84080,80,"to split",dek,"'cut lengthwise'",,62,
84083,83,"to work",apek,,,,
