id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
363,Sisingga,"Malcolm Ross",baa,baba1268,"Student's Name: Moses BilekiInformant's Village: Gagara VillageCensus Division: Choiseul",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Choiseul","Simon Greenhill",,"@misc{Ross-363-2005,  author = \"Malcolm Ross\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-7.25621999999999989228,157.22809000000000878572
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
85209,1,hand,körisía,,,12,
85210,2,left,"kɨrisi mɨria",,,"1,59",
85211,3,right,"kɨrisi dékanae",,,34,
86034,4,leg/foot,níkinia,leg,,18,
86035,4,leg/foot,nìkinía,foot,,18,
86036,5,"to walk",zozó,walk,,22,
86037,5,"to walk",zó,go,,22,
85214,6,road/path,dzóka,,,7,
85215,7,"to come",me,,,1,
85216,8,"to turn",viuru,,,39,
85217,9,"to swim",síqe,,,46,
85218,10,dirty,poto,,,15,
85219,11,dust,nguloere,,,35,
85220,12,skin,köpae,,,12,
85221,13,back,tòtakae,,,56,
85222,14,belly,sea,,,63,
85223,15,bone,pàndáe,,,8,
85224,16,intestines,kobae,,,17,
85225,17,liver,popomae,,,,
86038,18,breast,sosua,"breast ( woman )",,1,
86039,18,breast,sea,"chest ( man )",,1,
85227,19,shoulder,avarae,,,1,
85228,20,"to know, be knowledgeable",útini,,,64,
85230,22,"to fear",isini,,,45,
85231,23,blood,mádakae,,,6,
85232,24,head,bɨtúa,,,9,
85233,25,neck,kòkunùa,,,25,
85234,26,hair,vàranáe,,,,
85235,27,nose,zeŋóa,,,36,
85236,28,"to breathe",nasapuae,,,41,
85237,29,"to sniff, smell",nəmbo,,,51,
85238,30,mouth,zopáe,,,52,
86040,31,tooth,kìkeréa,molar,,8,
86041,31,tooth,kogotökae,,,,
85240,32,tongue,lùlemé,,,"7, 17",
85241,33,"to laugh",bére,,,55,
85242,34,"to cry",qila,,,35,
85243,35,"to vomit",ndula,,,18,
85245,37,"to eat",aki,,,38,
85246,38,"to chew",posala,"chew betel",,,
86042,39,"to cook",neigoto,"bake (in earth oven)",,,
86043,39,"to cook",leile,"bake (over fire)",,,
86044,39,"to cook",sireke,"boil (in water)",,58,
85248,40,"to drink",ɨke,,,25,
85249,41,"to bite",lube,"(dog) bites",,37,
85250,42,"to suck",nurepe,,,79,
85251,43,ear,tálangáe,,,1,
85252,44,"to hear",ase,,,10,
85253,45,eye,màtáe,,,1,
85254,46,"to see",mimí,,,55,
85255,47,"to yawn",gögöpasa,,,,
86045,48,"to sleep",pawi,"fall asleep",,,
86046,48,"to sleep",tutuda,,,,
85257,49,"to lie down",bokolo,,,41,
85258,50,"to dream",papavika,,,66,
85259,51,"to sit",tonunu,"is sitting",,21,
85260,52,"to stand",dire,"is standing",,10,
85261,53,"person/human being",bósi,,,12,
86047,54,man/male,leike,,,15,
86048,54,man/male,like,,,15,
85263,55,woman/female,gule,,,42,
85264,56,child,tötua,,,9,
85265,57,husband,valaka,,,,
85266,58,wife,balara,,,47,
85267,59,mother,sináe,,,1,
85268,60,father,tamáe,,,1,
85269,61,house,pade,,,8,
85270,62,thatch/roof,roupoto,,,12,
85271,63,name,taritonóa,,,,
85272,64,"to say",ŋióro,,,,
85273,65,rope,nokoso,string,,46,
86049,66,"to tie up, fasten",nukese,,,53,
86050,66,"to tie up, fasten",nekese,,,53,
85275,67,"to sew",sə́ra,,,18,
85277,69,"to hunt","qaqa roroko",,,,
85278,70,"to shoot",pɨqo,,,,
85279,71,"to stab, pierce",ⁿdɨle,,,,
85280,72,"to hit","vəi sɨma",,,"17,18",
85281,73,"to steal",soko,,,13,
85282,74,"to kill",vöévále,,,16,
85283,75,"to die, be dead",li,,,5,
85284,76,"to live, be alive",tu,,,8,
85285,77,"to scratch",taⁿdʒáluku,,,,
85286,78,"to cut, hack",ⁿdɨle,,,,
85287,79,stick/wood,puru,,,,
85288,80,"to split",iseke,,,47,
85289,81,sharp,"lato roso",,,22,
124771,82,"dull, blunt",volumu,,,44,
85291,83,"to work",ⁿjaⁿju,,,15,
124768,84,"to plant",teba,,,39,
124769,86,"to grow",pouto,"Added by M Ross",,,
85295,87,"to swell",mbuili,,,13,
85296,88,"to squeeze",poqo,,,,
85297,89,"to hold",lia,,,71,
85298,90,"to dig",pára,,,9,
85300,92,"to open, uncover",deike,,,,
85302,94,"to throw",vavana,,,72,
85303,95,"to fall",suru,,,20,
85304,96,dog,seki,,,11,
85305,97,bird,roróko,,,10,
85306,98,egg,nɨqa,,,10,
85307,99,feather,sava,,,8,
85308,100,wing,bɨlúkuru,,,13,
85309,101,"to fly",reri,,,40,
85310,102,rat,komo,,,37,
85311,103,meat/flesh,zio,,,"10,62",
85312,104,fat/grease,voae,,,37,
85313,105,tail,péputu,,,46,
85314,106,snake,ⁿdúle,,,16,
85315,107,"worm (earthworm)",ndondole,,,46,
85316,108,louse,vótu,,,1,
85317,109,mosquito,nonono,,,42,
85318,110,spider,kakajo,,,34,
85319,111,fish,kóete,,,42,
85320,112,rotten,mva,,,106,
85321,113,branch,"vöqe azu",,,19,
85322,114,leaf,vɨraŋae,,,18,
85323,115,root,löŋgoto,,,23,
85324,116,flower,böböli,,,40,
85326,118,grass,sisíu,,,17,
85327,119,earth/soil,lua,=ground,,42,
85328,120,stone,katóra,,,7,
85329,121,sand,karakone,,,"1,60",
85330,122,water,bi,,,6,
85332,124,sea,masi,,,8,
85333,125,salt,sua,,,,
85334,126,lake,babatena,lagoon,,,
85335,127,woods/forest,sinɨqa,,,23,
85336,128,sky,mɨlɨkana,,,4,
85337,129,moon,ókene,,,31,
85338,130,star,sisiripútu,,,"1,39",
85339,131,cloud,tomba,,,18,
85340,132,fog,kasuku,,,12,
85341,133,rain,mɨqa,(noun),,25,
85342,134,thunder,padala,,,22,
85343,135,lightning,kapi,,,13,
85344,136,wind,vovosúle,,,33,
124770,138,warm,vəla,"Added by M Ross",,14,
85347,139,cold,lulúmu,,,14,
85348,140,dry,keiva,<indistinct>,,51,
85349,141,wet,mógutu,,,14?,
124774,142,heavy,nəgata,"Added by M Ross",,12,
85351,143,fire,náko,,,8,
86051,144,"to burn",katu,,,26,
86052,144,"to burn",seibe,,,12,
85353,145,smoke,kahu,,,2,
85354,146,ash,kau,,,68,
85355,147,black,pòtopóto,,,11,
85356,148,white,sile,,,15,
85357,149,red,mésivi,,,,
85358,150,yellow,dùrudúru,,,48,
85359,151,green,tutu,,,16,
85360,152,small,soi,,,47,
85361,153,big,pɨu,,,50,
85362,154,short,toko,,,66,
85363,155,long,náva,,,50,
124773,156,thin,vivino,"Added by M Ross",,27,
124772,157,thick,loloba,"Added by M Ross",,,
85366,158,narrow,zizio,,,,
85367,159,wide,depa,,,1,
86053,160,"painful, sick","sa vöra ka pisi nönia","he has a pain",,,
86054,160,"painful, sick","sa tapa kapisi nönia","he has a sore",,,
85370,162,old,bana,"(of house)",,,
85371,163,new,varóqa,,,"1,14",
85372,164,good,nɨi,,,69,
85373,165,"bad, evil",roka,,,43,
86055,166,"correct, true",tuna,,,56,
86056,166,"correct, true",voto,,,13,
85375,167,night,kose,,,12,
85376,168,day,tava,,,32,
85377,169,year,ave,,,46,
124775,170,when?,"be sada","'what time?' Added by M Ross.",,33,
85379,171,"to hide",peka,(tr.),,28,
85385,177,this,ɣöti,,,24,
86057,178,that,ta,"this (here)",,,
86058,178,that,"pande ɣi","this (far away)",,,
85388,180,far,köu,,,42,
85390,182,I,áro,,,"1,24",
86059,185,we,"ita taratulu","we three (incl.)",,1,
86060,185,we,"rami taratulu","we three (excl.)",,2,
85394,186,you,"ram taratulu","you three",,x,
85395,187,they,"öra taratulu","they three",,x,
85396,188,what?,anda,,,34,
85397,189,who?,anda,,,10,
85398,190,other,"kavia vele sö",,,,
85399,191,all,tabu,,,45,
86061,195,"no, not",kai,,,19,
86062,195,"no, not",kareo,,,"19,61",
85404,196,"to count",nea,,,25,
85405,197,One,kike,,,"31,14",
85406,198,Two,kéri,,,8,
85407,199,Three,tulu,,,1,
85408,200,Four,vati,,,"1,65",
85409,201,Five,lɨma,,,1,
85410,202,Six,ounomo,,,1,
85413,205,Nine,zia,,,5,
85414,206,Ten,mano,,,18,
85417,209,"One Hundred","keike umbi",,,22,
85418,210,"One Thousand","keike mau",,,1,
