id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
37,Bughotu,Blust,bgt,bugh1239,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Gela-Guadalcanal, Bughotu","Penny Keenan","Simon Greenhill","@misc{Blust-37-2005,  author = \"Robert A. Blust\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-8.49410453755188221692,159.80712890625000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
37,1,hand,"lima [ña]",,,1,1
394,2,left,"toi [ña]","cognate only in two lists from Bughotu",,45,
751,3,right,madotho[ña],,,9,
1108,4,leg/foot,n|ae[ña],"irregular initial n-",,1,1?
71537,5,"to walk",vano,"go",,2,1
71538,5,"to walk",taveti,"only found in two Bughotu lists",,12,1
71539,5,"to walk",aʔaso,"cf. Hoava and Kusaghe forms",l,125,1
1822,6,road/path,"hatha utu",,,1,1
176732,6,road/path,haŋana,"only found in Bughotu",,23,
2179,7,"to come",mai,,,1,1
71697,8,"to turn",goro,,,,1?
71698,8,"to turn",bafa,,,,1?
71699,8,"to turn",pi|liu,,,2,1?
2893,9,"to swim",otho,,,74,
71811,10,dirty,garu,,,,
3607,11,dust,"mau|m|avu [ña]",,,,1
3964,12,skin,guiguli[ña],"irregular *k > g",,1,1
210766,13,back,poguru,,,98,
4678,14,belly,"kutu [ña]",,,14,
5035,15,bone,"huli [ña]",,,52,
210765,16,intestines,"kutu loolopo",,,"43, 61",
72158,17,liver,"ate [ña]",,,1,1
72159,17,liver,kola[ña],"this looks like a loan from NWSolomonic languages",L,8,1
6106,18,breast,"susuu [ña]",,,1,1
72219,19,shoulder,"thego [ña]",,,,
72220,19,shoulder,"alo [ña]",,,94,
72284,20,"to know, be knowledgeable",thaothadoga,,,,
72285,20,"to know, be knowledgeable",ado,,,101,
72341,21,"to think",toga,,,38?,
72342,21,"to think",gana,,,14,
7534,22,"to fear",matagu,,,1,1
7891,23,blood,gaugabua[ña],,,5,
8248,24,head,"ulu [ña]",,,1,1
8605,25,neck,lua[ña],,,18,
8962,26,hair,"vulu [ña]",,,31,
9319,27,nose,"ihu [ña]",,,1,1
9676,28,"to breathe",atheathe,,,16,
72792,29,"to sniff, smell",higini,,,12,
72793,29,"to sniff, smell",guba,,,,
10390,30,mouth,livo[ña],"< POc *lipon 'tooth'",,54,
10747,31,tooth,"kei [ña]","looks to be a loan from NWSols, where a similar form is found in Santa Isabel languages",L,9,
11104,32,tongue,thapi[ña],,,21,
11461,33,"to laugh",kia,,,14,
11818,34,"to cry",taŋi,,,1,1
12175,35,"to vomit",lua,,,8,
12532,36,"to spit",aŋusu,,,"14, 83",
73212,37,"to eat",vaŋa,,,"1,53",1
73213,37,"to eat",gani,,,1,1
13246,38,"to chew",ŋguuŋgumu,,,,
13603,39,"to cook",duee,,,,
13960,40,"to drink",kou,"irregular loss of *k",,30,
73531,41,"to bite",ñou,,,,1
73532,41,"to bite",ñami,,,,1
73533,41,"to bite",ñapi,,,,1
73534,41,"to bite",gathati,,,1,1
73612,42,"to suck",suuvi,"POC *sosop = intransitive, *sopi = Transitive. /suuvi/ < * sopi",,"1, 82",1?
73613,42,"to suck",ŋaŋata,,,,1?
73695,43,ear,iru[ña],,,,
73696,43,ear,kuli[ña],,,6,
15388,44,"to hear",rooroŋo,,,1,1
15745,45,eye,mata[ña],,,1,1
16102,46,"to see",regi-a,,,13,
16459,47,"to yawn",maomaova,"irregular retention of POc word-final *p with addition of final vowel; possible NWSols loan",,19,1
16816,48,"to sleep",eŋgo,,,,
17173,49,"to lie down",eŋgo,,,,
17530,50,"to dream",maturiŋita,,,"11, 12",
17887,51,"to sit",sopou,,,19,
18244,52,"to stand",tuu,,,2,1
18601,53,"person/human being",tinoni,,,10,
18958,54,man/male,mane,,,1,1
19315,55,woman/female,vaivine[ña],,,"1,47",1
19672,56,child,dathe[ña],,,28,
20029,57,husband,tau[ña],,,18,
20386,58,wife,tau[ña],,,12,
74473,59,mother,ido[ña],"looks like a loan from Isabel languages",L,19,1
74474,59,mother,tina[ña],,,1,1
