id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
373,Savosavo,"Claudia Wegener",svs,savo1255,,,"Central Solomons","Claudia Wegener","Claudia Wegener","@misc{Wegener-373-2009,  author = \"Claudia Wegener\",  date = \"2009\",  howpublished = \"personal communication\"}"
latitude,longitude
-9.13333300000000036789,159.80000000000001136868
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
102054,1,hand,kakau,hand/arm,,,
102055,2,left,male,,,,
102056,3,right,tovi,,,,
102057,4,leg/foot,nato,,,,
102058,5,"to walk",vanovano,,,2,
102059,6,road/path,keva,,,,
102060,7,"to come",ba,,,24?,
102835,8,"to turn",pili-li,turn-3SgmO,,,
102833,8,"to turn",kokobilo-li,"turn with opening down-3SgmO",,,
102834,8,"to turn",liliɰo-li,"turn horizontally-3SgmO",,,
102062,9,"to swim",olo,,,8,
102836,10,dirty,lumu,"dirty/old (for things)",,,
102837,10,dirty,ɲeɲeɰa,"dirty (water)",,,
102064,11,dust,reka,"dust, ground",,,
102065,12,skin,korakora,,,37,
102066,13,back,potopoto,,,,
102067,14,belly,pika,,,,
102068,15,bone,tovolo,,,,
102069,16,intestines,boli,,,,
102070,17,liver,kalakala,,,,
102071,18,breast,susu,,,1,
102072,19,shoulder,lakelake,,,,
102838,20,"to know, be knowledgeable",l-olomi,3SgmO-know,,,
102839,20,"to know, be knowledgeable",madoke-li,"be knowledgable about-3SgmO",,,
102074,21,"to think",ɰanaɰana,,,,
102075,22,"to fear",tamalu-li,fear-3SgmO,,,
102076,23,blood,ɰabu,,,5?,
102077,24,head,batu,,,9,
102078,25,neck,tua,,,,
102840,26,hair,luta,"old term almost replaced by /sivuɰa/",,,
102841,26,hair,sivuɰa,"also means fur and feathers",,,
102080,27,nose,ɲoko,,,37,
102081,28,"to breathe",azeaze,"said to be borrowed from Gela",,16,
102082,29,"to sniff, smell",vunu-li,smell-3SgmO,,,
102083,30,mouth,napu,,,,
102084,31,tooth,nale,,,,
102085,32,tongue,lapi,,,21,
