id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
375,Vaeakau-Taumako,"Even Hovdhaugen  (fieldwork)",piv,pile1238,"Vaeakau-Taumako is a Polynesian language in the Solomons. It has until now in the literature been called Pileni or Taumako. But the speakers  are not happy with a name that just mentions one island or one dialect. They have no native word for their language.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic","Even Hovdhaugen",,"@misc{Hovdhaugen-375-2009,  author = \"Even Hovdhaugen\",  date = \"2009\",  howpublished = \"personal communication\"}"
latitude,longitude
-10.22000000000000063949,166.21999999999999886313
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
89409,1,hand,lima,,,1,
89410,2,left,tovale,,,31,
89411,3,right,toilo,"L from (likely) Solomons",L,10,
89412,4,leg/foot,vae,,,"1, 100",
89774,5,"to walk",hehoaki,,,4?,
89775,5,"to walk",kau,,,1?,
89414,6,road/path,ala,,,1,
89415,7,"to come",au,,,44,
134005,8,"to turn",tahuli,,,15,
89417,9,"to swim",kau,,,5,
89776,10,dirty,paku,,,37,
89777,10,dirty,pelapela,,,7,
89419,11,dust,ehu,,,1,
89778,12,skin,paku,,,x,
89779,12,skin,kilihino,,,1,
89421,13,back,tua,,,11,
89780,14,belly,manava,,,9,
89781,14,belly,ngapula,,,,
89423,15,bone,ivi,,,"52,5",
89424,16,intestines,ngakau,,,12,
89425,17,liver,ate,,,1,
89426,18,breast,hatahata,,,41,
89782,19,shoulder,kapakau,,,22,
89783,19,shoulder,papakau,,,22,
89784,20,"to know, be knowledgeable",ilo,,,13,
89785,20,"to know, be knowledgeable",iloa,,,13,
89786,21,"to think",mnatua,,,9,
89787,21,"to think",hinga,,,,
89430,22,"to fear",mathaku,,,1,
89431,23,blood,toto,,,4,
89432,24,head,pihoulu,,,"10,62",
89433,25,neck,ua,,,18,
89434,26,hair,laulu,,,40,
89788,27,nose,iu,,,1,
89789,27,nose,pongaiu,,,1?,
89436,28,"to breathe",manava,,,1,
89437,29,"to sniff, smell",namu,,,41,
89438,30,mouth,ngutu,,,2,
89439,31,tooth,niho,,,1,
89440,32,tongue,alelo,,,15,
89441,33,"to laugh",kata,,,7,
89790,34,"to cry",tangi,,,1,
89791,34,"to cry",knghaa,"L from NW Solomonic",L,5,
89443,35,"to vomit",lua,,,8,
89792,36,"to spit",ivalea,,,18?,
89793,36,"to spit",phuia,,,15,
89445,37,"to eat",kai,,,"1,47",
89796,38,"to chew",maia,"general term",,1,
89797,38,"to chew",kamu,"chew betel",,"7, 74",
89798,39,"to cook",thunu,,,9,
89799,39,"to cook",tunaa,,,9,
89800,40,"to drink",inu,,,1,
89801,40,"to drink",inumia,,,1,
90009,41,"to bite",esia,,,"9, 84",
90010,41,"to bite",usia,,,9,
90011,41,"to bite",ngalia,,,,
147371,42,"to suck",mihikia,suck,,"8,10",
89450,43,ear,talinga,,,1,
89451,44,"to hear",longo,,,1,
89452,45,eye,mata,,,1,
89453,46,"to see",kutea,,,1,
89454,48,"to sleep",moe,,,"10, 109",
89455,49,"to lie down",takoto,,,7,
89456,50,"to dream",mihi,,,36,
89457,51,"to sit",noho,,,16,
89458,52,"to stand",thuu,,,2,
89459,53,"person/human being",tai,,,1,
