id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
377,Haku,"Aline Masina, Malcolm Ross",hao,hako1237,"Informant's Village: LontisSub-Province: BukaProvince: North Solomons","inconsistencies in spellings of some informants","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Nehan-North Bougainville, Buka, Halia","Janet Moody",,"@misc{Ross-377-2009,  author = \"Malcolm Ross\",  date = \"2009\",  howpublished = \"personal communication\"}"
latitude,longitude
-5.06831999999999993634,154.59388000000001284207
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
102469,1,hand,"u walima",,,1,
102470,1,hand,walima,arm,,1,
102471,2,left,kearukŭ,,,17,
102472,3,right,matŭ,,,"5,13",
102473,4,leg/foot,"u mu",,,61,
102474,4,leg/foot,"u mŭ",,,61,
102475,5,"to walk",elala,,,"1, 69",
102476,5,"to walk",la,"(he) goes",,"1, 69",
102477,6,road/path,maroro,,,,
102478,7,"to come",lanama,"or 1?",,1,
102479,8,"to turn",hola-habiritsina,,,,
102480,9,"to swim",nepe,,,43,
102481,10,dirty,korkorian,"might be two words?",,5,
102482,11,dust,"ku pa",,,17,
102483,12,skin,pikpiku,,,,
102484,13,back,"u muru",,,3,
102485,14,belly,"u tor",,,,
102486,15,bone,silo,,,9,
102487,16,intestines,"u tor",,,38,
102488,17,liver,poso,,,,
102489,18,breast,asusu,,,1,
102490,18,breast,paspasu,"chest (of man)",,,
102491,19,shoulder,hala-hala,,,1,
102492,20,"to know, be knowledgeable","e ati",,,35,
102493,22,"to fear","e- matutuna",,,1,
102494,23,blood,rahatsing,,,8,
102495,24,head,baku,,,53,
102496,25,neck,"u liou",,,1,
102497,26,hair,ultutu,,,31,
102498,27,nose,uyas,,,,
102499,28,"to breathe",hosa,,,43,
102500,29,"to sniff, smell","e- sokana",,,91,
102501,30,mouth,run̄g,,,,
102502,31,tooth,"u liho",,,"1,35",
102503,31,tooth,n̄gi,,,30,
102504,32,tongue,"u mea",,,7,
102505,33,"to laugh","e- golona",,,59,
102506,34,"to cry","e ngalana",,,5,
102507,35,"to vomit","e- lŏana",,,8,
102508,36,"to spit",kinahus,Spittle,,"19, 61",
102509,37,"to eat","e nanina","query i. Could have been crossed out.",,1,
102510,38,"to chew",kola,"(he) chews (betelnut)",,29,
