id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
382,Tolai,"Lawrence Vue, Malcolm Ross",ksd,kuan1248,"Also known as Kuanua.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic","Janet Moody",,"@misc{Vue-382-2009,  author = \"Lawrence Vue, Malcolm Ross\",  date = \"2009\",  howpublished = \"personal communication\"}"
latitude,longitude
-4.25000000000000000000,152.08000000000001250555
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
103267,1,hand,limana,,,1,
103266,1,hand,"a limana",,,1,
103268,2,left,"lima maira",,,"1,59",
103269,3,right,"liman tuna",,,"5,  70",
103271,4,leg/foot,"a ka una",,,1,
103270,4,leg/foot,"a kauna",,,1,
103272,5,"to walk","i vana",,,"2, 64",
103273,5,"to walk","i vana vana",,,"2, 64",
103274,6,road/path,nga,,,20,
103275,7,"to come","i po ot",,,32,
103276,8,"to turn","i vilalikun",,,,
103277,9,"to swim","i alir",,,44,
103278,10,dirty,dur,,,68,
103279,11,dust,tobon,,,62,
103280,12,skin,"a palina",,,30,
103281,13,back,"a muru na",,,3,
103282,14,belly,"a balana",,,18,
103283,15,bone,"a uruna",,,52,
103284,16,intestines,"a vivilau na balana",,,"26,28",
103285,17,liver,"a katina",,,1,
103286,18,breast,"a libongaina",,,,
103287,18,breast,luuna,,,1,
103288,19,shoulder,"a ula va ra na",,,1,
103289,20,"to know, be knowledgeable","i nunure",,,53,
103290,22,"to fear","a bul i burut","a/the child is afraid",,28,
131491,22,"to fear",burut,"to be afraid",,28,
103291,23,blood,"a gapuna",,,5,
103292,24,head,"a uluna",,,1,
103293,25,neck,"a ingoana",,,,
103294,26,hair,"a kat kat na uluna",,,,
103295,27,nose,"a bilauna",,,"1,95",
103296,28,"to breathe","i mama dang",,,,
103297,29,"to sniff, smell","i angi ne",,,11,
103298,30,mouth,"a ngiene",,,,
103299,31,tooth,"a palangiene",,,24,
103300,31,tooth,"a gorop na ngiene",,,24,
103301,32,tongue,"a karameana",,,"7, 14",
103302,33,"to laugh","i no ng on",,,16,
103303,34,"to cry","i tangi",,,1,
103304,35,"to vomit",marmaruai,,,37,
103305,36,"to spit","a tekena gagami",,,,
103306,37,"to eat","i ian",,,1,
103307,38,"to chew","i mamai","b. used exclusively for chewing betelnut and not used with food or anything else.",,1,
103308,39,"to cook","i papara ta ra ubu","'he/she \"mumued\" (cooked) with an earth oven'",,52,
103309,39,"to cook","i tu tun ta ra iap","'he/she cooked it on a/the fire'",,9,
103310,39,"to cook","i kuk na tava","'he/she boiled water (or a liquid)'. Tok Pisin loan? <kuk na tava> is arguably a noun-incorporation construction",L?,,
131858,39,"to cook",papara,"a specific type of cooking",,52,
131859,39,"to cook",tutun,"a specific type of cooking",,9,
131860,39,"to cook",kuk,"general term, but probably Tok Pisin loan",L,,
103311,40,"to drink","i mo mo",,,27,
103312,41,"to bite","a pap i kakakarat","'a/the pup bites'. <pap> = 'dog'; <i> = 3sg subject marker; <kakakarat> = 'biting' (one reduplication could be detransitivising/progressive, the other is perhaps intensity.)",,1,
131861,41,"to bite",karat,,,1,
103313,42,"to suck",i-u,,,25,
103314,43,ear,"a talingana",,,1,
103315,44,"to hear","i valongor",,,"1, 36",
103316,45,eye,"a matana",,,1,
103317,46,"to see","i bo bo",,,63,
103318,47,"to yawn",mauviap,,,19,
103320,48,"to sleep","i va","= he sleeps",,,
103321,50,"to dream","i ri rivon","could be i ririvon",,35,
103322,51,"to sit","i ki ki ka",,,20,
164947,52,"to stand",tur,,,"2,69",
103323,54,man/male,tutana,,,44,
103324,55,woman/female,avavina,,,"1,106",
103325,56,child,bul,child,,37,
103326,57,husband,"kana tutana","his/her husband",,51,
131857,57,husband,taulai,"spouse: < *tau + *laki",,"55,28",
