id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
385,"Lihir (Sunglik)","Veronica Tombeh, Malcolm Ross",lih,lihi1237,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, Tabar","Janet Moody",,"@misc{Tombeh-385-2006,  author = \"Veronica Tombeh, Malcolm Ross\",  date = \"2006\",  howpublished = \"personal communication\"}"
latitude,longitude
-3.18895000000000017337,152.60632000000001085027
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
103895,1,hand,"a liman","could be aliman",,1,
103896,1,hand,liman,,,1,
103897,2,left,kais,"borrowing? TP kais",,15,
103898,3,right,lolo,,,,
103899,4,leg/foot,"a kaken",,,1,
103900,4,leg/foot,"pizi kaken",,,1,
103901,5,"to walk",ka,,,70,
103902,5,"to walk",ka,,,70,
103903,6,road/path,ne,"could be nes",,20,
103904,7,"to come",yak,,,,
103905,8,"to turn",wir,,,66,
103906,9,"to swim",susul,,,12,
103907,10,dirty,biet,,,39,
103908,11,dust,kokoh,,,17,
103909,12,skin,"a kulien",,,1,
103910,13,back,tuan,,,12?,
103911,14,belly,"a tinen",,,"19, 34",
103912,15,bone,tio,,,"1,10",
103913,16,intestines,atien,,,1,
103914,17,liver,yet,,,1,
103915,18,breast,sus,,,1,
103916,18,breast,yaten,,,1,
103917,19,shoulder,kolan,,,,
103918,20,"to know, be knowledgeable",parketan,,,,
172430,21,"to think",nansenie,,,,
103919,22,"to fear",zakol,,,,
103920,23,blood,"a dalan",,,1,
103921,24,head,akon,,,75,
103922,25,neck,"a luan",,,18,
103923,26,hair,alolokon,,,,
103924,27,nose,"a ision",,,1,
103925,28,"to breathe",manos,"0r 17?",,"23,24",
103926,29,"to sniff, smell",suknan,,,91,
103927,30,mouth,"a nizuon",,,2,
103928,31,tooth,weniez,,,,
103929,31,tooth,tur,,,,
103930,32,tongue,kalamen,,,"7, 14",
103931,33,"to laugh",non,,,16,
103932,34,"to cry",ten,,,1,
103933,35,"to vomit",muot,,,1,
103934,36,"to spit",kamiz,,,"14, 22",
103935,37,"to eat",yen,,,1,
103936,38,"to chew",tok,,,27,
103937,39,"to cook",weh,,,,
103938,39,"to cook",tutun,,,9,
103939,39,"to cook",bolim,"< Tok Pisin",L,,
103940,40,"to drink",yun,,,1,
103941,41,"to bite",kalatie,,,1,
103942,42,"to suck",dopkie,,,37,
103943,43,ear,atenan,,,1,
103944,44,"to hear",lan,,,"1, 36",
103945,45,eye,"a matan",,,1,
103946,46,"to see",tiar,,,15,
103947,47,"to yawn",palmah,,,"19, 26",
103948,48,"to sleep",melam,,,82,
103949,48,"to sleep",melam,,,82,
103950,48,"to sleep",memelam,,,82,
103951,49,"to lie down",wil,,,,
103952,50,"to dream","a nambial",,,10,
103953,51,"to sit",kezte,,,20,
103954,52,"to stand",tute,,,"2,12",
103955,53,"person/human being",ziktun,,,,
103956,54,man/male,tamat,,,"12,14",
103957,55,woman/female,weien,,,"1,106",
103958,56,child,zik,,,,
103959,57,husband,tomat,,,23,
103960,58,wife,wen,,,98,
103961,59,mother,tinan,,,1,
103962,60,father,taman,,,1,
103963,61,house,liom,,,1,
124757,62,thatch/roof,belet,"Added by M Ross",,,
103964,63,name,"a iasian","0r 1?",,"1,18",
103965,64,"to say",weng,,,,
103966,65,rope,siio,,,,
103967,66,"to tie up, fasten",kumzie,,,51,
103968,66,"to tie up, fasten",iotie,,,,
103969,67,"to sew",samapie,,L,46,
172437,68,needle,tzunut,,,,
103970,69,"to hunt",pusul,,,,
103971,70,"to shoot",puen,,,1,
103972,71,"to stab, pierce",taca,,,,
103973,72,"to hit",ersas,,,,
103974,73,"to steal",piel,,,62,
103975,74,"to kill",sie,,,,
103976,75,"to die, be dead",miat,,,1?,
103977,76,"to live, be alive",to,,,8,
103978,77,"to scratch",korzie,,,68,
103979,77,"to scratch",makat,,,,
103980,78,"to cut, hack",tala,,,1,
103981,79,stick/wood,aye,,,1,
103982,80,"to split",zirie,,,,
103983,81,sharp,ros,,,,
