id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
386,"Lunga Lunga  (Minigir)","Word List A: Pipil PisaiWord List B: Betty KubakWord List C: Junias PuluWord List D: David KolisMalcolm Ross",vmg,mini1251,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic","Janet Moody",,"@misc{Ross-386-2006,  author = \"Malcolm Ross\",  date = \"2006\",  howpublished = \"personal communication\"}"
latitude,longitude
-4.21356999999999981554,152.01026999999999134161
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
104100,1,hand,"a lima",,,1,
104101,1,hand,lima(na),"shown as given",,1,
104102,2,left,maira,,,"1,59",
104103,3,right,"lima tuna",,,"5,70",
104104,4,leg/foot,"a kakena",,,1,
104105,4,leg/foot,kakena,,,1,
104106,5,"to walk","i vanavana",,,"2, 64",
104107,5,"to walk","i le vana",,,"2, 64",
176734,6,road/path,"a nga",,,20,
104108,7,"to come","i le vana utl",,,"23,32",
104109,8,"to turn",pupukusei,,,35,
104110,9,"to swim","i salari",,,,
104111,10,dirty,karaki,,,,
104112,11,dust,tobon,,,62,
104113,12,skin,"a pilakuluna",,,,
104114,13,back,tauruna,,,12,
104115,14,belly,"a balana",,,18,
104116,15,bone,"a suruna","It can also mean his whole body.",,52,
104117,16,intestines,"vinau na balana",,,26,
216892,17,liver,lika,,,,
104118,18,breast,"a susuna",,,1,
104119,18,breast,bongabongo,"(of man); could be bonga bongo",,31,
104120,19,shoulder,"ula varana",,,1,
104121,20,"to know, be knowledgeable",nukusure,,,,
173321,21,"to think",nunuku,,,,
104122,22,"to fear",burut,,,28,
104123,23,blood,"a gapuna",,,5,
104124,24,head,auluna,,,1,
104125,25,neck,"a kokongina",,,25,
104126,26,hair,"a pepe na uluna",,,,
104127,27,nose,"a bilausuna",,,"1,12",
104128,28,"to breathe",manasungu,,,32,
104298,29,"to sniff, smell",tadange,,,,
104299,29,"to sniff, smell",sangine,,,"11, 57",
104130,30,mouth,"a livono","< POc *lipon 'tooth'",,54,
104131,31,tooth,"a pala livong",,,"1,35",
104132,31,tooth,palalivon,,,"1,35",
104133,32,tongue,"a karameana",,,"7, 14",
104134,33,"to laugh",nongon,,,16,
104135,34,"to cry",tangisi,,,1,
104136,35,"to vomit","maru maruai",,,37,
173320,36,"to spit",imbisi,,,,
104137,37,"to eat","i eani",,,1,
104138,38,"to chew",mamai,,,1,
104139,39,"to cook",papara,,,52,
104140,39,"to cook",kulube,,,,
104141,40,"to drink","i momo",,,27,
104142,41,"to bite","i varivarikarat",,,1,
104143,42,"to suck",numui,,,"50, 36",
104144,43,ear,"a talingana",,,1,
104145,44,"to hear",volongoro,,,"1, 36",
104146,45,eye,matana,,,1,
104147,46,"to see",gire,,,,
104148,47,"to yawn",mauviavi,,,19,
104149,48,"to sleep","i diavu",,,40,
104150,48,"to sleep",diavu,40,,40,
104151,48,"to sleep","i diavu",,,40,
104152,49,"to lie down","diavu palari",,,,
104153,50,"to dream",ririvuan,,,35,
104154,51,"to sit","i kisikisi",,,20,
104155,52,"to stand","turu turu",,,"2,69",
104156,53,"person/human being","gunani tuna",,,48,
104157,54,man/male,tutnana,,,44,
104158,55,woman/female,vavina,,,"1,106",
104159,56,child,bulu,,,37,
104160,57,husband,"(kana)  tutnana","= (her) husband",,51,
104161,58,wife,"(kana)  vavina","= (his) wife",,"5, 68",
104162,59,mother,tnana,,,1,
104163,60,father,tamana,,,1,
104164,61,house,pali,,,14,
216891,62,thatch/roof,aniatavi,,,,
104165,63,name,atsana,"= (his) name; given in brackets: (name= aisang)",,"1,18",
104166,64,"to say",vitiri,,,,
104167,65,rope,vinau,,,39,
104168,66,"to tie up, fasten",visia,32,,32,
