id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
412,"Batak, Palawan","R. Rodda in Reid (1971)",bya,bata1301,"Reid, L.A. (1971). Philippine Minor Languages: Word Lists and Phonologies. Oceanic  Linguistics Special Publication no. 8. University of Hawaii Press.",,"Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Palawanic","Janet Moody",,"@book{136553,  address               = {[Honolulu]},  note                  = {Bibliography: p. [241]},  pages                 = {xii+239},  publisher             = {Univ. of Hawaii Press},  series                = {Oceanic linguistics special publication},  title                 = {Philippine minor languages: word lists and phonologies},  volume                = {8},  year                  = {1971},  bibtexkey             = {reid_minor-phonologies1971},  class_loc             = {PL5525},  document_type         = {B},  fn                    = {papua\reid_philippine-minor1971.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  internetarchive_id    = {rosettaproject_syb_phon-1},  isbn                  = {9780870226915},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 5525 PHI 1971},  src                   = {hh, mpieva, wals},  srctrickle            = {hh#hvw:Reid:Philippine-Minor, mpieva#1971Philippi, wals#4987},  subject_headings      = {Philippine languages–Glossaries, vocabularies, etc., Philippine languages–Phonology, Philippine languages–Glossaries, vocabularies, etc. – Philippine languages–Phonology},  author                = {Reid, Lawrence Andrew},  editor                = {Reid, Lawrence Andrew}}"
latitude,longitude
10.08145665299197979436,119.53607968907060410402
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
110041,1,hand,ʔalima,,,1,
110042,2,left,gibang,,,24,
110043,3,right,ʔuanan,,,"1,62",
110044,4,leg/foot,ʔaʔay,,,1,
110045,5,"to walk",panaw,,,2,
110046,8,"to turn",biring,,,4,
110047,9,"to swim",gaman,,,34,
110048,10,dirty,maburing,,,13,
110049,11,dust,ʔapuk,,,1,
110050,12,skin,kulit,,,1,
110051,13,back,giring,,,44,
110052,14,belly,tinaʔi,,,"19, 34",
110053,15,bone,tuʔlang,,,1,
110054,16,intestines,tinaʔi,,,1,
110055,17,liver,ʔatay,,,1,
110056,18,breast,dudu,,,15,
110057,18,breast,dibdib,,,17,
110058,19,shoulder,ʔabaga,,,1,
110059,20,"to know, be knowledgeable",kilala,"know (a person)",,18,
110060,22,"to fear",takut,,,1,
110061,23,blood,tagɨk,,,22,
110062,24,head,ʔulu,,,1,
110063,25,neck,liʔɨg,,,1,
110064,26,hair,buaʔ,,,"1,65",
110065,27,nose,ʔurung,,,"1,84",
110066,29,"to sniff, smell",ʔarɨk,,,1,
110067,30,mouth,baʔbaʔ,,,1,
110068,31,tooth,nipin,teeth,,1,
110069,32,tongue,dilaʔ,,,4,
110070,33,"to laugh",saya,,,,
110071,34,"to cry",tangis,,,1,
110072,35,"to vomit",suka,,,9,
110073,36,"to spit",surpa,,,"44,71",
110074,37,"to eat",kaʔɨn,,,1,
110075,38,"to chew",mamak,"*betel chew",,1,
110076,39,"to cook",kidpis,"30. *to boil",,,
110077,39,"to cook",lutu,,,20,
110078,40,"to drink",ʔinum,,,1,
110079,41,"to bite",bangkiʔ,,,26,
110080,42,"to suck","maksɨg (kɨsɨg)",,,,
110081,43,ear,talinga,,,1,
110082,44,"to hear",batiʔ,,,21,
110083,45,eye,mata,,,1,
110084,46,"to see",liʔgan,"as above",,44,
110085,48,"to sleep",ʔɨdɨp,,,30,
110086,50,"to dream",tagaʔimpen,,,"1,22",
110087,51,"to sit",rɨʔɨd,,,71,
110088,52,"to stand",tindɨg,,,20,
110089,53,"person/human being",taw,,,1,
110090,54,man/male,lalaki,,,"2,99",
110091,55,woman/female,babay,,,"1,105",
110092,56,child,ʔanak,,,1,
110093,57,husband,ʔasawa,,,2,
110094,58,wife,ʔasawa,,,1,
110095,59,mother,ʔinaʔ,,,"1,76",
110096,60,father,ʔama,,,1,
110097,61,house,balay,,,14,
110098,62,thatch/roof,ʔatɨp,,,1,
110099,63,name,ngaran,,,1,
110100,64,"to say",sugid,,,45,
110101,65,rope,lubid,,,21,
110102,66,"to tie up, fasten",ʔɨkɨt,,,1,
110103,67,"to sew",taik,,L,,
110104,68,needle,dayum,,,,
110105,69,"to hunt",lugitɨm,,,,
110106,71,"to stab, pierce",randak,,,,
110107,73,"to steal",takaw,,,1,
110108,74,"to kill",ʔimatay,,,2,
110109,75,"to die, be dead",napatay,dead,,"1,35",
110110,77,"to scratch",katɨl,itch,,37,
110111,77,"to scratch",taristis,,,38,
110112,78,"to cut, hack",ratak,,,53,
110113,79,stick/wood,kayu,,,1,
110114,81,sharp,matarɨm,,,1,
110115,82,"dull, blunt",maʔabul,,,41,
