id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
423,Inibaloi,"L. Ballard in Reid (1971)",ibl,ibal1244,,,"Austronesian, Malayo-Polynesian, Philippine, Northern Luzon, Meso-Cordilleran, South-Central Cordilleran, Southern Cordilleran, West Southern Cordilleran, Nuclear Southern Cordilleran, Ibaloy","Janet Moody",,"@book{136553,  address               = {[Honolulu]},  note                  = {Bibliography: p. [241]},  pages                 = {xii+239},  publisher             = {Univ. of Hawaii Press},  series                = {Oceanic linguistics special publication},  title                 = {Philippine minor languages: word lists and phonologies},  volume                = {8},  year                  = {1971},  bibtexkey             = {reid_minor-phonologies1971},  class_loc             = {PL5525},  document_type         = {B},  fn                    = {papua\reid_philippine-minor1971.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  internetarchive_id    = {rosettaproject_syb_phon-1},  isbn                  = {9780870226915},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 5525 PHI 1971},  src                   = {hh, mpieva, wals},  srctrickle            = {hh#hvw:Reid:Philippine-Minor, mpieva#1971Philippi, wals#4987},  subject_headings      = {Philippine languages–Glossaries, vocabularies, etc., Philippine languages–Phonology, Philippine languages–Glossaries, vocabularies, etc. – Philippine languages–Phonology},  author                = {Reid, Lawrence Andrew},  editor                = {Reid, Lawrence Andrew}}"
latitude,longitude
14.98655793030495964047,122.28666925578160373789
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
112386,1,hand,taḳday,,,30,
112387,2,left,ʔawidi,,,"1,42",
112388,3,right,ḳawana,,,"1,62",
112389,4,leg/foot,sɨdi,,,73,
112390,5,"to walk",manʔaḳad,,,"40,109",
112391,8,"to turn",boliʔdi,,,,
112392,9,"to swim",mannangoy,,,"1,45",
112393,10,dirty,ʔɨdagitan,,,58,
112394,11,dust,tapoḳ,,,47,
112395,12,skin,bɨdat,,,42,
112396,13,back,bɨnɨg,,,45,
112397,14,belly,ʔɨkɨs,,,53,
112398,15,bone,poḳɨl,,,35,
112399,16,intestines,sosot,,,66,
112400,17,liver,ʔaltɨy,,,"1,51",
112401,18,breast,soso,,,1,
112402,18,breast,pagiw,,,,
112403,19,shoulder,ʔabada,,,1,
112404,20,"to know, be knowledgeable",ʔamta,"know (a person)",,50,
112405,22,"to fear",taḳot,,,1,
112406,23,blood,cala,,,1,
112407,24,head,toḳtoḳ,,,39,
112408,25,neck,boḳdɨw,,,75,
112409,26,hair,bowɨḳ,,,"1,65",
112410,27,nose,ʔɨdɨng,,,85,
112411,29,"to sniff, smell",manʔagob,,,35,
112412,30,mouth,bongot,,,37,
112413,31,tooth,sangi,"Semantic shift from \"jaw\"",,73,
112414,32,tongue,cila,,,4,
112415,33,"to laugh",ngiʔngi,,,38,
112416,34,"to cry",nangis,,,"1,75",
112417,35,"to vomit",ʔota,,,1,
112418,36,"to spit",ʔontopca,,,44,
112419,37,"to eat","mangan (kan)",,,"1,14",
