id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
44,Babatana,"Blust, from Tryon & Hackman (1983)",baa,baba1268,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Choiseul","Peng Du","Simon Greenhill","@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-7.18810087117901996834,157.08251953125000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
44,1,hand,kœrisi-,,,12,
401,2,left,mœrœ,,,"1,59",1
758,3,right,njoŋa,,,41,
1115,4,leg/foot,zikini-,,,18,
1472,5,"to walk",zɔzɔ,,,22,
1829,6,road/path,zuka,,,7,
2186,7,"to come",me[i],,,1,1
2543,8,"to turn","mbitiŋim liŋgisi",,,,
2900,9,"to swim",ŋgavelo,,,47,
3257,10,dirty,pito,,,15,
3614,11,dust,kau,,,17,
3971,12,skin,kœpa,,,12,
4328,13,back,totaka-,,,56,
4685,14,belly,mana-,,,9,
5042,15,bone,punda-,,,8,
5399,16,intestines,kɔmba-e,,,17,
72160,17,liver,kɔla,,,8,
72161,17,liver,mœmœni,,,21,
6113,18,breast,susu-,,,1,1
6827,20,"to know, be knowledgeable",vutini,,,64,
72345,21,"to think",nanana,,,16,
72346,21,"to think",nœni,,,16,
7541,22,"to fear",zisi,,,27,
7898,23,blood,mandaka-,,,6,
8255,24,head,mbœti,,,9,
8612,25,neck,kukunu,,,25,
147155,26,hair,pulu,"hair (body)",,31,
9326,27,nose,ziŋɔ,,,36,
9683,28,"to breathe",ŋasapua,,,41,
10040,29,"to sniff, smell",nœmbœ,,,,
10397,30,mouth,njope,,,52,
10754,31,tooth,kekere-,,,8,
11111,32,tongue,lome-,,,"7, 17",
11468,33,"to laugh",mbere,,,55,
11825,34,"to cry",ŋgela,,,35,
12182,35,"to vomit",ndɔla,,,18,
12539,36,"to spit",kukusu,,,"14, 89",
12896,37,"to eat",ɣœki,,,38,
13967,40,"to drink",ɣœkimbi,,,24,
73535,41,"to bite",kakiti,,,1,1?
73536,41,"to bite",lɔmbe,,,37,1?
