id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
443,"Samal, Siasi Dialect","K. Pallesen in Reid (1971)",sml,cent2092,"Reid, L.A. (1971). Philippine Minor Languages: Word Lists and Phonologies. Oceanic Linguistics Special Publication no. 8. University of Hawaii Press.",,"Austronesian, Malayo-Polynesian, Greater Barito, Sama-Bajaw, Sulu-Borneo, Inner Sulu Sama","Janet Moody",,"@book{136553,  address               = {[Honolulu]},  note                  = {Bibliography: p. [241]},  pages                 = {xii+239},  publisher             = {Univ. of Hawaii Press},  series                = {Oceanic linguistics special publication},  title                 = {Philippine minor languages: word lists and phonologies},  volume                = {8},  year                  = {1971},  bibtexkey             = {reid_minor-phonologies1971},  class_loc             = {PL5525},  document_type         = {B},  fn                    = {papua\reid_philippine-minor1971.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  internetarchive_id    = {rosettaproject_syb_phon-1},  isbn                  = {9780870226915},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 5525 PHI 1971},  src                   = {hh, mpieva, wals},  srctrickle            = {hh#hvw:Reid:Philippine-Minor, mpieva#1971Philippi, wals#4987},  subject_headings      = {Philippine languages–Glossaries, vocabularies, etc., Philippine languages–Phonology, Philippine languages–Glossaries, vocabularies, etc. – Philippine languages–Phonology},  author                = {Reid, Lawrence Andrew},  editor                = {Reid, Lawrence Andrew}}"
latitude,longitude
5.53945000000000042917,120.84960999999999842203
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
116209,1,hand,tangan,,,18,
116210,2,left,gibang,,,24,
116211,3,right,koan,,,"1,62",
116212,4,leg/foot,tapeʔ,,,90,
116213,5,"to walk",lɨngngan,,,59,
194586,7,"to come",piitu,,,,
116214,8,"to turn",giling,,,70,
116215,9,"to swim",langi,,,1,
116216,10,dirty,lɨmmis,,,59,
116217,11,dust,bagunbun,,,71,
116218,12,skin,kulit,,,1,
116219,13,back,bukut,,,46,
116220,14,belly,bɨttong,,,29,
116221,15,bone,koaʔ,,,,
116222,16,intestines,tinaʔi,,,1,
116223,17,liver,atay,,,1,
116224,18,breast,duduʔ,,,15,
116225,18,breast,daggahaʔ,,,26,
116226,19,shoulder,baha,,,1,
116227,20,"to know, be knowledgeable",magkataʔu,"know (a person)",,1,
116228,22,"to fear",tau,,,1?,
116229,23,blood,lahaʔ,,,1,
116230,24,head,kook,,,40,
116231,25,neck,kɨllong,,,76,
116232,26,hair,buʔun,,,1,
116233,27,nose,uung,,,1,
116234,29,"to sniff, smell",hamut,"possible borrowing of 31",,99,
116235,30,mouth,boaʔ,,,1,
116236,31,tooth,empon,teeth,,1,
116237,32,tongue,dɨllaʔ,,,4,
116238,33,"to laugh",tittoa,,,1?,
116239,34,"to cry",tangis,,,1,
116240,35,"to vomit",uttaʔ,,,1,
116241,36,"to spit",lujjaʔ,,,1,
116242,37,"to eat",mangan,,,"1,14",
116243,38,"to chew",mamaʔ,"*betel chew",,1,
116244,39,"to cook",ngodog,"30. *to boil",,,
116245,39,"to cook",bɨlla,,,34,
116246,40,"to drink",inum,,,1,
116247,41,"to bite",keket,,,20,
116248,42,"to suck",sɨssop,,,1,
116249,43,ear,talinga,,,1,
116250,44,"to hear",kale,,,26,
116251,45,eye,mata,,,1,
116252,46,"to see",ɨndaʔ,,,51,
116253,48,"to sleep",tuli,,,1,
116254,50,"to dream",uppiʔ,,,1,
116255,51,"to sit",tingkoʔ,,,81,
116256,52,"to stand",tɨngge,,,34,
116257,53,"person/human being",aʔa,,,28,
116258,54,man/male,lɨlla,,,36,
116259,55,woman/female,dɨnda,,,31,
116260,56,child,makannak,,,1,
116261,57,husband,hɨlla,,,52,
116262,58,wife,hɨnda,,,36,
116263,59,mother,ɨnggoʔ,,,16,
116264,60,father,ɨmmaʔ,,,1,
116265,61,house,lumaʔ,,,1,
116266,62,thatch/roof,atop,,,1,
116267,63,name,oon,,,,
116268,64,"to say","ahɨlling  (ɨlling)",,,57,
116269,65,rope,kɨllat,,,33,
116270,66,"to tie up, fasten",engkot,,,1,
116271,67,"to sew",laʔit,,,2,
116272,68,needle,jalum,,,1,
116273,71,"to stab, pierce",dugsuʔ,,,36,
116274,73,"to steal",tangkaw,,,1,
116275,74,"to kill",papatay,,,22,
116276,75,"to die, be dead",patay,dead,,1,
116277,77,"to scratch",katol,itch,,37,
116278,77,"to scratch",kakkot,,,21,
116279,78,"to cut, hack",kɨllot,,,,
116280,79,stick/wood,kayu,,,1,
116281,81,sharp,talom,,,1,
116282,82,"dull, blunt",tompol,,,3,
116283,83,"to work",hinang,,,36,
116284,84,"to plant",tanom,,,2,
116285,85,"to choose",peneʔ,,,"16,1",
116286,88,"to squeeze",pɨggaʔ,,,38,
116287,89,"to hold",balut,,,,
116288,90,"to dig",kaliʔ,,,1,
116289,91,"to buy",bɨlli,,,1,
116290,93,"to pound, beat",tɨppa,,,19,
116291,94,"to throw",bantung,,,,
116292,95,"to fall",labu,,,1,
116293,96,dog,edoʔ,,,48,
116294,97,bird,manuk,,,1,
116295,98,egg,ɨntɨllo,,,35,
116296,99,feather,bulbul,,,1,
116297,100,wing,kepet,,,46,
116298,101,"to fly",leang,,,22,
116299,102,rat,babaw,,,49,
116300,104,fat/grease,isi,"104. fat (n.)",,,
116301,105,tail,togel,,,,
116302,106,snake,soa,,,"25,45",
116303,107,"worm (earthworm)","kalog tanaʔ",,,,
116304,108,louse,kutu,"lice (head)",,1,
116305,109,mosquito,hamaʔ,,,1,
116306,110,spider,kabongbong,,,36,
116307,111,fish,daing,,,54,
116308,112,rotten,buhuk,,,1,
116309,114,leaf,daun,,,1,
116310,115,root,gamut,,,3,
116311,116,flower,sumping,,,29,
116312,117,fruit,buaʔ,,,1,
116313,119,earth/soil,tanaʔ,,,1,
116314,120,stone,batu,,,1,
116315,121,sand,gusung,,,,
116316,122,water,boheʔ,,,25,
116317,124,sea,tahik,,,1,
116318,125,salt,asin,,,3,
116319,126,lake,danaw,,,1,
116320,127,woods/forest,talun,,,30,
116321,128,sky,langit,,,1,
116322,129,moon,bulan,,,1,
116323,130,star,bituʔun,,,1,
116324,131,cloud,gabun,,,1,
116325,133,rain,ulan,,,1,
116326,134,thunder,lɨggon,,,33,
116327,135,lightning,laat,,,30,
116328,136,wind,baliu,,,2,
116329,137,"to blow",tiup,,,"1,19",
116330,138,warm,pasuʔ,"hot (as in water)",,26,
116331,139,cold,haggut,,,35,
116332,140,dry,tohoʔ,"dry (not wet)",,75,
116333,140,dry,"pallaw  (illaw)","to dry",,,
116334,141,wet,baseʔ,,,1,
116335,142,heavy,buhat,,,1,
116336,143,fire,api,,,1,
116337,144,"to burn",dokot,,,,
116338,145,smoke,humbu,,,34,
116339,146,ash,abu,,,1,
116340,147,black,ettom,,,1,
116341,148,white,poteʔ,,,1,
116342,149,red,keat,,,,
116343,150,yellow,bianing,,,37,
116344,151,green,gaddung,,,28,
116345,152,small,dikiʔdikiʔ,,,138,
116346,153,big,hea,,,1?,
116347,154,short,pandak,"short (person)",,1,
116348,154,short,puʔut,"short (object)",,,
116349,155,long,tahaʔ,,,28,
116350,156,thin,nipis,,,1,
116351,157,thick,kapal,,,1,
116352,158,narrow,nahut,,,,
116353,159,wide,luha,,,1,
116354,160,"painful, sick",pɨddiʔ,,,23,
116355,161,"shy, ashamed",iaʔ,,,1,
116356,162,old,toʔa,"old (objects)",,1,
116357,162,old,toʔa,"old (people)",,1,
116358,163,new,bahaʔu,,,1,
116359,164,good,haap,,,36,
116360,165,"bad, evil",laʔat,,,1,
116361,167,night,sangom,,,36,
116362,168,day,ɨllaw,,,1,
116363,169,year,tahun,,,1,
116364,170,when?,sumian,,,30,
116365,171,"to hide",tapuk,,,13,
116366,172,"to climb",daag,,,2,
194585,175,above,jata,,,,
116367,176,below,deoʔ,under,,,
194584,177,this,ittu,,,,
194583,178,that,illi,,,,
116368,179,near,sekot,,,,
116369,180,far,taa,,,46,
116370,181,where?,maingga,,,38,
116371,188,what?,ai,,,29,
116372,189,who?,sai,,,1,
116373,190,other,saddi,,,40,
116374,191,all,kamemon,,,1,
194582,192,and,maka,,,,
116375,193,if,bang,,,20,
116376,194,how?,pila,"how many",,x,
116377,195,"no, not","nggaʔi ka",,,56,
116378,196,"to count",itung,,,31,
116379,197,One,isa,,,1,
116380,198,Two,dua,,,1,
116381,199,Three,tɨllu,,,1,
116382,200,Four,ɨmpat,,,1,
116383,201,Five,lima,,,1,
116384,202,Six,ɨnnom,,,1,
116385,203,Seven,pituʔ,,,1,
116386,204,Eight,waluʔ,,,3,
116387,205,Nine,siam,,,9,
116388,206,Ten,sangpuʔ,,,5,
116389,207,Twenty,duampuʔ,,,"3,6",
189074,208,Fifty,limangpu,,,,
116390,209,"One Hundred",hatus,,,4,
116391,210,"One Thousand",ibu,,,5,
