id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
447,"Subanun, Sindangan","R. Brichoux in Reid (1971)",syb,cent2089,"Reid, L.A. (1971). Philippine Minor Languages: Word Lists and Phonologies. Oceanic Linguistics Special Publication no. 8. University of Hawaii Press.",,"Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Subanon, Eastern","Janet Moody",,"@book{136553,  address               = {[Honolulu]},  note                  = {Bibliography: p. [241]},  pages                 = {xii+239},  publisher             = {Univ. of Hawaii Press},  series                = {Oceanic linguistics special publication},  title                 = {Philippine minor languages: word lists and phonologies},  volume                = {8},  year                  = {1971},  bibtexkey             = {reid_minor-phonologies1971},  class_loc             = {PL5525},  document_type         = {B},  fn                    = {papua\reid_philippine-minor1971.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  internetarchive_id    = {rosettaproject_syb_phon-1},  isbn                  = {9780870226915},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 5525 PHI 1971},  src                   = {hh, mpieva, wals},  srctrickle            = {hh#hvw:Reid:Philippine-Minor, mpieva#1971Philippi, wals#4987},  subject_headings      = {Philippine languages–Glossaries, vocabularies, etc., Philippine languages–Phonology, Philippine languages–Glossaries, vocabularies, etc. – Philippine languages–Phonology},  author                = {Reid, Lawrence Andrew},  editor                = {Reid, Lawrence Andrew}}"
latitude,longitude
8.02833448071281807756,123.32054461257770583416
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
117084,1,hand,bengkɨn,,,,
117085,2,left,bibang,,,"24,89",
117086,3,right,dlintu,,,"5,28",
117087,4,leg/foot,gɨksud,,,,
117088,5,"to walk",mpanaw,,,2,
117089,8,"to turn",bulibud,,,,
117090,9,"to swim",lumanguy,,,1,
117091,10,dirty,mɨlɨmuʔ,,,,
117092,11,dust,gabug,,,1,
117093,12,skin,panit,,,2,
117094,13,back,tɨnting,,,49,
117095,14,belly,tian,,,1,
117096,15,bone,tolan,,,1,
117097,16,intestines,tinee,,,1,
117098,17,liver,gatay,,,1,
117099,18,breast,duduʔ,,,15,
117100,18,breast,giddib,,,17,
117101,19,shoulder,baga,,,"1,84",
117102,20,"to know, be knowledgeable",misunan,"know (a person)",,49,
117103,22,"to fear",mɨndɨk,,,32,
117104,23,blood,duguʔ,,,16,
117105,24,head,gulu,,,1,
117106,25,neck,dliig,,,1,
117107,26,hair,buuk,,,"1,65",
117108,27,nose,sung,,,32,
117109,29,"to sniff, smell",sɨndlutɨn,,,,
117110,30,mouth,babaʔ,,,1,
117111,31,tooth,ngisi,teeth,,24,
117112,32,tongue,dilaʔ,,,4,
117113,33,"to laugh",mɨkɨtawa,,,1,
117114,34,"to cry",mɨngaduy,,,,
117115,35,"to vomit",mɨgutaʔ,,,1,
117116,36,"to spit",dulaʔɨn,,,"1,30",
117117,37,"to eat",maan,,,1,
117118,38,"to chew",mimaʔin,"*betel chew",,1,
117119,39,"to cook",sibu,"30. *to boil",,31,
117120,39,"to cook",mɨgbalɨgan,,,,
117121,40,"to drink",minum,,,1,
117122,41,"to bite",mɨngɨbut,,,,
117123,42,"to suck",iksɨpɨn,,,,
117124,43,ear,tɨlinga,,,1,
117125,44,"to hear",mɨdɨngɨg,,,1,
117126,45,eye,mata,,,1,
117127,46,"to see",metaʔ,,,"1,24",
