id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
455,Miyako,"Ryukyuan Language Phonetic Database",mvi,miya1259,"Miyako is classified as a Ryukyuan language, a subfamily of the Japonic languages (including Japanese). It is spoken on the island of Miyako between mainland Japan and Taiwan.",,"Japonic, Ryukyuan, Sakishima","Mark Williamson",,"@misc{RLCm,  date   = {1993-2003},  title  = {Ryukuyuan Language Center: Miyako Dialect},  note   = {Website},  url    = {http://133.13.160.25/rlang/index.html},  author = {Center, Ryukuyuan Language}}"
latitude,longitude
24.75641999999999853799,125.36308999999999969077
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
118674,1,hand,tī,,,38,
118675,2,left,pyday,,,,
118676,3,right,ngy,,,,
118677,4,leg/foot,pagy,,,,
118678,5,"to walk",ayky,,,,
118679,6,road/path,mcy,,,,
118680,7,"to come",kys,,,,
118681,8,"to turn",magay,,,,
118682,9,"to swim",ujugy,,,,
254384,10,dirty,ɕɕana,,,,
118683,11,dust,mtabuki,,,,
118684,12,skin,kā,,,,
118685,13,back,kusammi,,,,
118686,14,belly,pata,,,,
118687,15,bone,gū,,,,
118688,16,intestines,haifuku,,,,
118689,17,liver,kymu,,,,
118690,18,breast,mmi,,,,
118691,19,shoulder,katamus,,,,
254382,20,"to know, be knowledgeable",ssï,,,,
118692,21,"to think",umuy,,,,
254383,22,"to fear",uv,,,,
118693,23,blood,akacy,,,,
118694,24,head,kanamay,,,,
118695,25,neck,nubuy,,,,
118696,26,hair,pygy,,,,
118697,27,nose,pana,,,,
118698,29,"to sniff, smell",kaby,,,,
118699,30,mouth,fcy,,,,
118700,31,tooth,pā,,,,
118701,32,tongue,sda,,,,
118702,33,"to laugh",barō,,,,
118703,34,"to cry",naky,,,,
118704,35,"to vomit",paky,,,,
118705,36,"to spit",cypaky,,,,
118706,37,"to eat",fō,,,,
118707,38,"to chew",kam,,,,
118708,39,"to cook","munu skōy","Lit. \"make stuff\"",,,
118709,40,"to drink",num,,,,
118710,41,"to bite",kam,,,,
118711,42,"to suck",juby,,,,
118712,43,ear,mim,,,18,
118713,44,"to hear",kyky,,,,
118714,45,eye,mī,,,14,
118715,46,"to see",mīy,,,,
118716,47,"to yawn",afky,,,,
118717,48,"to sleep",niv,,,100,
118718,50,"to dream","jumi’udu mīy",,,,
118719,51,"to sit",biy,,,,
118720,53,"person/human being",pytu,,,,
118721,54,man/male,bikidum,,,,
118722,55,woman/female,midum,,,,
118723,56,child,jarabi,,,99,
118724,57,husband,butu,,,,
118725,58,wife,dumi,,,,
118726,59,mother,anna,,,,
118727,60,father,asa,,,,
118728,61,house,jā,,,25,
118729,63,name,nā,,,,
118730,64,"to say",ay,,,,
118731,65,rope,nā,,,,
118732,67,"to sew",nū,,,,
118733,73,"to steal",nusum,,,,
118734,74,"to kill",kurus,,,,
118735,75,"to die, be dead",sn,,,,
118736,76,"to live, be alive","ikydidu wwy",,,,
118737,77,"to scratch",kaky,,,,
118738,78,"to cut, hack",kys,,,,
118739,79,stick/wood,bō,"Loan from Chinese. cf. Sino-Japanese boo 'stick/wood'",,100,
118740,80,"to split",bay,,,,
118741,82,"dull, blunt",nivsa,,,,
118742,85,"to choose",iraby,,,,
118743,89,"to hold",mucy,,,,
118744,91,"to buy",kō,,,100,
118745,92,"to open, uncover",akiy,,,,
118746,96,dog,in,,,39,
118747,97,bird,tuy,,,,
118748,98,egg,tunaka,,,,
118749,101,"to fly",tuby,,,41,
118750,102,rat,jumunu,,,,
118751,103,meat/flesh,miy,,,,
118752,104,fat/grease,avva,,,,
118753,109,mosquito,gazam,,,,
118754,110,spider,kuv,,,,
118755,111,fish,yzu,,,,
118756,115,root,nī,,,20,
118757,117,fruit,nay,,,,
118758,118,grass,fusa,,,,
118759,119,earth/soil,mta,,,,
118760,120,stone,is,,,,
118761,121,sand,mnagu,,,,
118762,122,water,mizy,,,,
118763,123,"to flow",nagariy,,,,
118764,124,sea,im,,,,
118765,125,salt,māsu,,,,
118766,126,lake,iki,,,24,
118767,127,woods/forest,kīmurus,,,,
118768,128,sky,ama,,,,
118769,129,moon,cyky,,,,
118770,131,cloud,fumu,,,,
118771,133,rain,ami,,,,
118772,134,thunder,kamtujum,,,,
118773,135,lightning,mnapykay,,,,
118774,136,wind,kazi,,,,
118775,137,"to blow",fky,,,,
118776,138,warm,acy,,,48,
118777,142,heavy,iv,,,,
118778,144,"to burn",mās,,,41,
118779,145,smoke,kivs,,,,
118780,146,ash,karapay,,,,
118781,147,black,ffo,,,,
118782,148,white,ssu,,,,
118783,149,red,aka,,,,
118784,150,yellow,kȳro,,,,
118785,151,green,ō,,,,
118786,152,small,imi,,,,
118787,153,big,upu,,,,
118788,154,short,maru,,,,
118789,155,long,naga,,,56,
118790,157,thick,ara,,,,
118791,160,"painful, sick",jam,,,,
118792,163,new,miy,,,,
118793,164,good,i,,,,
118794,165,"bad, evil",yana,,,,
118795,166,"correct, true",matumu,,,,
118796,167,night,juy,,,,
118797,168,day,tida,,,,
118798,169,year,tus,,,,
118799,171,"to hide",kaffy,,,,
118800,172,"to climb",nūy,,,,
118801,177,this,kuri,,,,
118802,179,near,cyka,,,52,
118803,180,far,agatakay,"Lit. \"tall distance\"",,,
118804,181,where?,nza,,,,
118805,182,I,ban,,,,
118806,183,thou,vva,,,,
118807,188,what?,nō,,,,
118808,189,who?,tō,,,,
118809,194,how?,nōga,,,,
118810,196,"to count",jum,,,,
118811,197,One,pytī,,,,
118812,198,Two,ftā,,,,
118813,199,Three,mī,,,,
118814,200,Four,jū,,,,
118815,201,Five,icy,,,,
118816,202,Six,m̄,,,11,
118817,203,Seven,nana,,,6,
118818,204,Eight,jā,,,9,
118819,205,Nine,kukunu,,,,
254388,206,Ten,tu:,,,,
254387,207,Twenty,patacï,,,,
254386,208,Fifty,icïsucï,,,,
118820,209,"One Hundred",mumu,,,,
254385,210,"One Thousand",tu:mumu,,,,
