id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
460,Tape,Crowley,mrs,mara1399,"Also Known As MaragusCrowley, T. (2006). Tape: a declining language of Malakula (Vanuatu).  Edited by John Lynch. Pacific Linguistics. Research School of Pacific and Asian Studies. The Australian National University.kh = velar fricative, ng = velar nasal, ë = schwa.","Andreea: replaced /kh/ with velar fricative:-- voiced velar fricative intervocalically, word initially-- voiceless velar fricative word finally, or adjacent to unvoiced consonants(cf. Malcolm Ross)Also replaced all ë with ə.","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior, Malekula Central","Simon Greenhill",,"@book{47396,  address               = {Canberra},  pages                 = {xviii+198},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics},  title                 = {Tape: A declining language of Malakula (Vanuatu)},  volume                = {575},  year                  = {2006},  asjp_name             = {Maragus},  bibtexkey             = {crowley_declining-malakula2006},  class_loc             = {PL6211.M3},  document_type         = {B},  fn                    = {papua\crowley_tape2006.pdf, papua\crowley_tape2006pages_o.pdf},  hhtype                = {grammar},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858835672},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .M3 CRO 2006 TAP},  src                   = {asjp2010, hh, mpieva},  srctrickle            = {asjp2010#578, hh#g:Crowley:Tape, mpieva#Crowley2006Tapeadec},  subject_headings      = {Melanesian languages–Vanuatu–Malekula, Malekula (Vanuatu)–Languages, Melanesian languages–Vanuatu–Malekula – Malekula (Vanuatu)–Languages},  author                = {Crowley, Terry}}"
latitude,longitude
-16.05108999999999852548,167.25037000000000375621
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
120239,1,hand,ləmen,,,1,
120240,2,left,mornen,"L Hand",,"1,59",
120241,3,right,məldon,"R Hand",,44,
120242,4,leg/foot,tilin,,,34,
120243,5,"to walk",ling,,,60,
120244,6,road/path,sel,,,1,
120245,7,"to come",mo,,,1,
120246,8,"to turn",ruten,,,111,
120247,9,"to swim",suvsip,,,12,
120248,10,dirty,ninit,,,2,
120249,11,dust,nəmi,,,95,
120441,12,skin,"lil pekən",,,104,
120442,12,skin,nilən,,,,
120251,13,back,bwəlin,,,52,
120252,14,belly,vetən,,,5,
120253,15,bone,jun,,,2,
120254,16,intestines,jənin,,,1,
120445,17,liver,mopən,,,7,
120446,17,liver,movmit,,,7,
120256,18,breast,səsən,,,1,
120257,19,shoulder,"pəti vwisin",,,"71, 65",
120258,20,"to know, be knowledgeable",rəngdo,,,"19, 91",
120259,21,"to think",vərəng,listen/think,,10,
120260,22,"to fear",dədəngen,,,"25, 60",
120261,23,blood,deen,,,1,
120262,24,head,pətin,,,9,
120263,25,neck,potaɣ|dəlin,,,42,
120264,26,hair,"nil pətin",,,"31, 60",
120265,27,nose,kəsən,,,"1,58,55",
120266,28,"to breathe",ngip,,,59?,
120267,29,"to sniff, smell",səsərip,sniff,,,
120268,30,mouth,pwingin,,,41,
120269,31,tooth,lun,,,"1,35",
120270,32,tongue,mimin,,,"7, 41",
120271,33,"to laugh",təməs,,,47,
120272,34,"to cry",ij,,,66,
120273,35,"to vomit",luaɣ,,,8,
120274,36,"to spit",tebəs,,,15,
120275,37,"to eat",udi,,,13,
120276,38,"to chew",jomo,,,21,
120277,39,"to cook",denge,,,94,
120278,40,"to drink",mən,,,"1,49",
120279,41,"to bite",is,,,"1,60",
120280,43,ear,dəlngen,,,"1, 40",
120281,44,"to hear",rəng,,,1,
120282,45,eye,məten,,,1,
120283,46,"to see",lis,,,"14, 94",
120284,47,"to yawn",mamau,,,19,
120285,48,"to sleep",metər,,,1,
120286,50,"to dream","metər lilis","= sleep see",,"11,10",
120287,51,"to sit",liek,,,110,
120489,52,"to stand",səɣ,,,27,
120490,52,"to stand",və|tir,,,"2, 69",
120289,53,"person/human being",dui,,,,
120290,54,man/male,dui,,,45,
120495,55,woman/female,təvələɣ,,,24,
120496,55,woman/female,təvet,,,24,
120292,56,child,netite,,,5,
120508,57,husband,dui,,,37,
120509,57,husband,elaɣ,,,38,
120294,58,wife,təvələɣ,,,,
120295,59,mother,nunu,,,53,
120524,60,father,etmen,,,1,
120525,60,father,tete,,,19,
120297,61,house,nəmaɣ,,,51,
122663,62,thatch/roof,niet,thatch,,1,
120298,63,name,nəɣsen,,,"1, 35",
