id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
462,Makasae,"Joao da Silva Sarmento",mkz,maka1316,http://www.ling.hawaii.edu/%7Euhdoc/makasae_osor/index.html,,"Trans-New Guinea, West, Timor-Alor-Pantar, Timor","Mark Williamson",,"@misc{Sarmento-462-2006,  author = \"Joao da Silva Sarmento\",  date = \"2006\",  howpublished = \"personal communication\"}"
latitude,longitude
-8.65842999999999918259,126.50732000000000709861
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
121174,1,hand,tana,,,18,
121175,2,left,elilai,,,,
121176,3,right,tanelai,,,,
121177,4,leg/foot,itibata,,,,
121178,5,"to walk",kaa,,,,
121179,6,road/path,iabere,,,,
121180,7,"to come",mau,,,,
121181,8,"to turn",galiria,,,,
121347,9,"to swim",nani,,,1?,
121348,9,"to swim",looro,,,,
121183,10,dirty,rai,,,,
121184,11,dust,loe,,,,
121185,12,skin,kuli,,,1,
121349,13,back,naruta,,,,
121350,13,back,ulakoru,,,,
121187,14,belly,atu,,,,
121188,15,bone,sapa,,,,
121189,17,liver,ari,,,,
121190,18,breast,dudu,,,,
121191,19,shoulder,waraa,,,,
121192,20,"to know, be knowledgeable",maene,,,,
121193,21,"to think",geere,,,,
121194,22,"to fear",hagaa,,,,
121195,23,blood,wai,,,,
121196,24,head,dae,,,,
121197,25,neck,manekai,,,,
121198,26,hair,daenasa,,,,
121199,27,nose,murikai,,,,
121200,28,"to breathe",eherei,,,,
121201,29,"to sniff, smell",orono,"< AN",,,
121202,30,mouth,turukai,,,,
121203,31,tooth,wasi,,,,
121351,32,tongue,ipi,,,,
121352,32,tongue,anamata,,,,
121205,33,"to laugh",hia,,,,
121353,34,"to cry",leleu,,,,
121354,34,"to cry",iara,,,,
121207,35,"to vomit",hali,,,,
121208,36,"to spit",ilusupa,,,,
121209,37,"to eat",nawa,,,,
121210,40,"to drink",gehe,,,,
121211,41,"to bite",tia,,,,
121355,42,"to suck",susu,,,1,
121356,42,"to suck",toi,,,,
121213,43,ear,walaku,,,,
121214,44,"to hear",walii,,,34,
121215,45,eye,nana,,,15,
121216,46,"to see",ena,,,,
121217,48,"to sleep",tae,,,,
121218,49,"to lie down",hotae,,,,
121219,51,"to sit",homi,,,,
121220,52,"to stand",etena,,,,
121221,53,"person/human being",anu,,,,
121222,54,man/male,asukai,,,,
121223,55,woman/female,tupurae,,,100,
121224,56,child,mata,,,,
121225,57,husband,kabene,,,,
121226,58,wife,tupurae,,,,
121227,59,mother,ina,,,1,
121228,60,father,baba,,,5,
121229,61,house,oma,,,,
121230,63,name,nai,,,19,
121231,64,"to say",lolo,,,,
121232,65,rope,tali,,,1,
121357,66,"to tie up, fasten",gasapa,,,,
121358,66,"to tie up, fasten",gasiili,,,,
121234,67,"to sew",pahaa,,,,
121235,69,"to hunt",soro,,,100,
121236,71,"to stab, pierce",saunu,,,,
121359,72,"to hit",base,,,,
121360,72,"to hit",gene,,,,
121238,74,"to kill",guta,,,,
121239,75,"to die, be dead",umu,,,20,
121240,76,"to live, be alive",diara,,,,
121241,77,"to scratch",sua,,,,
121242,79,stick/wood,atetapu,,,,
121361,80,"to split",getabati,,,,
121362,80,"to split",getalari,,,,
121244,81,sharp,meraa,,,,
121245,82,"dull, blunt",puuru,,,,
121246,83,"to work",gini,,,,
121247,84,"to plant",saunu,,,,
121363,87,"to swell",putu,,,,
121364,87,"to swell",modara,,,,
121249,88,"to squeeze",ramaa,,,,
121250,89,"to hold",gasipaa,,,,
121365,90,"to dig",guru,,,,
121366,90,"to dig",toi,,,,
121367,90,"to dig",dei,,,,
121252,94,"to throw",liana,,,,
121253,95,"to fall",hodesara,,,,
121254,96,dog,depa,,,,
121255,97,bird,asa,,,,
121256,98,egg,waa,,,,
121257,99,feather,asanamu,,,,
121258,100,wing,liakai,,,,
121368,101,"to fly",riri,,,,
121369,101,"to fly",namalooko,,,,
121260,102,rat,dura,,,,
121261,103,meat/flesh,seu,,,,
121262,104,fat/grease,semi,,,,
121263,105,tail,ula,,,,
121264,106,snake,opo,,,,
121370,108,louse,imi,,,,
121371,108,louse,tumi,,,,
121266,109,mosquito,susuku,,,,
121267,110,spider,boboraka,,,,
121268,111,fish,seumeti,,,,
121269,112,rotten,nuruku,,,,
121270,114,leaf,ateasa,,,,
121271,115,root,ari,,,,
121272,116,flower,atepu,,,,
121273,117,fruit,ateisu,,,,
121274,118,grass,munu,,,,
121275,119,earth/soil,maa,,,,
121276,120,stone,apa,,,,
121372,121,sand,sarakini,,,,
121373,121,sand,imika,,,,
121278,122,water,ira,,,,
121279,123,"to flow",teere,,,,
121280,124,sea,meti,,,,
121281,125,salt,asi,,,1?,
121282,126,lake,liubere,,,,
121283,127,woods/forest,ate,,,,
121284,128,sky,lo,,,,
121285,129,moon,uru,,,,
121286,130,star,lekiluru,,,,
121287,131,cloud,nunuteu,,,,
121288,132,fog,nunuteu,,,,
121289,133,rain,ae,,,,
121290,134,thunder,laku,,,,
121374,135,lightning,lakureeke,,,40,
121375,135,lightning,lakupatiri,,,,
121376,136,wind,dane,,,,
121377,136,wind,gawa,,,,
121293,137,"to blow",guuru,,,,
121294,138,warm,kuulu,,,,
121295,139,cold,gaara,,,,
121296,140,dry,saara,,,,
121297,141,wet,ipala,,,,
121298,142,heavy,tiiri,,,,
121299,143,fire,ataleene,,,,
121300,144,"to burn",gatadua,,,,
121301,145,smoke,atateu,,,45,
121378,146,ash,loelimu,,,,
121379,146,ash,ataloe,,,,
121303,147,black,metana,,,1,
121304,148,white,butiri,,,,
121305,149,red,imiri,,,,
121306,150,yellow,gabara,,,,
121380,151,green,lumuru,,,,
121381,151,green,lumulai,,,,
121308,152,small,aharai,,,,
121309,153,big,koini,,,,
121310,154,short,digara,,,,
121311,155,long,asana,,,,
121312,156,thin,nipii,,,1,
121313,157,thick,habaa,,,,
121314,158,narrow,mooro,,,,
121315,159,wide,malara,,,1,
121316,160,"painful, sick",sisiri,,,,
121317,162,old,gama,,,,
121318,163,new,supa,,,,
121319,164,good,rau,,,,
121320,165,"bad, evil",redeke,,,,
121321,167,night,maagamu,,,,
121322,168,day,watu,,,,
121323,169,year,ani,,,,
121324,170,when?,nainehe,,,,
121325,173,at,isidei,,,,
121326,177,this,lehere,,,,
121327,178,that,lewere,,,,
121328,179,near,malene,,,,
121329,180,far,gaagaa,,,,
121330,181,where?,naigaluisi,,,,
121382,185,we,ini,excl.,,,
121383,185,we,pi,incl.,,,
121332,186,you,i,,,,
121333,187,they,era,,,,
121334,188,what?,nai,,,,
121335,189,who?,nairee,,,,
121384,190,other,leere,,,,
121385,190,other,daedei,,,,
121386,191,all,haugoba,,,,
121387,191,all,gobasai,,,,
121338,192,and,mai,,,2,
121388,193,if,eredete,,,,
121389,193,if,eredawa,,,,
121340,194,how?,netani,,,,
121341,195,"no, not",tonai,,,,
121342,196,"to count",sura,,,7,
121343,197,One,u,,,,
121344,198,Two,lolae,,,,
121345,199,Three,lolitu,,,,
121346,200,Four,lolowa,,,,
