id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
467,Ilonggo,"Richard Parker",hil,hili1240,"English-Tagalog Visayan Dictionary -- Philippine Books (Paperback) by Enriquez, Bautista, & Jamolangue.",,"Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Central Philippine, Bisayan, Central, Peripheral","Richard Parker",,"@book{Enriquez1949,  title     = {Pocket Dictionary: English - Tagalog - Visayan (Cebuano - Ilongo) Vocabulary},  publisher = {Philippine Book Co},  address   = {Manila},  year      = {1949},  author    = {Enriquez, P. Jacobo and Bautista, Jose A. and Jr, Francis J. Jamolangue}}"
latitude,longitude
10.25000000000000000000,123.00000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
124125,1,hand,kamút,,,"21,68",
124126,2,left,walá,,,"25,68",
124127,3,right,tuó,,,"5,25",
124128,4,leg/foot,tiíl,(Foot),,10,
124129,5,"to walk",lumakát,,,"40,110",
154718,5,"to walk",malakat,,,,
154719,5,"to walk",tikang,,,,
124130,6,road/path,dalan,,,1,
154720,6,road/path,alagyan,road,,56,
154721,6,road/path,alagihan,road,,,
154722,6,road/path,banas,path,,,
131203,7,"to come",makadto,,,2,
124131,8,"to turn",binaliskad,,,,
154724,8,"to turn",liko,"in driving",,21,
124132,9,"to swim",lumangóy,,,1,
124133,10,dirty,mahigkò,,,11,
124134,11,dust,yab-ok,,,23,
141585,11,dust,yab-uk,,,23,
124135,12,skin,panit,,,"2,85",
124136,13,back,likód,,,1,
124137,14,belly,tiyán,,,1,
124138,15,bone,tul-an,,,1,
133472,16,intestines,tinae,,,1,
124139,17,liver,atay,,,1,
124140,18,breast,suso,breast,,1,
154723,18,breast,titi,,,6,
124141,19,shoulder,abaga,,,1,
124142,20,"to know, be knowledgeable",hibal-an,"to know",,,
154725,20,"to know, be knowledgeable",matikdan,,,,
124143,21,"to think",isipon,,,23,
154726,21,"to think",paminsara,,,64,
154727,21,"to think",isip-isipa,,,23,
154728,21,"to think",huna-hunaa,,,24,
124144,22,"to fear",kalahadlokán,,,16,
154729,22,"to fear",kakurdaman,,,,
154730,22,"to fear",kahadlokan,,,16,
124145,23,blood,dugô,,,16,
124146,24,head,ulo,,,1,
124147,25,neck,liug,,,1,
124148,26,hair,buhók,,,"1,65",
124149,27,nose,ilóng,,,1,
124150,28,"to breathe",ginhawa,,,"1,70",
124151,29,"to sniff, smell",hakluón,,,31,
154731,29,"to sniff, smell",simhot,,,"31,82",
124152,30,mouth,bâbà,,,1,
153632,31,tooth,untô,,,52,
124153,31,tooth,ngipon,,,"1,48",
124154,32,tongue,dilà,,,4,
124155,33,"to laugh",kumadlaw,,,33,
154732,33,"to laugh",kadlaw,,,33,
124156,34,"to cry",hibi,,,31,
124157,35,"to vomit",sumuka,,,9,
154738,35,"to vomit",masuka,,,9,
124158,36,"to spit",dumuplà,,,"1,36",
154737,36,"to spit",madupla,,,"1,36",
124159,37,"to eat",kumaon,,,1,
154736,37,"to eat",makaon,,,1,
124160,38,"to chew",usangon,,,54,
154733,38,"to chew",usapon,,,"17,18",
124161,39,"to cook",luto,,,20,
124162,40,"to drink",ilimnon,,,1,
154735,40,"to drink",mainom,,,1,
124163,41,"to bite",kadton,,,1,
154734,41,"to bite",kagton,,,1,
124164,42,"to suck",supsupón,,,1,
124165,43,ear,dulunggan,,,11,
124166,44,"to hear",mamati,,,20,
124167,45,eye,matá,,,1,
124168,46,"to see",makità,,,1,
124169,47,"to yawn",paguy-ab,,,"19,38",
154739,47,"to yawn",manguy-ab,,,"19,38",
209498,47,"to yawn",panguy-ab,,,"19,38",
124170,48,"to sleep",magtulog,,,1,
154740,48,"to sleep",matulog,,,1,
124171,49,"to lie down",ibutáng,,,22,
154741,49,"to lie down",mahigda,,,"19,30",
154742,49,"to lie down",ibutang,"put down",,,
124172,50,"to dream",damgohanon,,,21,
154743,50,"to dream",madamgo,,,21,
154744,50,"to dream",damguhanon,dreaming,,21,
124173,51,"to sit",lumingkod,,,45,
154745,51,"to sit",pungko,,,139,
124174,52,"to stand",magtindog,,,20,
124175,53,"person/human being",táo,,,1,
154746,53,"person/human being",tawo,,,1,
124176,54,man/male,lalaki,,,"2,99",
124177,55,woman/female,babáe,,,"1,105",
124178,56,child,batà,,,16,
124179,57,husband,bana,,,1,
124180,58,wife,asawa,,,1,
124181,59,mother,nay,,,"1,14",
154747,59,mother,iloy,,,77,
154748,59,mother,nanay,,,"1,73",
131870,60,father,tatay,,,19,
154749,60,father,amay,,,"1,36",
154750,60,father,tatay,,,19,
124182,61,house,puluy-an,,,37,
154751,61,house,balay,,,14,
124183,62,thatch/roof,atúp,,,1,
124184,63,name,ngalan,,,1,
124185,64,"to say",itlangón,,,32,
154752,64,"to say",mitlang,,,,
154753,64,"to say",sambit,,,,
124186,65,rope,pisi,,,22,
154754,65,rope,higot,,,77,
124187,66,"to tie up, fasten",baluón,,,,
154755,66,"to tie up, fasten",hugpungon,,,,
154756,66,"to tie up, fasten",bugkuson,,,111,
154757,66,"to tie up, fasten",higtan,,,,
124188,67,"to sew",tahión,,,1,
124189,68,needle,dagum,,,1,
124190,69,"to hunt",mangluthang,,,,
154759,69,"to hunt",mangita,,,80,
124191,70,"to shoot",sumiwíl,,,,
154758,70,"to shoot",mangluthang,,,,
124192,71,"to stab, pierce",bumuhó,,,,
154760,71,"to stab, pierce",mabuno,,,26,
124193,72,"to hit",hinaplit,,,,
154761,72,"to hit",maigo,,,,
124194,73,"to steal",mangawat,,,24,
124195,74,"to kill",patyon,,,2,
124196,75,"to die, be dead",patay,,,"1,35",
124197,76,"to live, be alive",mangabuhì,,,"14,74",
124198,77,"to scratch",kaluton,,,"37,78",
124199,78,"to cut, hack",hiwaon,,,43,
154762,78,"to cut, hack",mahiwa,,,43,
154763,78,"to cut, hack",labo,,,,
124200,79,stick/wood,tapi,,,,
154764,79,stick/wood,lipak,stick,,,
154765,79,stick/wood,kahoy,wood,,1,
154766,79,stick/wood,tapi,"wood plank",,,
124201,80,"to split",himulagón,,,,
154767,80,"to split",bulagon,,,,
124202,81,sharp,mataliwis,,,89,
124203,82,"dull, blunt",malubóg,,,,
154768,82,"dull, blunt",madupol,dull,,3,
154769,82,"dull, blunt",mahabol,blunt,,68,
