id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
494,"S.W. Palawano","Bill Davis",plv,sout2916,"(Author is translator with New Tribes Mission, working among SWP since 1982)I will use our orthography, since it is a simple sound system. We do not write the final glottal but I will use an apostrophe for that and for intervocalic glottal; voiceless stops are unaspirated; <ng> represents the velar nasal phoneme; <l> is high-tongued; <r> is flapped; stress is penultimate unless I say \"final\" in the author annotation column; there are 4 vowel phonemes (i: high front, a: low central; a slightly rounded mid vowel further back than a schwa but not quite \"open o\" of 'caught.' for which we use the letter <e>; and a high back rounded.  We use both <o> and <u> in the orthography as a bridge to reading Tagalog... there is non-phonemic range of sound which corresponds somewhat to the rules of the orthography (last vowel of word: write as <o>, double is <oo>, otherwise, <u>.",,"Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Palawanic","Bill Davis",,"@misc{Davis-494-2007,  author = \"Bill Davis\",  date = \"2007\",  howpublished = \"personal communication\"}"
latitude,longitude
8.55386179999999995971,117.33673090000000627242
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
130663,1,hand,elima,(final),,1,
130664,2,left,gibang,,,24,
130665,3,right,kewanan,,,"1,62",
130666,4,leg/foot,tiked,(final),,108,
131204,5,"to walk",panew,"root; with -um-",,2,
131205,5,"to walk",manew,irrealis,,,
130668,6,road/path,dalan,(final),,1,
131206,7,"to come",ato',"literally \"here/come here\"",,,
131207,7,"to come",mato',irrealis,,,
130873,8,"to turn",isi',"(final); literally \"to take\"",,,
130874,8,"to turn","misi' et gibang","\"turn left\" (irrealis)",,,
130875,8,"to turn","misi' et kewanan","\"turn right\" (irrealis)",,,
130876,8,"to turn","misi' et debdeb","\"go straight\" (chest) (irrealis)",,,
130877,9,"to swim",langoy,,,1,
130878,9,"to swim",lumangoy,,,1,
130879,9,"to swim",meglangoy,,,1,
130672,10,dirty,meridi',,,,
130673,11,dust,elikabok,,,"1,48",
130674,12,skin,kulit,,,1,
130675,13,back,likod,(final),,1,
130880,14,belly,berebewang,"(final) is lower abdomen",,,
130881,14,belly,beteng,"stomach (internal) and upper belly (outer)",,49,
130677,15,bone,tulang,,,1,
130882,16,intestines,tine'i,"small intestine",,1,
130883,16,intestines,bituka,"large intestine",,21,
130679,17,liver,atey,,,1,
130680,18,breast,dudo',,,15,
130681,19,shoulder,ebaga,,,1,
131208,20,"to know, be knowledgeable",seod,"(final) (no glottal between); as verb \"to learn\"",,,
130885,20,"to know, be knowledgeable",keseudan,"tenseless \"know\" (final) with genitive agent",,,
131209,20,"to know, be knowledgeable",meseudan,(final),,,
130894,21,"to think",pikir,,,22,
130895,21,"to think",memikir,(irrealis),,22,
130896,22,"to fear",takot,,,1,
130897,22,"to fear",tumakot,(irrealis),,1,
130685,23,blood,dugo',(final),,16,
130686,24,head,ulo,,,1,
130687,25,neck,lieg,"(final) (no glottal)",,1,
130688,26,hair,buek,"(final) (no glottal between in most subdialects)",,"1,65",
130689,27,nose,edong,,,1,
130898,28,"to breathe",ginawa,,,"1,70",
130899,28,"to breathe",megginawa,(irrealis),,"1,70",
130900,29,"to sniff, smell",arek,,,1,
130901,29,"to sniff, smell",marek,(irrealis),,1,
130902,29,"to sniff, smell",erkan,(final),,1,
130903,30,mouth,munong,lips,,,
130904,30,mouth,baba',"mouth opening",,1,
130905,31,tooth,nipen,tooth,,1,
130906,31,tooth,bigang,molar,,,
130907,31,tooth,tango,"eye tooth",,,
130694,32,tongue,dila',,,4,
131210,33,"to laugh",kesit,"(most basic of many words)",,,
131211,33,"to laugh",kumsit,(irrealis),,,
130908,34,"to cry",siak,"(final) (no glottal)",,,
130909,34,"to cry",sumiak,(final),,,
130910,35,"to vomit",suka,,,9,
130911,35,"to vomit",sumuka,,,9,
130912,35,"to vomit",kesuda,,,,
130913,36,"to spit",ibeg,,,47,
130914,36,"to spit",mibeg,(final),,47,
130916,37,"to eat",kumaan,"(final) = eat something",,1,
130915,37,"to eat",kaan,(final),,1,
130917,37,"to eat",mengaan,"(final) = eat meal",,1,
130918,38,"to chew",sepa',,,17,
130919,38,"to chew",megsepa',(irrealis),,17,
130920,39,"to cook",iluto',,,20,
130921,39,"to cook",meg'iluto',(irrealis),,20,
130922,40,"to drink",inom,,,1,
130923,40,"to drink",minom,(final),,1,
130924,41,"to bite",kagat,,,1,
130925,41,"to bite",kumagat,(irrealis),,1,
130926,42,"to suck",sepsep,,,1,
130927,42,"to suck",megsepsep,(final),,1,
130705,43,ear,telinga,(final),,1,
130928,44,"to hear",kingeg,,,"1,65",
130929,44,"to hear",kumingeg,(final),,"1,65",
130930,44,"to hear",pekingeg,(final),,"1,65",
130707,45,eye,mata,(final),,1,
131213,46,"to see",mebiri',(irrealis),,,
130932,46,"to see",mebiri',"look at (intentional)",,,
131212,46,"to see",biri',,,,
130933,47,"to yawn",wab,,,19,
130934,47,"to yawn",megwab,(irrealis),,19,
130935,48,"to sleep",iga',,,99,
130936,48,"to sleep",miga',(final),,99,
130937,49,"to lie down",buntol,,,,
130938,49,"to lie down",pebuntol,(final),,,
130939,50,"to dream",teginep,,,30,
130940,50,"to dream",meneginep,(final),,30,
130941,51,"to sit",adong,,,47,
131215,51,"to sit",peadong,(irrealis),,47,
131214,51,"to sit",madong,(irrealis),,47,
130943,52,"to stand",teyeg,,,,
130944,52,"to stand",tumyeg,(final),,,
130715,53,"person/human being",taaw,(final),,1,
130716,54,man/male,lelaki,,,"2,99",
130717,55,woman/female,libon,,,17,
130718,56,child,memulek,(final),,,
130945,57,husband,esawa,,,2,
130946,57,husband,"esawa na' lelaki","(to be specific)",,2,
130947,58,wife,esawa,,,1,
130948,58,wife,"esawa na' libon","(to be specific)",,1,
130721,59,mother,indo',(final),,16,
130722,60,father,ama',(final),,1,
130723,61,house,benwa,,,,
130949,62,thatch/roof,sapew,"(final) = roof,",,15,
130950,62,thatch/roof,pawed,thatch,,15,
130951,62,thatch/roof,pinawed,thatch,,15,
130725,63,name,ngaran,,,1,
130952,64,"to say",beres,,,,
130953,64,"to say",meres,(irrealis),,,
130954,65,rope,tali,rope,,1,
130955,65,rope,siget,"s/t to tie with",,77,
130956,66,"to tie up, fasten",siget,,,,
130957,66,"to tie up, fasten",sumiget,(irrealis),,,
130958,66,"to tie up, fasten",sigtan,"Dir. Focus.",,,
130959,67,"to sew",tehi',,,1,
130960,67,"to sew",tumehi',(irrealis),,1,
130730,68,needle,dagom,,,1,
130961,69,"to hunt",subok,"(most generic of many terms)",,,
130962,69,"to hunt",menubok,(final),,,
130963,70,"to shoot",pana',,,1,
130964,70,"to shoot",megpana',"(but we don't have arrows… this would be a small spear gun for crayfish), (irrealis)",,1,
130965,71,"to stab, pierce",seksak,,,68,
130966,71,"to stab, pierce",sumeksak,(final),,68,
130967,72,"to hit",lipak,,,,
130968,72,"to hit",lumipak,(final),,,
130969,72,"to hit",meglipak,(final),,,
130970,73,"to steal",takew,,,1,
130972,73,"to steal",menakew,(irrealis),,1,
130973,73,"to steal",laog,"(to rob face-to-face)",,,
130975,74,"to kill",imatey,,,2,
130976,74,"to kill",mengimatey,"(with no object=suicide)",,2,
130974,74,"to kill",mimatey,mimatey,,2,
130977,75,"to die, be dead",patey,,,"1,35",
130978,75,"to die, be dead",matey,mimatey,,1,
130979,76,"to live, be alive",biag,(final),,15,
130980,76,"to live, be alive",megbiag,,,15,
130981,77,"to scratch",kutkot,,,21,
130982,77,"to scratch",kumutkot,(final),,21,
130983,77,"to scratch",mengutkot,(final),,21,
131216,78,"to cut, hack",tigbas,"= chop with machete or ax",,106,
131217,78,"to cut, hack",tumigbas,(final),,,
130741,79,stick/wood,kayo,,,1,
130985,80,"to split",randang,"if long",,,
130984,80,"to split",bela',"(split solid object)",,,
130986,80,"to split",megbela',"(rare), (irrealis)",,,
130987,80,"to split",ridis,"spilt a second time",,,
130743,81,sharp,metarem,,,1,
130744,82,"dull, blunt",megaddel,,,"40,27",
130988,83,"to work",keradya,"(most generic for \"work\")",,,
130989,83,"to work",megkeradya,(irrealis),,,
130990,84,"to plant",luak,,,26,
130991,84,"to plant",lumuak,"(final, plant item)",,26,
130992,84,"to plant",mengluak,"(final, plant many things)",,26,
130993,84,"to plant",sasad,"plant rice (final)",,,
130994,85,"to choose",pili',,,1,
130995,85,"to choose",memili',(irrealis),,1,
130996,86,"to grow",dekla',,,,
130997,86,"to grow",dumekla',(final),,,
130998,87,"to swell",baga',,,1,
130999,87,"to swell",maga',(irrealis),,1,
131219,88,"to squeeze",megpega,"(irrealis, rare in AF)",,"1,37",
131218,88,"to squeeze",pega,,,"1,37",
131000,89,"to hold",kepet,,,25,
131001,89,"to hold",kumpet,(final),,25,
131002,90,"to dig",kali,,,1,
131003,90,"to dig",megkali,(irrealis),,1,
131004,91,"to buy",elen,,,,
131005,91,"to buy",melen,(final),,,
131221,92,"to open, uncover",tumukas,"= open lid (final)",,,
131220,92,"to open, uncover",tukas,,,,
131006,93,"to pound, beat",lebek,,,14,
131007,93,"to pound, beat",menglebek,(final),,14,
131008,94,"to throw",bakal,,,97,
131223,94,"to throw",megbakal,(final),,97,
131222,94,"to throw",megbakal,(final),,97,
131010,95,"to fall",degdag,,,56,
131011,95,"to fall",dumegdag,"(final, 2-place intransitive)",,56,
131012,95,"to fall",medegdag,"(final, 1-place intransitive)",,56,
130758,96,dog,ideng,(final),,,
130759,97,bird,begit,,,,
130760,98,egg,tilog,,,"1,76",
130761,99,feather,bulbol,"(also = fur, body hair)",,"1,68",
130762,100,wing,elad,(final),,23,
131224,101,"to fly",lepad,,,21,
131225,101,"to fly",lumpad,(final),,21,
130764,102,rat,belab,"(final) …generic",,,
130765,103,meat/flesh,uned,(final),,27,
130766,104,fat/grease,taba',(final),,23,
130767,105,tail,ipos,,,30,
130768,106,snake,seli,,,,
130769,107,"worm (earthworm)",lungati,,,"1,75",
130770,108,louse,kuto,,,1,
131013,109,mosquito,kuramot,,,,
131014,109,mosquito,tegnek,"other type (final)",,27,
130772,110,spider,kelelawa',(final),,1,
130773,111,fish,seda',,,18,
131015,112,rotten,burok,(final),,"1,102",
131016,112,rotten,meburok,(final),,"1,102",
130775,113,branch,sanga,,,2,
130776,114,leaf,deon,"(final) no glottal in most subdialects",,1,
130777,115,root,gamot,,,3,
130778,116,flower,burak-burak,(final),,22,
130779,117,fruit,bua',"(final) no glottal in most subdialects",,1,
130780,118,grass,kenit-kenit,"lawn-type grass in general",,,
130781,119,earth/soil,lugta',,,"25,83",
130782,120,stone,bato,,,1,
130783,121,sand,egis,,,,
130784,122,water,danom,,,1,
131017,123,"to flow",burbor,,,,
131018,123,"to flow",murbor,(irrealis),,,
131019,124,sea,dagat,"(at the beach, the sea is \"dagat\")",,25,
131020,124,sea,lawed,"(while inland the sea and seashore are \"lawed\")",,6,
130787,125,salt,asin,(final),,3,
130788,126,lake,-,"they have no lakes; \"Sea of Galilee\" has been called dagat-dagatan\" but this is contrived",,,
131021,127,woods/forest,talon,,,30,
131022,127,woods/forest,geba',"virgin forest",,104,
131023,127,woods/forest,bengley,"second growth",,,
131024,128,sky,langit,,,1,
131025,128,sky,lengew-legnew,(final),,,
130791,129,moon,bulan,(final),,1,
