id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
495,"Bundu Dusun (Central Dusun)","fieldwork in Ranau, Sabah, Malaysia",dtp,cent2100,"there might be variation in other places",,"Austronesian, Malayo-Polynesian, North Borneo, Sabahan, Dusunic, Dusun, Central","Veronica Atin",,"@misc{Atin-495-2007,  author = \"Veronica Atin\",  date = \"2007\",  howpublished = \"personal communication\"}"
latitude,longitude
6.02998000000000011767,116.68089000000000510227
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
131265,1,hand,longon,,,37,
131266,2,left,gibang,,,24,
131267,3,right,wanan,,,1,
131268,4,leg/foot,gakod,,,,
131269,5,"to walk",panau,,,2,
131270,6,road/path,dalan,,,1,
131271,7,"to come",rikot,,,,
131272,8,"to turn",kilong,,,,
131273,9,"to swim",kaau,,,,
131274,10,dirty,romos,,,,
131470,11,dust,abuk,,,1,
131471,11,dust,lisohu,,,,
131276,12,skin,kulit,,,1,
131277,13,back,likud,,,1,
131278,14,belly,tian,,,1,
172575,14,belly,tiyan,,,1,
131279,15,bone,tulang,,,1,
131280,16,intestines,tinaiʔ,,,,
131281,17,liver,lusou,,,,
131282,18,breast,susu,,,1,
131283,19,shoulder,lihao,,,,
131472,20,"to know, be knowledgeable",ilo,,,,
131473,20,"to know, be knowledgeable",koilo,,,,
131285,21,"to think",sorou,,,,
131286,22,"to fear",oris,,,,
251521,22,"to fear",rosi,,,,
131287,23,blood,rahaʔ,,,1,
131288,24,head,tulu,,,,
131289,25,neck,liou,,,,
131290,26,hair,tobuk,,,,
131291,27,nose,todung,,,,
131292,28,"to breathe",puhobo,,,,
131293,29,"to sniff, smell",singud,,,,
131294,30,mouth,kabang,,,,
131295,31,tooth,nipon,,,1,
172574,31,tooth,nipen,,,1,
131296,32,tongue,dilaʔ,,,4,
131297,33,"to laugh",irak,,,,
131298,34,"to cry",ihad,,,,
131299,35,"to vomit",ilob,,,,
131300,36,"to spit",dulaʔ,,,,
131301,37,"to eat",akan,,,1,
131302,38,"to chew",sapaʔ,,,,
131303,39,"to cook",onsok,,,,
172573,39,"to cook",ansak,,,,
131304,40,"to drink",inum,,,1,
131305,41,"to bite",kokot,,,,
131306,42,"to suck",siop,,,,
131307,43,ear,tolingo,,,1,
131308,44,"to hear",rongou,,,,
131309,45,eye,mato,,,1,
131310,46,"to see",kito,,,1,
131311,47,"to yawn",uab,,,19,
131312,48,"to sleep",odop,,,,
131313,49,"to lie down",latan,,,,
131314,50,"to dream",ipi,,,1,
131315,51,"to sit",irikau,,,,
131316,52,"to stand",ingkakat,,,,
131317,53,"person/human being",tulun,,,,
131318,54,man/male,kusai,,,,
131319,55,woman/female,tondu,,,,
131320,56,child,tanak,,,1,
131321,57,husband,sao,,,,
172572,57,husband,asawo,,,,
131322,58,wife,sao,,,,
165203,58,wife,sawo,,,,
172571,58,wife,asawo,,,,
131323,59,mother,tina,,,1,
172570,59,mother,ina,,,1,
131324,60,father,tama,,,1,
172569,60,father,ama,,,1,
131325,61,house,walai,,,14,
131326,62,thatch/roof,taap,,,1?,
131327,63,name,ngaran,,,1,
131328,64,"to say",boros,,,,
131329,65,rope,tali,,,1,
131474,66,"to tie up, fasten",wongkos,,,,
131475,66,"to tie up, fasten",kagos,,,,
131331,67,"to sew",tombir,,,,
131332,68,needle,dalat,,,,
131333,69,"to hunt",asu,,,,
131334,71,"to stab, pierce",tokon,,,,
131335,72,"to hit",bobog,,,,
131336,73,"to steal",panakau,,,,
131337,74,"to kill",patai,,,,
131338,75,"to die, be dead",patai,,,1,
131339,76,"to live, be alive",pasi,,,,
131340,77,"to scratch",kukut,,,21,
131341,78,"to cut, hack",tagad,,,,
131342,79,stick/wood,kayu,,,1,
131343,80,"to split",lapak,,,,
131344,81,sharp,tarom,,,,
131345,82,"dull, blunt",opodih,,,,
131346,83,"to work",morobuat,,,,
131347,84,"to plant",tanom,,,2,
131348,85,"to choose",piliʔ,,,1,
131349,86,"to grow",gumayo,,,,
131350,87,"to swell",lumonit,,,,
131351,88,"to squeeze",pagaʔ,,,,
131352,89,"to hold",igit,,,,
131353,90,"to dig",ukad,,,,
131354,91,"to buy",boli,,,1,
131355,92,"to open, uncover",ukab,,,28,
131356,93,"to pound, beat",tutu,,,20,
131357,94,"to throw",taam,,,,
131476,95,"to fall",ratu',,,,
131477,95,"to fall",loho,,,,
131359,96,dog,tasu,,,1,
131360,97,bird,tombolog,,,,
131361,98,egg,tontoluʔ,,,,
131362,99,feather,talad,,,,
131363,100,wing,palapaʔ,,,,
131364,101,"to fly",tulud,,,20,
131365,102,rat,tikus,,,22,
131366,103,meat/flesh,daging,,,26,
131478,104,fat/grease,lunok,,,,
131479,104,fat/grease,tumau,,,,
131368,105,tail,tikiu,,,1,
131369,106,snake,tulanut,,,,
131370,107,"worm (earthworm)",tonggiluang,,,,
131371,108,louse,kutu,,,1,
131372,109,mosquito,nondui,,,,
131373,110,spider,korut,,,,
131374,111,fish,sadaʔ,,,,
131375,112,rotten,momos,,,,
165226,113,branch,rahan,,,,
131376,114,leaf,roun,,,1,
131377,115,root,gamut,,,3,
131378,116,flower,bungaʔ,,,,
131379,117,fruit,tuaʔ,,,,
131380,118,grass,sakot,,,23,
131381,119,earth/soil,tanaʔ,,,1,
131382,120,stone,watu,,,1,
164948,121,sand,togis,,,,
131383,122,water,waig,,,,
131384,123,"to flow",luyung,,,,
131385,124,sea,rahat,,,,
131386,125,salt,silaon,,,,
165231,125,salt,tusi,,,,
131387,126,lake,botung,,,,
131388,127,woods/forest,gouton,,,,
131389,128,sky,taan,,,,
131390,129,moon,tulan,,,,
131391,130,star,rombituon,,,,
131392,131,cloud,houn,,,,
131393,132,fog,houn,,,,
131394,133,rain,rasam,,,,
131395,134,thunder,tinggoron,,,,
131396,135,lightning,kodumaat,,,,
131397,136,wind,ribut,,,24,
131480,137,"to blow",soogiʔ,,,,
131481,137,"to blow",obus,,,30,
131399,138,warm,alasuʔ,,,,
