id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
502,Nanggu,"Tryon & Hackman (1983)",ngr,nang1262,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Temotu, Reefs-Santa Cruz","Robert Ross",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-10.71458999999999939234,165.92651000000000749424
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
132365,1,hand,nümü,=arm,,"1,66",
132366,2,left,kanumœ,,,41,
132367,4,leg/foot,ne,,,,
132368,5,"to walk",wœ,,,71,
132369,6,road/path,lœpœki,,,31,
132370,7,"to come",vam,,,26,
132371,8,"to turn",alaœ,,,,
132372,9,"to swim",yo,,,,
132373,10,dirty,onoŋgo,,,,
132374,11,dust,okiu,,,,
132375,12,skin,mbe,,,47?,
132532,13,back,nimbœ,,,9,
132533,13,back,nɔtwɔmbœ,,,,
132377,14,belly,tupolɔ?tapɒ,,,,
132378,15,bone,andu,,,,
132379,16,intestines,mbeloti,guts,,,
132380,17,liver,ɔkiɛnde,,,,
132381,18,breast,"nətʰi nœye",,,32,
132382,20,"to know, be knowledgeable",ikyɒu,,,18?,
132383,21,"to think",awœ,,,47,
132384,22,"to fear",ikola[u],,,,
132385,23,blood,mœpiœ,,,27,
132386,24,head,naɔ,,,15,
132387,25,neck,nuo,,,18,
132388,26,hair,mœplü,"hair of body - no entry for hair of head",,31,
132389,27,nose,ndɔtu,,,37,
132390,28,"to breathe",niau,,,1,
132391,29,"to sniff, smell",wœtü,,,,
132392,30,mouth,nambʷa,,,41,
132393,31,tooth,nũŋũ,,,1,
132394,32,tongue,nalambmʷə,,,24,
132395,33,"to laugh",iopʷai,,,,
132396,34,"to cry",yœni,,,1,
132397,35,"to vomit",noŋumbao,,,16,
132398,36,"to spit",œmbila,,,21,
132534,37,"to eat",ŋa,,,"1,12",
132535,37,"to eat",mʷæ,,,8,
132400,40,"to drink",ŋgə,,,,
132401,41,"to bite",mʷakæ,,,35,
132402,42,"to suck",yombu,,,26,
132403,43,ear,lɔdɔtɔ,,,21?,
132404,44,"to hear",wəlɛ,,,,
132536,45,eye,mnɒ,,,1,
