id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
505,"Lwepe, Santa Cruz","Tryon & Hackman (1983)",ntu,natu1246,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Temotu, Reefs-Santa Cruz","Robert Ross",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-10.68490000000000073044,165.73425000000000295586
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
133048,1,hand,mü,arm,,"1, 78",
133049,2,left,kæœmolœŋœ,,,40,
133050,3,right,kæœtɒ,,,"5,16",
133051,4,leg/foot,nañɒ̃,,,35,
133052,5,"to walk",vʌŋale,,,41,
133053,6,road/path,lœpʌki,,,31,
133054,7,"to come",vʌmo,,,26,
133055,8,"to turn",ayʌlu,,,36,
133238,9,"to swim",wœ,,,25,
133239,9,"to swim",ka,,,5,
133057,12,skin,"mbe ndœtü",,,47,
133058,13,back,nimbœ,,,9,
133059,14,belly,nelʌ,,,33,
133060,15,bone,nœvœ,,,24,
133061,16,intestines,mbilumbœ,guts,,27,
133062,17,liver,tʌpœ,,,19,
133063,18,breast,neyœ,,,32,
133064,20,"to know, be knowledgeable",klʌ,,,18,
133065,21,"to think",mu,,,41,
133066,23,blood,mepiœ,,,27,
133067,24,head,naœ,,,15,
133068,25,neck,ndœtuœ,,,24,
133069,26,hair,nœplœ,"hair of body",,31,
133070,27,nose,notü,,,37,
133071,28,"to breathe",yɒmini,,,38,
133072,30,mouth,nao,,,36,
133073,31,tooth,nüŋi,,,1,
133074,32,tongue,nalʌpü,,,24,
133075,33,"to laugh",yœpale,,,36,
133076,34,"to cry",yœni,,,1,
133077,35,"to vomit",ŋümba,,,16,
133078,36,"to spit",mbia,,,21,
133079,37,"to eat",mu,,,8,
133080,41,"to bite",makæ,,,35,
133081,42,"to suck",yü,,,,
133082,43,ear,nandœtü,,,21,
133083,44,"to hear",ælœ,,,32,
133084,45,eye,mʌ,,,1,
133244,46,"to see",molæ,,,31,
133245,46,"to see",mo,,,32,
133086,51,"to sit",wæmbu,,,82,
133087,52,"to stand",tulʌ,,,"2,40",
133266,53,"person/human being",nɒmblo,,,34,
133267,53,"person/human being",leplʌ,,,36,
133089,54,man/male,nɒmblo,,,42,
133090,55,woman/female,olvʌ,,,36,
133091,56,child,itoto,,,33,
133092,59,mother,læe,,,26,
133093,60,father,tœte,,,15,
133094,61,house,ma,,,1?,
133095,62,thatch/roof,lo,,,33,
133096,63,name,ndœtü,,,22,
133097,64,"to say",pi,,,39,
133098,65,rope,nivi,,,44,
133099,66,"to tie up, fasten",œpe,,,,
133100,67,"to sew",œlvæsilvʌ,,,11,
133101,69,"to hunt",tambɒ,,,35,
133258,72,"to hit",ta,,,52,
133259,72,"to hit",tambœ,,,53,
133103,73,"to steal",plã,,,"1,58",
133104,75,"to die, be dead",mbʌ,,,19,
133276,76,"to live, be alive",lu,,,34,
133277,76,"to live, be alive",nʌluŋœ,,,35,
133106,77,"to scratch",kalivæ,,,12,
