id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
506,"Tetun (Dili)","Katrina Langford, Catharina Williams-van Klinken",tdt,tetu1246,,,"Creole, Tetun based","Katrina Langford, Catharina Williams-van Klinken",,"@misc{Langford-506-2008,  author = \"Katrina Langford, Catharina Williams-van Klinken\",  date = \"2008\",  howpublished = \"personal communication\"}"
latitude,longitude
-8.58102000000000053603,125.60669000000000039563
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
248820,1,hand,liman,,,1,
248821,2,left,"karuk (liman karuk)",,,,
248822,3,right,"loos (liman loos)",,,,
248823,4,leg/foot,ain,,,1,
248824,5,"to walk",lao,,,1,
249076,6,road/path,dalan,,,,
249077,6,road/path,luroon,road,,,
249078,6,road/path,estrada,"Portuguese: estrada (street)",L,,
248826,7,"to come",mai,,,1,
248827,8,"to turn",fila,,,4?,
248828,9,"to swim",nani,,,1,
248829,10,dirty,foer,,,,
249079,11,dust,"rai rahun",,,,
249080,11,dust,"rai uut","Less common term",,,
248831,12,skin,kulit,,,,
248832,13,back,kotuk,,,,
248833,14,belly,kabun,,,,
248834,15,bone,ruin,,,,
248835,16,intestines,teen,,,,
248836,17,liver,aten,,,,
248837,18,breast,susun,,,,
248838,19,shoulder,kabaas,,,,
249075,20,"to know, be knowledgeable",matenek,"knowledgable, clever",,,
249074,20,"to know, be knowledgeable",hatene,,,35,
248840,21,"to think",hanoin,,,5,
248841,22,"to fear",tauk,,,1,
248842,23,blood,raan,,,1,
248843,24,head,ulun,,,1,
248844,25,neck,kakorok,"neck, throat",,,
248845,26,hair,fuuk,,,1,
248846,27,nose,inus,,,,
248847,28,"to breathe","dada iis","iis = breath; dada = pull in",,,
248848,29,"to sniff, smell",horon,,,,
248849,30,mouth,ibun,,,,
248850,31,tooth,nehan,"Variant: nihan",,1?,
248851,32,tongue,nanaal,,,,
248852,33,"to laugh",hamnasa,,,,
248853,34,"to cry",tanis,,,1,
248854,35,"to vomit",muta,,,1,
248855,36,"to spit",tafui,,,,
248856,37,"to eat",haan,,,1,
249073,38,"to chew","mama (malus)","chew betel",,,
249072,38,"to chew",nata,,,1,
