id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
509,Luqa,"Mary Raymond",lga,lung1249,"Kubokota and Luqa are very closely related although there are some grammatical differences and, I feel, more lexical differences than this word list suggests (Kubokota has a lot of borrowings from Bilua, a neighbouring Papuan language).Orthography: q = voiced velar stop, v = voiced bilabial fricative, ng = velar nasal, ny = palatal nasal, g = voiced velar fricative, j = voiced palatal affricate. All voiced stops and affricates are prenasalized.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, New Georgia, West","Mary Raymond",,"@misc{Raymond-509-2008,  author = \"Mary Raymond\",  date = \"2008\",  howpublished = \"personal communication\"}"
latitude,longitude
-8.17469000000000001194,156.57264000000000692125
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
134620,1,hand,lima,,,1,
134621,2,left,meri,,,"1,59",
134622,3,right,matua,,,"5, 37",
134623,4,leg/foot,nene,,,19,
134624,5,"to walk",rerege,,,66,
134625,6,road/path,soana,,,35,
134899,7,"to come",lame,,,"1,85",
134900,7,"to come",mei,"come to speaker",,1,
134627,8,"to turn",keqo,,,,
134895,9,"to swim",ponyu,,,53,
134896,9,"to swim",ogono,wash,,54,
134629,10,dirty,paji,,,70,
134630,11,dust,opopu,,,,
134631,12,skin,vuliti,,,1,
134632,13,back,pokoto,,,58,
134633,14,belly,iapa,,,65,
134634,15,bone,pupuda,,,8,
134635,16,intestines,bori,,,40,
134636,17,liver,kola,,,8,
134637,18,breast,susu,,,1,
134638,19,shoulder,vara,,,1,
134639,20,"to know, be knowledgeable",gigilai,,,18,
134640,21,"to think",roroqu,,,50,
134641,22,"to fear",matagutu,,,1,
134642,23,blood,orungu,,,30,
134643,24,head,batu,,,9,
134644,25,neck,rua,,,18,
134645,26,hair,vurungu,,,43,
134646,27,nose,isu,,,1,
134647,28,"to breathe",vasaenga,,,84,
134648,29,"to sniff, smell",umanga,,,15,
134649,30,mouth,manga,,,13,
134650,31,tooth,livo,,,"1,35",
134651,32,tongue,mea,,,7,
134652,33,"to laugh",avu,,,61,
134653,34,"to cry",lukana,,,43,
134654,35,"to vomit",lua,,,8,
134655,36,"to spit",tue,,,64,
134656,37,"to eat",gagani,,,1,
134870,38,"to chew",nyapulu,a,,31,
134871,38,"to chew",piala,b,,32,
134868,39,"to cook",vavatunu,a,,9,
134869,39,"to cook",rararo,b,,56,
134659,40,"to drink",buku,,,31,
134660,41,"to bite",garata,,,1,
134661,42,"to suck",nyonyopo,,,"1, 22",
134662,43,ear,talingi,,,1,
134663,44,"to hear",nongoro,,,"1, 37",
134664,45,eye,mata,,,1,
134843,46,"to see",bati,,,58,
134844,46,"to see",dogoro,,,57,
134666,47,"to yawn",mamava,,,19,
134667,48,"to sleep",puta,,,15,
134668,49,"to lie down",kole,,,42,
134669,50,"to dream",putagita,,,"34, 38",
134670,51,"to sit",toqo,,,77,
134671,52,"to stand",turu,,,"2,69",
134672,53,"person/human being",tinoni,,,10,
134673,54,man/male,marene,,,"1,69",
134674,55,woman/female,rereko,,,40,
134675,56,child,koburu,,,12,
134676,57,husband,marene-na,,,"26,53",
134677,58,wife,maqota-na,,,38,
134678,59,mother,tina,,,1,
134679,60,father,tama,,,1,
134680,61,house,ruma,,,1,
134681,62,thatch/roof,"isu ruma",,,42,
134682,63,name,isongo,,,26,
134845,64,"to say",pojai,,,,
134846,64,"to say",paranga,,,78,
134847,64,"to say",sau,,,,
134684,65,rope,gasoro,,,"2,53",
134685,66,"to tie up, fasten",piko,,,58,
134686,67,"to sew",pipiti,,,19,
134861,68,needle,nila,"from Pijin nila",L,16,
134862,68,needle,"na ila","from Pijin nila",L,16,
134886,69,"to hunt",iga,,,,
134887,69,"to hunt",ropa,"go to bush",,46,
134689,70,"to shoot",tupi,,,10,
134690,71,"to stab, pierce",qete,,,51,
134881,72,"to hit",guma,"punch with hand",,55,
134882,72,"to hit",iru,"hit with instrument",,,
134883,72,"to hit",maja,hit,,56,
134692,73,"to steal",iko,,,13,
134693,74,"to kill",vaivamatea,"vai-va-mate-a = recip-caus-die-3sg.obj",,2,
134694,75,"to die, be dead",mate,,,1,
134695,76,"to live, be alive",toa,,,8,
134891,77,"to scratch",kikama,intr.,,47,
134892,77,"to scratch",garo,tr.,,1,
134856,78,"to cut, hack",sosoko,,,81,
134857,78,"to cut, hack",rio,,,80,
134698,79,stick/wood,gou,,,1,
134699,80,"to split",paqala,,,13,
134700,81,sharp,gani,eat,,14,
134701,82,"dull, blunt",ngaju,,,60,
134702,83,"to work",roiti,,,49,
134703,84,"to plant",uma,,,8,
134704,85,"to choose",vilea,,,"1,24",
134864,86,"to grow",pidoko,,,,
134865,86,"to grow",toa,,,4,
134706,87,"to swell",bongo,,,"24, 55",
134707,88,"to squeeze",monyo,,,23,
134708,89,"to hold",aru,,,59,
134709,90,"to dig",kori,,,,
134710,91,"to buy",vai,,,29,
134711,92,"to open, uncover",revanga,,,41,
134712,93,"to pound, beat",kijai,,,18,
134713,94,"to throw",gona,,,55,
134714,95,"to fall",vukele,,,"62,116",
134715,96,dog,sie,,,52,
134716,97,bird,manugu,,,1,
134717,98,egg,toruru,,,1,
134718,99,feather,"vurungu manugu",,,43,
134719,100,wing,babana,,,42,
134720,101,"to fly",tatava,,,48,
134721,102,rat,ilo,,,53,
134722,103,meat/flesh,masa,,,43,
134901,104,fat/grease,jongai,,,47,
134902,104,fat/grease,nyoboko,"to be fat",,66,
134724,105,tail,pikutu,,,37,
134725,106,snake,dole,,,16,
134726,107,"worm (earthworm)",uloso,,,,
134727,108,louse,lodo,a,,17,
134728,109,mosquito,iqala,,,65,
134841,110,spider,kolobai,,,42,
134842,110,spider,sidisado,,,,
134730,111,fish,igana,,,1,
134731,112,rotten,nyabo,,,37,
134732,113,branch,kae,,,24,
134733,114,leaf,equru,,,32,
134734,115,root,bagere,,,19,
134897,116,flower,havoro,"Roviana borrowing",L,15,
134898,116,flower,avoro,"Roviana borrowing",L,15,
134736,117,fruit,vua,,,1,
134737,118,grass,buburu,,,19,
134738,119,earth/soil,peso,,,16,
134739,120,stone,patu,,,1,
134740,121,sand,nagasa,,,54,
134741,122,water,pie,,,36,
134742,123,"to flow",nyoro,,,49,
134743,124,sea,ivere,,,14,
134744,125,salt,kavi,,,11,
134858,126,lake,kopi,,,27,
134859,126,lake,lolu,,,27,
134834,127,woods/forest,mumuqu,"forested area",,51,
134835,127,woods/forest,soloso,"deep bush",,54,
134747,128,sky,"qaqale eqa",,,42,
134748,129,moon,popu,,,35,
134749,130,star,seru,,,38,
134750,131,cloud,lei,,,56,
134751,132,fog,gavu,,,"1, 55",
134752,133,rain,okoro,,,33,
134753,134,thunder,paka,,,65,
134754,135,lightning,kapi,,,13,
134755,136,wind,gava,,,51,
134836,137,"to blow",gava,a,,,
134837,137,"to blow",ivu,b,,5,
134757,138,warm,mangini,,,16,
134758,139,cold,lomoso,,,59,
134759,140,dry,pidili,,,65,
134760,141,wet,tubulu,,,53,
134761,142,heavy,mamata,,,"46,35",
134762,143,fire,iku,,,28,
134763,144,"to burn",vurungu,"can be transitive or intransitive",,48,
134764,145,smoke,tula,,,52,
134765,146,ash,kavuru,,,25,
134766,147,black,kukude,,,48,
134888,148,white,keka,,,53,
134889,148,white,keala,,,52,
134768,149,red,jimiri,,,49,
134769,150,yellow,boe,,,51,
134770,151,green,bu,,,19,
134771,152,small,ikete,,,52,
134772,153,big,lavata,,,10,
134773,154,short,papaka,,,50,
134774,155,long,kakasa,,,61,
134775,156,thin,liqiri,,,28,
134776,157,thick,mota,,,15,
134777,158,narrow,ngijupu,,,38,
134778,159,wide,revata,,,10,
134866,160,"painful, sick",vitigi,,,95,
134867,160,"painful, sick",mo,,,17,
134780,161,"shy, ashamed",kea,,,37,
134852,162,old,baragoso,man,,60,
134853,162,old,qo,,,,
134854,162,old,qoele,woman,,68,
134855,162,old,leluna,old,,73,
134782,163,new,korega,,,32,
134860,164,good,jonga(na),,,74,
134784,165,"bad, evil",ikere,,,48,
134785,166,"correct, true",sosoto,,,50,
134786,167,night,bongi,,,1,
134787,168,day,rane,,,6,
134788,169,year,aoro,,,47,
134789,170,when?,"pa visa",,,35,
134874,171,"to hide",ovo,intr,,27,
134875,171,"to hide",golomo,tr,,21,
134878,172,"to climb",kesa,a,,24,
134879,172,"to climb",sagere,b,,2,
134880,172,"to climb",paja,b,,25,
134792,173,at,pa,,,8,
134793,174,"in, inside",leo,,,28,
134872,175,above,are,,,23,
134873,175,above,nulu,,,29,
134795,176,below,kauru,,,13,
134850,177,this,api,"prox. sg",,,
134851,177,this,pira,"prox. pl",,18,
134838,178,that,poni,"med. sg",,17,
134839,178,that,poro,"med. pl",,,
134840,178,that,"pa poni","dist. sg",,17,
134798,179,near,tata,,,9,
134799,180,far,sou,,,1,
134884,181,where?,ai,,,37,
134885,181,where?,pai,,,3,
134801,182,I,ara,,,"1,24",
134802,183,thou,ao,,,1,
134803,184,he/she,isa,,,13,
134893,185,we,gita,,,1,
134894,185,we,agei,,,1,
134805,186,you,agou,,,"1,25",
134806,187,they,ira,,,"1, 70",
134830,188,what?,(na),"na = definite article",,1,
134831,188,what?,sa,,,1,
134808,189,who?,"i sei","i = personal article",,1,
134809,190,other,kaki,,,21,
134810,191,all,doru,,,47,
134876,192,and,beto,,,"24,36",
134877,192,and,betoko,,,"24,36",
134812,193,if,vei,,,30,
134813,194,how?,"ai vei",,,47,
134832,195,"no, not",dai,,,59,
134833,195,"no, not",=ke,"in clausal negation the clitic =ke attaches to subject markers",,"19,85",
134815,196,"to count",anye,,,47,
134849,197,One,"kame (kai)","kai = modifier",,"31,50",
134817,198,Two,karu,,,1,
134818,199,Three,kue,,,11,
134819,200,Four,made,,,3,
134820,201,Five,lima,,,1,
134821,202,Six,vonomo,,,"1,55",
134822,203,Seven,vitu,,,1,
134823,204,Eight,vesu,,,15,
134824,205,Nine,sia,,,5,
134863,206,Ten,"manoga (puta)","puta 'sleep' is added to the decades but omitted when counting",,"18,25",
134826,207,Twenty,rabete,,,16,
134827,208,Fifty,limangavulu,,,1,
134890,209,"One Hundred","(kai) gogoto",,,10,
134848,210,"One Thousand","(kai) tina","kai = modifier",,20,
