id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
515,Kahua,"Tryon & Hackman (1983)",agw,kahu1241,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, San Cristobal","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-10.69633999999999929287,162.19058999999998604835
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
136622,1,hand,ruma-ku,"arm; irregular shift from *i > u",,1,
136623,2,left,maha,left,,57,
136624,3,right,oto,right,,42,
136625,4,leg/foot,œɣa-ku,"leg; irregular *q >ɣ",,1,
136626,5,"to walk",hatare,walk,,,
136627,5,"to walk",vato,"go down",,,
136628,5,"to walk",rɔ,go,,1,
136629,5,"to walk",hane,"go up; *panaik",,,
136630,6,road/path,tara,road,,1,
136631,7,"to come","ra me",come,,"1,87",
136632,8,"to turn",ahoro,turn,,37,
136633,9,"to swim",mamanu,bathe,,62,
136634,9,"to swim",arasi,swim,,63,
136635,10,dirty,bwēra,dirty,,79,
136636,11,dust,rahu,dust,,29,
136637,12,skin,ɣavo,skin,,35,
136638,13,back,muri-ku,back,,3,
136639,14,belly,oba-ku,"belly; irregular *bw > b, expect bw",,36,
136640,15,bone,suri-ku,bone,,52,
136641,16,intestines,aŋeana,guts,,59,
136642,17,liver,roko-na,liver,,25,
136643,18,breast,susu-ku,breast,,1,
136644,20,"to know, be knowledgeable",ɣirara,"know; irregular addition of reduplicated final syllable",,"18, 102",
136645,21,"to think",tako,think,,38,
136646,22,"to fear",maɣu,fear,,1,
136647,23,blood,ɣapu-ku,blood,,5,
136648,24,head,bwœ-ku,head,,9,
136649,25,neck,rio-ku,neck,,1,
136650,26,hair,huru-ku,"hair (body)",,31,
136651,27,nose,mbarisu-ku,"nose; irregular *bw > b",,"1,12",
136652,28,"to breathe",manavasɒ,breathe,,1,
136653,29,"to sniff, smell",siɣinia,smell,,12,
136654,30,mouth,hara-ku,mouth,,42,
136655,31,tooth,rivo-ku,tooth,,"1,35",
136656,32,tongue,mea-ku,tongue,,7,
136657,33,"to laugh",ru,laugh,,,
136658,34,"to cry",aŋi,cry,,1,
136659,35,"to vomit",momoa,"vomit; irregular *u > o",,1,
136660,36,"to spit",musu,spit,,"14, 82",
136661,37,"to eat",ŋœ,"eat; irregular *au > œ",,15,
136662,40,"to drink",tono,drink,,35,
136663,41,"to bite",ɣara,"bite; irregular *k > ɣ",,1,
136664,42,"to suck",nuɣu,suck,,29,
136665,43,ear,kariŋa-ku,ear,,"1, 24",
136666,44,"to hear",roŋo,hear,,1,
136667,45,eye,mā-ku,eye,,1,
136668,46,"to see",bɔsia,see,,63,
136669,48,"to sleep",mweru,sleep,,"1, 70",
136670,49,"to lie down",tɒ,"lie down",,51,
136671,51,"to sit",oɣa,sit,,80,
136672,52,"to stand",œra,stand,,40,
136673,53,"person/human being",enuni,"person; irregular *i > e and *o > u",,10,
136674,54,man/male,mane,man,,1,
136675,55,woman/female,ɣete,"woman; irregular *a >e",,12,
136676,56,child,kare-ku,child,,40,
136677,59,mother,kena-na,"mother; irregular *a > e",,31,
136678,59,mother,kate,mother,,,
136679,60,father,vaema-na,father,,"1, 21",
136680,60,father,mama,father,,"1, 10",
136681,61,house,ruma,house,,1,
136682,62,thatch/roof,ao,thatch,,1,
136683,63,name,āta-na,"name; irregular long vowel",,"1,18",
136684,64,"to say",visia,say,,71,
136685,65,rope,varo,rope,,2,
136686,66,"to tie up, fasten",raku,tie,,64,
136687,67,"to sew",tea,"sew; irregular *ai > e",,2,
136688,69,"to hunt",haɣavasi,hunt,,15,
136689,71,"to stab, pierce",rupu,stab,,59,
136690,72,"to hit",tahuru,"hit (stick)",,45,
136691,73,"to steal",hanaɣo,steal,,"1,58",
136692,74,"to kill",nahu,kill,,50,
136693,75,"to die, be dead",mae,die,,1,
136694,76,"to live, be alive",mœri,life,,"1, 76",
136695,76,"to live, be alive",mæri,alive,,"1, 76",
136696,77,"to scratch",ɣaro,scratch,,1,
136697,78,"to cut, hack",hara,"cut nut",,X,
136698,78,"to cut, hack",woro,"cut (wood)",,,
136699,78,"to cut, hack",rete,"cut (string)",,98,
136700,80,"to split",waɣaria,split,,32,
136701,81,sharp,māsi,sharp,,72,
136702,82,"dull, blunt",mamasusu,blunt,,56,
136703,83,"to work",taɣara,work,,53,
136704,87,"to swell",mamanu,swell,,,
136705,88,"to squeeze",rumuɣia,squeeze,,,
136706,89,"to hold",tœa,hold,,77,
136707,90,"to dig",opa,dig,,84,
136708,95,"to fall",wota,fall,,71,
136709,96,dog,ao,dog,,58,
136710,97,bird,manu,bird,,1,
136711,98,egg,oru-na,egg,,1,
136712,99,feather,varehu-na,feather,,45,
136713,100,wing,ɣaɣaha-na,wing,,"1,39",
136714,101,"to fly",ɣaha,fly,,36,
136715,101,"to fly",raŋo,"fly (insect!)",,x,
136716,102,rat,kiki,rat,,56,
136717,103,meat/flesh,hasiɣona,meat/flesh,,"10, 65",
136718,104,fat/grease,œbena,fat/grease,,56,
136719,104,fat/grease,ahiɣiana,fat/grease,,,
136720,105,tail,kere,tail,,39,
136721,106,snake,mā,snake,,12,
136722,108,louse,ɣū,louse,,1,
136723,108,louse,"mamānata rita","louse egg",,x20,
136724,109,mosquito,namu,mosquito,,1,
136725,110,spider,ravɒ,spider,,1,
136726,111,fish,siare,fish,,61,
136727,112,rotten,kakaɣa,rotten,,58,
136728,113,branch,ara-na,branch,,"1,17",
136729,114,leaf,aha-na,leaf,,34,
136730,115,root,vaɣa-na,root,,2,
136731,116,flower,taka-na,flower,,12,
136732,117,fruit,ɣua-na,fruit,,"1, 26",
136733,118,grass,ɣo,grass,,57,
136734,119,earth/soil,mako,earth,,51,
136735,120,stone,hœ,"stone; irregular *a > o",,1,
136736,121,sand,one,sand,,1,
136737,122,water,ve,water,,2,
136738,123,"to flow",oɣo,"flow; irregular loss of *k",,48,
136739,124,sea,āsi,sea,,1,
136740,127,woods/forest,vapuna,bush,,22,
136741,128,sky,matava,sky,,50,
136742,129,moon,haɣeha,moon,,39,
136743,130,star,hiɣu,star,,"1, 51",
136744,131,cloud,parœru,cloud,,,
136745,132,fog,vaha,fog,,46,
136746,133,rain,raŋi,rain,,7,
136747,134,thunder,akurɒ,"thunder; with irregular additional a-",,"2, 63",
136748,135,lightning,maraŋea,lightning,,53,
136749,136,wind,roɣa,wind,,54,
136750,137,"to blow",uhia,blow,,4,
136751,137,"to blow",roɣa,blow,,51,
136752,138,warm,mahana,warm,,"1, 72",
136753,139,cold,marato,cold,,65,
136754,140,dry,mamata,dry,,11,
136755,141,wet,ruhu,wet,,66,
136756,142,heavy,hiɣa,heavy,,41,
136757,143,fire,ɣi,fire,,33,
136758,144,"to burn",suŋia,burn,,55,
136759,144,"to burn",su,burn,,,
136760,145,smoke,robworobwo,smoke,,14,
136761,146,ash,rahu,ashes,,67,
136762,147,black,masuri,black,,54,
136763,148,white,siki,white,,58,
136764,149,red,memera,red,,1,
136765,150,yellow,herehereɣa,yellow,,55,
136766,151,green,maravarava,green,,13,
136767,152,small,sisite,small,,63,
136768,153,big,raha,big,,10,
136769,154,short,abubu,short,,56,
136770,155,long,borahu,long,,16,
136771,156,thin,mahinihini,"thin; irregular metathesis of *n and *s",,1,
136772,156,thin,rakeɣa,thin,,,
136773,157,thick,upupuɣa,thick,,12,
136774,160,"painful, sick",maeha,sick,,58,
136775,162,old,ɣemœa,"old (person)",,61,
136776,162,old,marahaɣa,"old (person)",,85,
136777,162,old,banimarɒ,"old (thing)",,x,
136778,163,new,hohoruɣa,new,,1,
136779,164,good,koro,good,,55,
136780,165,"bad, evil",era,bad,,52,
136781,166,"correct, true",oto,correct,,13,
136782,167,night,buŋiana,night,,1,
136783,168,day,taŋiana,day,,6,
136784,169,year,harisi,year,,8,
136785,170,when?,keta,when?,,"1,44",
