id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
517,Fagani,"Tryon & Hackman (1983)",faf,faga1239,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, San Cristobal","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-10.44791000000000025238,161.66179999999999949978
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
137027,1,hand,rima-na,arm,,1,
137028,2,left,mahana,left,,57,
137029,3,right,aotona,"right; irregular initial /a/",,42,
137030,4,leg/foot,auwana,"leg; irregular *q > w; irregular diphthongisation of vowel",,101,
137031,5,"to walk",pwapwahe,walk,,81,
137032,5,"to walk",sio,"go down; irregular loss of medial *p",,,
137033,5,"to walk",raɣo,go,,1,
137034,5,"to walk",akau,"go up",,,
137035,6,road/path,tara,road,,1,
137036,7,"to come","raɣo mai",come,,"1,85",
137037,8,"to turn",apairi,turn,,44,
137038,9,"to swim",pwareo,bathe,,60,
137039,9,"to swim",arasi,swim,,63,
137040,10,dirty,meoɣa,dirty,,80,
137041,11,dust,rarahuaɣa,dust,,29,
137042,12,skin,ɣahona,skin,,35,
137043,13,back,ɣairi-na,back,,39,
137044,14,belly,aopwa-na,"belly; irregular addition of initial a vowel",,36,
137045,15,bone,susuri-na,bone,,52,
137046,16,intestines,bwahurina,guts,,26,
137047,17,liver,punaniuna,liver,,26,
137048,18,breast,susu-na,breast,,1,
137049,20,"to know, be knowledgeable",ɣirara,"know; irregular addition of reduplicated final syllable",,"18, 102",
137050,21,"to think",katokatomaɣi,think,,1,
137051,22,"to fear",māɣu,fear,,1,
137052,23,blood,ɣapu-na,blood,,5,
137053,24,head,bwau-na,head,,9,
137054,25,neck,konokono-na,neck,,44,
137055,26,hair,waraehuna,"hair (body)",,54,
137056,27,nose,pwarusuna,nose,,"1,12",
137057,28,"to breathe",manawa,breathe,,1,
137058,29,"to sniff, smell",mapu,smell,,33,
137059,29,"to sniff, smell",waŋahia,smell,,101,
