id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
521,Nduke,"Tryon & Hackman (1983)",nke,duke1237,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, New Georgia, West","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-7.97768000000000032657,157.06391999999999598003
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
137711,1,hand,hɛhe-na,arm,,,
137712,2,left,ɣende-na,left,,16,
137713,3,right,matao-na,right,,"5,13",
137714,4,leg/foot,nene-na,leg,,19,
137715,5,"to walk",nimbaka,"to walk",,,
137716,5,"to walk",ɣore,"go down",,,
137717,5,"to walk",lamua,"\"you go\"",,"1, 69",
137718,5,"to walk",laɣo,go,,1,
137719,5,"to walk",saɣe,"go up/ascend",,,
149565,5,"to walk",lelegho,"to stroll.",,,
137720,6,road/path,ripe,road,,,
137721,7,"to come",mai,come,,1,
137722,8,"to turn",kekere,turn,,47,
137723,8,"to turn",ilaŋa,turn,,,
137724,9,"to swim",hihiu,"to bathe",,12,
137726,9,"to swim",ruasa,swim,,50,
137727,10,dirty,nena,dirty,,,
137728,11,dust,kavuru,dust,,72,
137729,12,skin,tutupa-na,skin,,,
137730,13,back,mundi-na,back,,3,
137731,14,belly,hiapa-na,belly,,65,
137732,15,bone,humuma-na,bone,,,
137733,16,intestines,laɣu-na,guts,,39,
137734,17,liver,kola-na,liver,,8,
137735,18,breast,susu-na,breast,,1,
145238,19,shoulder,vara,,,1,
137736,20,"to know, be knowledgeable",ɣiɣilea,know,,18,
137737,21,"to think",ororu,think,,50,
137738,22,"to fear",malaŋgu,fear,,,
137739,23,blood,ɔruŋu-na,blood,,30,
137740,24,head,mbatu-na,head,,9,
137741,25,neck,rua-na,neck,,18,
137742,26,hair,mbumburu-na,"hair (body)",,,
137743,27,nose,isu-na,nose,,1,
137744,28,"to breathe",ŋɔhi,breathe,,36,
137745,29,"to sniff, smell",humaŋa,smell,,15,
137746,30,mouth,hurɔ-na,mouth,,,
137747,31,tooth,patu-na,"ancient \"respect\" word for teeth.",,,
137748,31,tooth,livɔ-na,tooth,,"1,35",
137749,32,tongue,elembe-na,tongue,,"7, 17",
137750,33,"to laugh",ɣeɣele,laugh,,69,
137751,34,"to cry",ŋire,cry,,,
137752,35,"to vomit",lua,vomit,,8,
137753,36,"to spit",ɣɔso,spit,,"14, 83",
137754,37,"to eat",teteku,eat,,42,
137755,37,"to eat",ŋaŋau,eat,,15,
149566,38,"to chew",ngangau,"to eat (vulgar), to chew, to gouge",,8,
149567,38,"to chew",teteku,"to eat (polite)",,,
153079,39,"to cook",raro,"(in a pot)",,56,
153101,39,"to cook",nako,"(on a fire)",,,
137756,40,"to drink",mbei,drink,,8,
137757,41,"to bite",kipea,bite,,,
137758,42,"to suck",nɔnɔpo,suck,,"1, 22",
137759,43,ear,taliŋi-na,ear,,1,
137760,44,"to hear",lemonia,"to hear it",,39,
153081,44,"to hear",lemono,,,39,
137761,45,eye,mata-na,eye,,1,
137762,46,"to see",ɔmea,see,,17,
145237,47,"to yawn",mamava,,,19,
137763,48,"to sleep",puta,sleep,,15,
137764,49,"to lie down",kɔle,"lie down",,42,
153102,50,"to dream",puputa,"(redup. of \"puta\": to sleep)",,34,
137765,51,"to sit",tɔtu,sit,,104,
137766,52,"to stand",turu,stand,,"2,69",
137767,53,"person/human being",tinoni,person,,10,
137768,54,man/male,remalea,man,,,
137769,54,man/male,tinoni,man,,46,
137770,55,woman/female,remaŋgota,woman,,,
137771,56,child,kɔmburu,child,,12,
153105,57,husband,baroghoso,"lit. \"mature man\" - no special term.",,,
286724,58,wife,nggoele,,,,
137772,59,mother,tina-na,mother,,1,
137773,60,father,tama-na,father,,1,
137774,61,house,ɣuɣusu,house,,,
137775,62,thatch/roof,ropoto,thatch,,12,
137776,63,name,isoŋɔ-na,name,,26,
137777,64,"to say",ŋɔvere,say,,,
137778,65,rope,pahu,rope,,,
137779,65,rope,veve,rope,,26,
137780,66,"to tie up, fasten",sandɔa,tie,,,
137781,67,"to sew",pipiti,sew,,19,
153094,68,needle,suni,,,,
137782,69,"to hunt",rɔŋgɔhɔ,hunt,,,
153100,70,"to shoot",ghoto,,,,
137783,71,"to stab, pierce",hɔperia,"to spear",,17,
137784,71,"to stab, pierce",hɔva,"to stab",,17,
153083,71,"to stab, pierce",hoele,"to pierce/spear through s.t.",,,
137785,72,"to hit",mazea,"hit (stick)",,,
137786,73,"to steal",hiko,steal,,13,
137787,74,"to kill",vamatea,kill,,2,
137788,75,"to die, be dead",mate,die,,1,
137789,76,"to live, be alive",tinɔa,life,,"8,39",
137790,76,"to live, be alive",tɔa,life,,8,
137791,76,"to live, be alive",tɔa,alive,,8,
137792,77,"to scratch",viraka,scratch,,56,
137793,77,"to scratch",ɣeɣerua,scratch,,,
137794,78,"to cut, hack",kinɔ,"Barringtonia edulis \"cut-nut\"",,x,
137795,78,"to cut, hack",taŋgea,"cut (wood)",,,
137796,78,"to cut, hack",kɔpɔtia,"cut (string)",,76,
153103,79,stick/wood,ghae,tree/stick/log,,1,
153104,79,stick/wood,labete,plank,,,
137797,80,"to split",veŋgalia,split,,13,
137798,81,sharp,ɣiɣiri,sharp,,,
137799,82,"dull, blunt",raka,blunt,,62,
137800,83,"to work",tatavete,work,,17,
145234,84,"to plant",riva,,,,
153099,85,"to choose",vile,,,"1,24",
153098,86,"to grow",tonggo,,,27,
137801,87,"to swell",mɔŋgo,swell,,"24, 56",
137802,88,"to squeeze",mbɔua,"squeeze, press, massage",,,
137803,88,"to squeeze",pinduria,"twist, wring, e.g. wring out laundry",,49,
137804,89,"to hold",taminia,hold,,,
137805,90,"to dig",sokia,dig,,81,
145235,91,"to buy",vaghi,,,29,
145233,92,"to open, uncover",silanga,,,,
153093,93,"to pound, beat",ruza,,,56,
153095,94,"to throw",okini,,,,
137806,95,"to fall",ndukele,fall,,"39,116",
137807,96,dog,siki,dog,,11,
137808,97,bird,rɔpete,bird,,,
137809,98,egg,vovoto,egg,,12,
137810,99,feather,"vuvuru rɔpete",feather,,43,
137811,100,wing,mbetete-na,wing,,,
137812,101,"to fly",aka,fly,,,
137814,102,rat,kurezu,"irreg reflex",,"3,62",
137815,103,meat/flesh,pupusi,meat/flesh,,,
137816,104,fat/grease,zɔŋai,fat/grease,,47,
137817,105,tail,pikutu-na,tail,,37,
137818,106,snake,ndɔle,snake,,16,
153096,107,"worm (earthworm)",rute,,,29,
153097,107,"worm (earthworm)","dol' rute",,,29,
137819,108,louse,ɣutu,louse,,1,
137820,108,louse,vutu,louse,,1,
137821,108,louse,lisa,"louse egg",,x20,
137822,109,mosquito,nɔnɔɣo,mosquito,,50,
137823,110,spider,kaŋgaɣa,"spider (an unusual but valid variant)",,43,
149564,110,spider,kangga,,,43,
137824,111,fish,iɣana,fish,,1,
137825,112,rotten,tumbu,rotten,,,
137826,113,branch,kapaha-na,branch,,,
137827,114,leaf,vuvuru,leaf,,18,
137828,115,root,aɣara-na,root,,2,
137829,116,flower,havɔrɔ,flower,,15,
137830,117,fruit,"nɔa ɣae",fruit,,,
137831,118,grass,heheu,grass,,17,
137832,119,earth/soil,melaka,earth,,,
137833,120,stone,patu,stone,,1,
137834,121,sand,karakɔne,sand,,"1,60",
137835,122,water,kɔlo,water,,7,
137836,123,"to flow",tɔtɔlɔ,flow,,15,
137837,124,sea,hivoko,sea,,,
153073,125,salt,kavi,,,11,
145230,126,lake,kopi,"lake, pond, pool, flooded area",,27,
137838,127,woods/forest,heŋga,bush,,,
153092,128,sky,taloso,,,,
137839,129,moon,rea,moon,,,
137840,130,star,pipino,star,,"1,40",
137841,131,cloud,lei,cloud,,56,
137842,132,fog,kɔvele,fog,,13,
137843,133,rain,sɔŋe,rain,,,
137844,134,thunder,paka,thunder,,65,
137845,135,lightning,kapi,lightning,,13,
137846,136,wind,ivɔro,wind,,52,
137847,137,"to blow",ivoro,blow,,,
137848,137,"to blow",ivua,blow,,5,
137849,138,warm,navoɣo,warm,,,
137850,139,cold,imbulu,cold,,16,
137851,140,dry,pindili,dry,,65,
137852,141,wet,nenevu,wet,,,
137853,142,heavy,mamata,heavy,,"46,35",
137854,143,fire,ikuhu,fire,,28,
137855,144,"to burn",hutea,burn,,,
137856,144,"to burn",huta,burn,,,
137857,145,smoke,tula,smoke,,52,
137858,146,ash,ɔrɔ,ashes,,,
137859,147,black,ŋgila,black,,,
137860,148,white,keɔrɔ,white,,18,
137861,149,red,zimiri,red,,49,
137862,150,yellow,meava,yellow,,17,
137863,151,green,endendaka,green,,,
137864,152,small,hitelena,small,,,
137865,153,big,lavata,big,,10,
137866,154,short,pɔpɔti,short,,9,
137867,155,long,ɣɔndɔrɔ-na,long,,,
137868,156,thin,manivisi,thin,,1,
137869,157,thick,mɔata,thick,,15,
145231,158,narrow,vivingge,Narrow/Thin,,,
153091,159,wide,"bero (-na)",,,,
137870,160,"painful, sick",ranu,fever,,,
145232,160,"painful, sick",vitingi,pain,,95,
153078,161,"shy, ashamed",kikizu,,,,
137871,162,old,mbaroɣoso,"old (person)",,77,
137872,162,old,ŋgoele,"old (person)",,62,
137873,162,old,sasauna,"old (thing)",,x,
137874,162,old,kɔlena,"old (thing)",,x,
137875,163,new,kɔreɣana,new,,32,
137876,164,good,leana,good,,22,
137877,165,"bad, evil",hikerena,bad,,48,
137879,166,"correct, true",tuvisi,"true, correct",,32,
137880,167,night,mbɔŋi,night,,1,
137881,168,day,rane,day,,6,
137882,169,year,"ran' haɔro","(with specific year)",,47,
153082,169,year,haoro,,,47,
137883,170,when?,kɔsava,when?,,,
153074,171,"to hide",tome,,,18,
153077,172,"to climb",keasa,,,24,
137884,173,at,pa,at,,8,
137885,174,"in, inside","pa korapa-na",in,,24,
145236,175,above,ululu,,,29,
137886,176,below,"pa kauru-na",below,,13,
137887,177,this,pia,(ostensive),,18,
153106,177,this,tia,(ostensive),,18,
153107,177,this,hoa,"(1p sg)",,,
153108,177,this,hora,"(1p sg)",,,
153086,178,that,sana,"(2P SG)",,19,
153087,178,that,hana,"(2P SG)",,19,
153088,178,that,sara,"(2P PL)",,19,
153089,178,that,hara,"(2P PL)",,19,
137888,179,near,tata,near,,9,
137889,180,far,ɣasau,far,,1,
137890,181,where?,ovia,"where is it?",,x,
153084,181,where?,ova,,,,
137891,182,I,rai,"I (1sg)",,"1,24",
137898,183,thou,ɣɔi,"you (2sg)",,s,
153090,183,thou,ghoi,,,1,
137892,184,he/she,aia,he,,1,
137893,185,we,ɣikɔri,"we (1du.incl)",,1,
137894,185,we,ɣami,"we (1pl.excl)",,2,
137895,185,we,ɣikasa,"we (1pl.incl)",,1,
137896,185,we,ɣita,"we (1pl.incl)",,1,
137897,185,we,"ɣami kɔri","we (1du.excl)",,2,
137899,186,you,-mu,"your (2sg.poss)",,x,
137900,186,you,"-mi ɣamu","your (2pl.poss)",,x,
137901,186,you,"ɣamu kɔri","you (2du)",,x,
137902,186,you,ɣamu,"you (2pl)",,1,
137903,187,they,"ri kɔri","they (3du)",,x,
137904,187,they,ria,"they (3pl)",,25,
137905,188,what?,saɣa,what?,,1,
137906,189,who?,seɣai,"who is it/who's that?",,1,
153080,189,who?,segha,,,1,
153075,191,all,dovuru,,,,
137908,192,and,mbeti,and,,"24,36",
137909,193,if,kɔni,if,,,
137910,193,if,mbi,if,,28,
137911,194,how?,osu,how?,,,
137912,195,"no, not",ndake,no,,63,
137913,196,"to count",tasea,count,,"10,58",
137914,197,One,keka,one,,"31,14",
137915,198,Two,kori,two,,8,
137916,199,Three,kuhe,three,,11,
137917,200,Four,mande,four,,3,
137918,201,Five,lima,five,,1,
137919,202,Six,vɔnɔmɔ,six,,"1,55",
137920,203,Seven,vitu,seven,,1,
137921,204,Eight,vesu,eight,,15,
137922,205,Nine,sia,nine,,5,
137923,206,Ten,manoɣa,ten,,18,
153076,207,Twenty,rambete,,,16,
153085,208,Fifty,limangvulu,,,1,
137924,209,"One Hundred","keka ɣɔɣɔto","one hundred",,10,
