id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
527,Mbaniata,"Tryon & Hackman (1983)",tqu,touo1238,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Central Solomons","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-8.58404999999999951399,157.29578000000000770342
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
138952,1,hand,naōmbi,arm,,,
138953,2,left,"ɣende vaha",left,,16,
138954,3,right,"finotoro vahā",right,,,
138955,4,leg/foot,ōe,leg,,,
138956,5,"to walk",ānufa,"go up",,,
138957,5,"to walk",oze,"go up",,,
138958,5,"to walk",reua,go,,,
138959,5,"to walk",rovo,go,,,
138960,5,"to walk",fetea,"go down",,,
138961,5,"to walk",ātia,walk,,,
138962,5,"to walk",ndoria,walk,,,
138963,6,road/path,e,road,,,
138964,7,"to come",hofea,come,,,
138965,7,"to come",naŋgo,come,,,
138966,8,"to turn",viria,turn,,,
138967,8,"to turn",rofea,turn,,,
138968,9,"to swim",vazoa,swim,,,
138969,9,"to swim",ria,bathe,,,
138970,10,dirty,hefota,dirty,,,
247029,11,dust,mbufo,,,,
138971,12,skin,zuōna,skin,,,
138972,13,back,"zo hiri",back,,,
138973,14,belly,"no rae",belly,,,
138974,15,bone,minu,bone,,,
138975,16,intestines,sifiti,guts,,,
138976,17,liver,"na ōe",liver,,,
138977,18,breast,susu-na,breast,,,
247030,19,shoulder,mboe,,,,
138978,20,"to know, be knowledgeable",ōvea,know,,,
138979,21,"to think",ŋgana,think,,,
138980,22,"to fear",mbuouza,fear,,,
138981,23,blood,"no vo",blood,,,
138982,24,head,uo,head,,,
138983,24,head,uombo,head,,,
138984,25,neck,fiŋga,neck,,,
138985,26,hair,zufu,"hair (body)",,,
138986,27,nose,emō,nose,,,
138987,28,"to breathe",zōnua,breathe,,,
138988,29,"to sniff, smell",eia,smell,,,
138989,29,"to sniff, smell",ērota,smell,,,
138990,30,mouth,ā,mouth,,,
138991,31,tooth,"vo nane",tooth,,,
138992,32,tongue,āni,tongue,,28,
138993,33,"to laugh",hēra,laugh,,,
138994,34,"to cry",īaīa,cry,,,
138995,35,"to vomit",mbāofa,vomit,,,
138996,36,"to spit",sofa,spit,,,
138997,36,"to spit",sōra,spit,,,
138998,37,"to eat",āzafa,eat,,,
138999,37,"to eat",ūā,eat,,,
247028,38,"to chew",ngangoza,,,,
139000,40,"to drink",fioūa,drink,,,
139001,41,"to bite",arafa,bite,,,
139002,42,"to suck",susua,suck,,25,
139003,42,"to suck",hofa,suck,,,
139004,43,ear,ōŋgoto,ear,,,
139005,44,"to hear",ōrōna,hear,,,
139006,45,eye,mberō,eye,,,
139007,46,"to see",area,see,,,
139008,46,"to see",nondoa,see,,,
217560,47,"to yawn",mavaha,,,,
139009,48,"to sleep",īsia,sleep,,,
139010,48,"to sleep",īnsia,sleep,,,
139011,49,"to lie down",ōa,"lie down",,,
139012,49,"to lie down",rehea,"lie down",,,
139013,51,"to sit",fofua,sit,,,
139014,52,"to stand",ā,stand,,,
139015,53,"person/human being",finona,person,,,
139016,53,"person/human being",finozo,person,,,
139017,54,man/male,harimba,man,,,
139018,55,woman/female,ŋgohe,woman,,42,
139019,56,child,ha,child,,,
139020,59,mother,īna,mother,,,
139021,60,father,mama,father,,,
139022,60,father,āe,father,,,
139023,61,house,va,house,,40,
139024,62,thatch/roof,atovō,thatch,,,
139025,63,name,nini,name,,,
139026,64,"to say",hāua,say,,,
139027,64,"to say",hana,say,,,
139028,65,rope,huŋgina,rope,,,
139029,65,rope,fahi,rope,,,
139030,66,"to tie up, fasten",nembia,tie,,,
139031,67,"to sew",vavora,sew,,,
139032,69,"to hunt",sūa,hunt,,,
139033,71,"to stab, pierce",suma,stab,,,
139034,72,"to hit",isa,"hit (stick)",,,
139035,73,"to steal",sioa,steal,,,
139036,74,"to kill",variuza,kill,,,
139037,75,"to die, be dead",uza,die,,27,
139038,76,"to live, be alive",tovea,alive,,,
139039,76,"to live, be alive",tōvena,life,,,
139040,77,"to scratch",aŋīa,scratch,,,
139041,78,"to cut, hack",uria,"cut (string)",,,
139042,78,"to cut, hack",mahoa,"cut (string)",,,
139043,78,"to cut, hack",mahoa,"cut (wood)",,,
139044,78,"to cut, hack",tiŋge,"cut nut",,,
139045,80,"to split",mbaera,split,,,
139046,80,"to split",vahara,split,,,
139047,81,sharp,ɣoɣofa,sharp,,,
139048,82,"dull, blunt",feŋgeta,blunt,,,
139049,83,"to work",ozoso,work,,,
139050,87,"to swell",utōza,swell,,,
139051,88,"to squeeze",embia,squeeze,,,
139052,88,"to squeeze",īzufa,squeeze,,,
139053,89,"to hold",ea,hold,,,
139054,90,"to dig",ɣeria,dig,,1,
139055,95,"to fall",nduoa,fall,,,
139056,96,dog,sie,dog,,,
139057,97,bird,"arove manozo",bird,,,
139058,98,egg,āndena,egg,,,
139059,99,feather,manuzufuna,feather,,,
139060,100,wing,ŋgofona,wing,,45,
139061,101,"to fly",urusu,fly,,,
139062,101,"to fly",ārova,fly,,,
139063,102,rat,siro,rat,,,
139064,103,meat/flesh,fafoso,meat/flesh,,,
139065,104,fat/grease,haŋguluso,fat/grease,,,
139066,105,tail,hifona,tail,,,
139067,105,tail,hifoso,tail,,,
139068,106,snake,noi,snake,,,
139069,108,louse,risa,"louse egg",,,
139070,108,louse,vutu,louse,,,
139071,108,louse,ɣutu,louse,,,
139072,109,mosquito,īmusu,mosquito,,,
139073,110,spider,miasa,spider,,,
139074,111,fish,īɣana,fish,,,
139075,112,rotten,musia,rotten,,,
139076,112,rotten,vurova,rotten,,,
139077,113,branch,hae,branch,,,
139078,113,branch,haeme,branch,,,
139079,114,leaf,ēvona,leaf,,,
139080,115,root,ambosona,root,,,
139081,116,flower,havoro,flower,,,
139082,117,fruit,ūvu,fruit,,,
139083,118,grass,herō,grass,,61,
139084,119,earth/soil,fesu,earth,,,
139085,119,earth/soil,one,earth,,,
139086,120,stone,heŋga,stone,,,
139087,120,stone,vo,stone,,,
139088,121,sand,ōne,sand,,,
139089,122,water,fiō,water,,,
139090,123,"to flow",vehia,flow,,,
139091,123,"to flow",totoro,flow,,,
139092,124,sea,fei,sea,,,
139093,127,woods/forest,hiŋgo,bush,,,
139094,128,sky,ūzia,sky,,,
139095,129,moon,īndi,moon,,,
139096,130,star,finofino,star,,,
139097,131,cloud,hōrō,cloud,,,
139098,132,fog,rovu,fog,,,
139099,132,fog,maneɣe,fog,,,
139100,133,rain,orō,rain,,,
139101,134,thunder,"ūzia āro",thunder,,,
139102,135,lightning,ivōri,lightning,,,
139103,136,wind,zu,wind,,,
139104,136,wind,ziu,wind,,,
139105,137,"to blow",vūa,blow,,,
139106,138,warm,miŋgōta,warm,,,
139107,139,cold,mbeuta,cold,,,
139108,140,dry,ɣaosora,dry,,,
139109,141,wet,tumuva,wet,,,
139110,142,heavy,momota,heavy,,,
139111,143,fire,hiro,fire,,,
139112,144,"to burn",ithofa,burn,,,
139113,145,smoke,hia,smoke,,,
139114,146,ash,tumbutumbu,ashes,,,
139115,147,black,īŋgita,black,,,
139116,148,white,tuɣava,white,,,
139117,149,red,āroa,red,,,
139118,150,yellow,tāmara,yellow,,,
139119,151,green,hiu[ta],green,,,
139120,152,small,isita,small,,,
139121,153,big,tembota,big,,,
139122,154,short,foŋgota,short,,,
139123,155,long,hofuta,long,,,
139124,156,thin,ēvasara,thin,,,
139125,157,thick,ēzuta,thick,,,
139126,160,"painful, sick",maia,sick,,,
139127,162,old,hefōta,"old (thing)",,,
139128,162,old,fizu,"old (person)",,,
139129,163,new,avorota,new,,,
139130,164,good,nīta,good,,,
139131,165,"bad, evil",rivōta,bad,,,
139132,166,"correct, true",ōveta,correct,,,
139133,167,night,hiu,night,,,
139134,168,day,musona,day,,,
139135,168,day,anuforo,day,,,
139136,169,year,ōvozo,year,,,
139137,170,when?,revō,when?,,,
139138,173,at,mbua,at,,,
139139,173,at,teo,at,,,
139140,174,"in, inside",endō,in,,,
139141,176,below,omoro,below,,,
139142,177,this,ndezo,this,,,
139143,177,this,ndeno,this,,,
139144,179,near,neita,near,,,
139145,179,near,nei,near,,,
139146,180,far,hōta,far,,,
139147,180,far,hōŋo,far,,,
139148,181,where?,āe,where?,,,
139149,181,where?,āŋo,where?,,,
139150,182,I,ēi,"I (1sg)",,,
139151,182,I,ēro,"I (1sg)",,,
139152,184,he/she,zo,he,,,
139153,184,he/she,vo,he,,,
139154,185,we,ere,"we (1du.excl)",,,
139155,185,we,erembe,"we (1du.excl)",,,
139156,185,we,mēmo,"we (1pl.incl)",,35,
139157,185,we,ēmbo,"we (1pl.excl)",,,
139158,185,we,mbe,"we (1du.incl)",,,
139159,185,we,mbembe,"we (1du.incl)",,,
139160,186,you,mɛmbō,"you (2pl)",,,
139161,186,you,mbere,"you (2du)",,,
139162,186,you,mberembe,"you (2du)",,,
139163,186,you,nōe,"you (2sg)",,,
139164,186,you,nō,"you (2sg)",,,
139165,187,they,mō,"they (3pl)",,,
139166,187,they,zere,"they (3du)",,,
139167,188,what?,ōnia,what?,,,
139168,188,what?,ōno,what?,,,
139169,189,who?,ūō,who?,,,
139170,192,and,ēta,and,,,
139171,192,and,oro,and,,,
139172,193,if,arovo,if,,,
139173,193,if,atiri,if,,,
139174,194,how?,ōnia,how?,,,
139175,194,how?,uavi,how?,,,
139176,195,"no, not",au,no,,,
139177,196,"to count",āmboa,count,,,
139178,197,One,thufi,one,,,
139179,197,One,aro[no],one,,,
139180,198,Two,ēri,,,15,
139181,199,Three,hie,three,,,
139182,200,Four,āvo,four,,,
139183,201,Five,sondu,five,,6,
139184,202,Six,thumbi,six,,,
139185,203,Seven,ɔhiɔ,seven,,,
139186,204,Eight,mbihiɔ,eight,,,
139187,205,Nine,mbovoho,nine,,,
139188,206,Ten,thō,ten,,,
139189,209,"One Hundred","āro tōvo","one hundred",,,
139190,210,"One Thousand","āro tina","one thousand",,,
