id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
531,"Lengo (Ghaimuta)","Tryon & Hackman (1983)",lgr,leng1259,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Gela-Guadalcanal, Gela","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-9.56424999999999947420,160.42010999999999398824
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
139811,1,hand,lima,arm,,1,
139812,2,left,mauli,left,,"1,59",
139813,4,leg/foot,tua-na,leg,,95,
139814,5,"to walk",ndatɔ,"go up",,,
139815,5,"to walk",ndea,go,,30,
139816,5,"to walk",sivɔ,"go down",,,
139817,5,"to walk",ndea,walk,,30,
139818,6,road/path,sa,road,,,
139819,7,"to come",mai,come,,1,
139820,8,"to turn",pililiu,turn,,2,
139821,9,"to swim",lɛ,swim,,91,
139822,9,"to swim",pɔpɔɣɔ,bathe,,31,
139823,10,dirty,mbili,dirty,,13,
139824,10,dirty,papaŋga,dirty,,52,
139825,11,dust,ravu,dust,,29,
139826,12,skin,ɣuli-na,skin,,1,
139827,13,back,mbuke-na,back,,13,
139828,14,belly,tɔmba-na,belly,,36,
139829,15,bone,suli-na,bone,,52,
139830,16,intestines,kutu-na,guts,,43,
139831,17,liver,ate-na,liver,,1,
139832,18,breast,čuču-na,breast,,1,
139833,20,"to know, be knowledgeable",ɣilaɣanā,know,,18,
139834,21,"to think",tutuŋgā,think,,,
139835,22,"to fear",mataɣu,fear,,1,
139836,23,blood,ɣambu-na,blood,,5,
139837,24,head,lɔva-na,head,,47,
139838,25,neck,liɔ-na,neck,,1,
139839,26,hair,ɣore,"hair (body)",,42,
139840,27,nose,isu-na,nose,,1,
139841,28,"to breathe",asembɔna,breathe,,"16, 63",
139842,29,"to sniff, smell",siɣini,smell,,12,
139843,30,mouth,maŋa-na,mouth,,13,
139844,31,tooth,livɔ-na,tooth,,"1,35",
139845,32,tongue,lapi-na,tongue,,21,
139846,33,"to laugh",kalaɔ,laugh,,81,
139847,34,"to cry",ɔra,cry,,45,
139848,35,"to vomit",lulua,vomit,,8,
139849,36,"to spit",čuve,spit,,"19,88",
139850,37,"to eat",ɣaɣani,eat,,1,
139851,40,"to drink",inu,drink,,1,
139852,41,"to bite",ɣania,bite,,38,
139853,42,"to suck",mučua,suck,,20,
139854,43,ear,kuli-na,ear,,6,
139855,44,"to hear",rɔŋɔsia,hear,,1,
139856,45,eye,mata-na,eye,,1,
139857,46,"to see",kaɔa,see,,,
139858,48,"to sleep",maturu,sleep,,1,
139859,49,"to lie down",enɔ,"lie down",,1,
139860,51,"to sit",čambɔla,sit,,,
139861,52,"to stand",tū,stand,,2,
139862,53,"person/human being",tinoni,person,,10,
139863,54,man/male,mane,man,,1,
139864,54,man/male,luvaolu,man,,,
139865,55,woman/female,ɣaoka,woman,,44,
139866,56,child,ŋgari,"child; irregular *e > i",,40,
139867,56,child,ndae,child,,28,
139868,59,mother,tina,mother,,1,
139869,60,father,tama,father,,1,
139870,61,house,vae,house,,14,
139871,61,house,luma,house,,1,
139872,63,name,asa,name,,"1,18",
139873,64,"to say",kɔea,say,,64,
139874,65,rope,taŋgi,rope,,,
139875,66,"to tie up, fasten",sɔria,tie,,57,
139876,67,"to sew",taia,"sew; probably loan from Longgu rather than only Oceanic language to reflect Pan *tahiq",L,2,
139877,69,"to hunt","ndea na ɔŋa",hunt,,52,
139878,71,"to stab, pierce",tua,stab,,,
139879,72,"to hit",ambua,"hit (stick); irregular loss of *l",,42,
139880,73,"to steal",ŋgitɔ,steal,,46,
139881,74,"to kill",ambumatea,kill,,"42, 2",
139882,75,"to die, be dead",mate,die,,1,
139883,76,"to live, be alive",mauri,alive,,"1, 76",
139884,76,"to live, be alive",mauri,life,,"1, 76",
139885,77,"to scratch",ŋgarusia,scratch,,44,
139886,78,"to cut, hack",tɔɣia,"cut (string)",,"3, 96",
139887,78,"to cut, hack",kalia,"cut (wood)",,62,
139888,78,"to cut, hack",meŋga,"cut nut",,X,
139889,80,"to split",tea,split,,65,
139890,81,sharp,vavaŋa,sharp,,"14, 20",
139891,83,"to work",aŋgɔ,work,,32,
139892,87,"to swell",pira,swell,,,
139893,88,"to squeeze",lusia,"squeeze; irregular *o > u",,"19, 65",
139894,89,"to hold",taria,hold,,62,
139895,90,"to dig",ɣelia,dig,,1,
139896,95,"to fall",lumba,fall,,,
139897,96,dog,kau,dog,,17,
139898,97,bird,manu,bird,,1,
139899,98,egg,tɔlu-na,egg,,1,
139900,99,feather,vulunimanu,"feather (of bird)",,1,
139901,100,wing,rapɔ-na,wing,,50,
139902,101,"to fly",eŋɔ,"fly (insect!)",,x,
139903,101,"to fly",ɔvɔ,fly,,1,
139904,102,rat,ɣusuve,rat,,3,
139905,103,meat/flesh,venesi-na,meat/flesh,,"17, 67",
139906,104,fat/grease,ɣauɣa,fat/grease,,51,
139907,105,tail,kali-na,tail,,34,
139908,106,snake,pɔli,snake,,44,
139909,108,louse,lisa,"louse egg",,x20,
139910,108,louse,ŋutu,"louse; irregular *k > ŋ",,"1, 27",
139911,109,mosquito,namɔ,mosquito,,1,
139912,110,spider,laɔ,spider,,9,
139913,111,fish,iɣa,fish,,1,
139914,112,rotten,ranĵa,rotten,,55,
139915,112,rotten,vuvusa,rotten,,"9, 74",
139916,114,leaf,rau,leaf,,1,
139917,115,root,lamu,root,,3,
139918,115,root,lali,root,,16,
139919,116,flower,saŋga,flower,,12,
139920,117,fruit,vua,fruit,,1,
139921,117,fruit,vuŋu,fruit,,9,
139922,118,grass,mbumburu,grass,,19,
139923,119,earth/soil,pari,earth,,45,
139924,120,stone,vatu,stone,,1,
139925,121,sand,mamaone,sand,,"1, 59",
139926,122,water,kolo,water,,42,
139927,123,"to flow",tave,flow,,10,
139928,124,sea,tasi,sea,,1,
139929,128,sky,oka,sky,,42,
139930,129,moon,vula,moon,,1,
139931,130,star,vetuɣu,star,,"1, 50",
139932,131,cloud,parakɔ,cloud,,74,
139933,132,fog,lavo,fog,,3,
139934,133,rain,usa,rain,,1,
139935,136,wind,ara,wind,,55,
139936,137,"to blow",uvia,blow,,4,
139937,138,warm,papara,warm,,71,
139938,138,warm,ɣuvuɣuvu,warm,,65,
139939,139,cold,mbimbisi,cold,,46,
139940,140,dry,čečele,dry,,76,
139941,142,heavy,mava,heavy,,46,
139942,143,fire,lake,fire,,6,
139943,144,"to burn",kerea,burn,,50,
139944,145,smoke,asu,smoke,,2,
139945,145,smoke,mboɣu,smoke,,,
139946,146,ash,ravu,ashes,,67,
139947,147,black,mbau,black,,42,
139948,148,white,kerere,white,,,
139949,149,red,čiči,red,,19,
139950,150,yellow,mila,yellow,,44,
139951,151,green,marao,green,,13,
139952,151,green,kina,green,,53,
139953,152,small,kiki,small,,78,
139954,153,big,ŋgulai,big,,57,
139955,155,long,ndaɣo,long,,58,
139956,162,old,noɣa,"old (thing)",,x,
139957,163,new,vaolu,new,,1,
139958,164,good,ndoku,"good; irregular medial k",,54,
139959,165,"bad, evil",saɣata,bad,,"1,49",
139960,167,night,rondo,night,,11,
139961,168,day,ndani,day,,6,
139962,170,when?,ŋisa,when?,,"1,24",
139963,173,at,ni,at,,18,
139964,173,at,tana,at,,7,
139965,174,"in, inside",leo,"in; irregular loss of *l",,"1, 69",
139966,176,below,ruruɣu,below,,42,
139967,177,this,inde,this,,27,
139968,177,this,nia,this,,1,
139969,179,near,ɣaɣare,near,,79,
139970,180,far,sau-na,far,,1,
