id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
540,"Ghari (Tandai)","Tryon & Hackman (1983)",gri,ghar1239,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Gela-Guadalcanal, Guadalcanal","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-9.47910000000000074749,159.91736000000000217369
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
142165,1,hand,lima-na,arm,,1,
142166,2,left,mauli-na,left,,"1,59",
142167,3,right,mandɔa-na,"right; irregular loss of *l/*R; irregular diphthongisation of final vowels",,9,
142168,4,leg/foot,tua-na,leg,,95,
142169,5,"to walk",vavano,walk,,2,
142170,5,"to walk",nĵuna,"go down",,,
142171,5,"to walk",vano,go,,2,
142172,5,"to walk",ndato,"go up",,,
142173,6,road/path,sautu,road,,6,
142174,7,"to come",mai,come,,1,
142175,8,"to turn",pilo,turn,,86,
142176,9,"to swim",leso,"bathe; irregular *o > e",,8,
142177,9,"to swim",ɔlo,swim,,74,
142178,10,dirty,naŋguha,dirty,,55,
142179,11,dust,papasa,dust,,19,
142180,12,skin,kɔkɔra-na,skin,,37,
142181,13,back,hɔtu-na,back,,14,
142182,14,belly,tɔmba-na,belly,,36,
142183,15,bone,suli-na,bone,,52,
142184,16,intestines,tinae-na,guts,,1,
142185,17,liver,ate-na,liver,,1,
142186,18,breast,čuču-na,breast,,1,
142187,20,"to know, be knowledgeable",ndɔni,know,,56,
142188,21,"to think",panda,think,,36,
142189,22,"to fear",matahu,fear,,1,
142190,23,blood,hambu-na,blood,,5,
142191,24,head,lɔva-na,head,,47,
142192,25,neck,liɔ-na,neck,,1,
142193,26,hair,vuvulu-na,"hair (body)",,31,
142194,27,nose,isu-na,nose,,1,
142195,28,"to breathe",mamaho,breathe,,17,
142196,29,"to sniff, smell",sihinia,smell,,12,
142197,29,"to sniff, smell",poso,smell,,47,
142198,30,mouth,maŋa-na,mouth,,13,
142199,31,tooth,livɔ-na,tooth,,"1,35",
142200,32,tongue,lapi-na,tongue,,21,
142201,33,"to laugh",kia,laugh,,14,
142202,34,"to cry",ŋaŋai,cry,,44,
142203,35,"to vomit",mumuta,vomit,,1,
142204,36,"to spit",čuve,spit,,"19,88",
142205,37,"to eat",hahani,eat,,1,
142206,40,"to drink",inu,drink,,1,
142207,41,"to bite",hati,bite,,"1, 55",
142208,42,"to suck",muču,suck,,20,
142209,43,ear,kuli-na,ear,,6,
142210,44,"to hear",rɔroŋo,hear,,1,
142211,45,eye,mata-na,eye,,1,
142212,46,"to see",rei,"see; irregular loss of *k",,13,
142213,48,"to sleep",maturu,sleep,,1,
142214,49,"to lie down",eno,"lie down",,1,
142215,51,"to sit","tɔha puka",sit,,,
142216,52,"to stand",tū,stand,,2,
142217,53,"person/human being",tinɔni,person,,10,
142218,54,man/male,mane,man,,1,
142219,55,woman/female,ndaki,woman,,25,
142220,56,child,mbaka,child,,41,
142221,59,mother,amam,mother,,,
142222,59,mother,tina-na,mother,,1,
142223,60,father,kaka,father,,,
142224,60,father,tama-na,father,,1,
142225,61,house,vale,house,,14,
142226,62,thatch/roof,vɔvɔti,thatch,,45,
142227,63,name,soa-na,name,,31,
142228,64,"to say",tuɣuna,say,,66,
142229,65,rope,tai,rope,,51,
142230,66,"to tie up, fasten",piti,tie,,12,
142231,66,"to tie up, fasten",sɔri,tie,,57,
142232,67,"to sew",čuki,sew,,17,
142233,69,"to hunt",ruɣuvia,hunt,,13,
142234,71,"to stab, pierce",čukia,stab,,"1, 8",
142235,72,"to hit",raminĵia,"hit (stick)",,58,
142236,72,"to hit",lambu,"hit (stick)",,42,
142237,73,"to steal",kɔmi,steal,,33,
142238,73,"to steal",vanaho,steal,,"1,58",
142239,74,"to kill",lambumatea,kill,,"42, 2",
142240,75,"to die, be dead",mate,die,,1,
142241,76,"to live, be alive",mauri,life,,"1, 76",
142242,76,"to live, be alive",mauri,alive,,"1, 76",
142243,77,"to scratch",ŋgaŋgaru,scratch,,44,
142244,78,"to cut, hack",vā,"cut nut",,X,
142245,78,"to cut, hack",kavia,"cut (wood)",,60,
142246,78,"to cut, hack",kutia,"cut (string)",,61,
142247,80,"to split",pā,split,,57,
142248,81,sharp,vavaŋa,sharp,,"14, 20",
142249,82,"dull, blunt",paru,blunt,,54,
142250,83,"to work",aŋgo,work,,32,
142251,87,"to swell",suni,swell,,,
142252,87,"to swell",čɔmo,swell,,45,
142253,88,"to squeeze",mbiŋia,squeeze,,,
142254,89,"to hold",taŋɔlʔa,hold,,61,
142255,90,"to dig",čai,dig,,79,
142256,95,"to fall",puka,fall,,19,
142257,96,dog,pai,dog,,54,
142258,97,bird,manu,bird,,1,
142259,98,egg,tɔlu-na,egg,,1,
142260,99,feather,ivu-na,feather,,7,
142261,100,wing,rapɔ-na,wing,,50,
142262,101,"to fly",lovo,fly,,1,
142263,101,"to fly",laŋo,"fly (insect!)",,x,
142264,102,rat,husuve,rat,,3,
142265,103,meat/flesh,venesi-na,meat/flesh,,"17, 67",
142266,104,fat/grease,sereɣa-na,fat/grease,,35,
142267,105,tail,hiu-na,tail,,"1, 58",
142268,106,snake,muata,snake,,12,
142269,108,louse,ŋutu,"louse; irregular *k > ŋ",,"1, 27",
142270,108,louse,lisa,"louse egg",,x20,
142271,109,mosquito,nanamu,mosquito,,1,
142272,110,spider,tea,spider,,45,
142273,111,fish,čeče,fish,,56,
142274,112,rotten,mambulu,rotten,,1,
142275,113,branch,rara-na,branch,,"1,33",
142276,114,leaf,rau-na,leaf,,1,
142277,115,root,lalamu,root,,3,
142278,116,flower,marara,flower,,43,
142279,117,fruit,vua-na,fruit,,1,
142280,118,grass,mbumburu,grass,,19,
142281,119,earth/soil,pari,earth,,45,
142282,120,stone,vatu,stone,,1,
142283,121,sand,nuhu,sand,,41,
142284,121,sand,ɔnɔne,sand,,1,
142285,122,water,ko,water,,37,
142286,123,"to flow",tatave,flow,,10,
142287,124,sea,tasi,sea,,1,
142288,127,woods/forest,hɔana,bush,,"48, 64",
142289,128,sky,"parako mbɔra",sky,,34,
142290,129,moon,vula,moon,,1,
142291,130,star,veituhu,star,,"1, 50",
142292,131,cloud,parako,cloud,,74,
142293,132,fog,pasa,fog,,44,
142294,133,rain,usa,rain,,1,
142295,134,thunder,ŋgululu,thunder,,53,
142296,135,lightning,aŋa,lightning,,43,
142297,136,wind,ara,wind,,55,
142298,136,wind,huhuri,wind,,12,
142299,137,"to blow",pupua,blow,,17,
142300,138,warm,"papara tetelo",warm,,71,
142301,139,cold,mbisi,cold,,46,
142302,140,dry,mamača,dry,,11,
142303,141,wet,pɔto,wet,,62,
142304,142,heavy,mamava,heavy,,46,
142305,143,fire,lake,fire,,6,
142306,144,"to burn",tɔtɔpo,burn,,,
142307,145,smoke,puŋu,smoke,,28,
142308,146,ash,papasanalake,ashes,,34,
142309,147,black,mbau,black,,42,
142310,148,white,sere,white,,15,
142311,149,red,čiči,red,,19,
142312,150,yellow,mila,yellow,,44,
142313,151,green,maraɔ,green,,13,
142314,152,small,tetelo,small,,56,
142315,153,big,lɔki,big,,55,
142316,154,short,kukuri,"short; irregular *u > i",,13,
142317,155,long,kači,long,,57,
142318,156,thin,mandeve,thin,,"1,67",
142319,157,thick,paku,thick,,36,
142320,160,"painful, sick",lɔmbɔhu,sick,,56,
142321,162,old,kamate,"old (person)",,87,
142322,162,old,tutuŋga,"old (person)",,78,
142323,162,old,pura-na,"old (thing)",,x,
142324,163,new,vaolu,new,,1,
142325,164,good,ndɔu,good,,54,
142326,165,"bad, evil",seko,bad,,50,
142327,166,"correct, true",ndɔu,correct,,45,
142328,167,night,mbɔŋi,night,,1,
142329,168,day,ndani,day,,6,
142330,169,year,ŋalitupa,year,,"55, 51",
142331,170,when?,"ke ŋisa",when?,,"1,11",
142332,173,at,i,at,,1,
142333,174,"in, inside",laɔ-na,in,,"1, 69",
142334,176,below,vava-na,below,,1,
142335,177,this,ndia,this,,27,
142336,179,near,varaŋi,near,,"1, 74",
142337,180,far,aɔ,far,,"1, 56",
142338,181,where?,ivei,where?,,3,
142339,182,I,au,"I (1sg)",,"1, 21",
142340,182,I,inau,"I (1sg)",,"1, 22",
142347,183,thou,ihɔe,"you (2sg)",,s,
142341,184,he/she,e,he,,1,
142342,184,he/she,ia,he,,1,
142343,185,we,ikɔita,"we (1du.incl)",,1,
142344,185,we,ihami,"we (1pl.excl)",,2,
142345,185,we,ihita,"we (1pl.incl)",,1,
142346,185,we,ikɔami,"we (1du.excl)",,2,
142348,186,you,-mu,"your (2sg.poss)",,x,
142349,186,you,-miu,"your (2pl.poss)",,x,
142350,186,you,ikɔamu,"you (2du)",,x,
142351,186,you,ihamu,"you (2pl)",,1,
142352,187,they,ikɔera,"they (3du)",,x,
142353,187,they,ihira,"they (3pl)",,"1, 69",
142354,188,what?,"na hua",what?,,36,
142355,189,who?,asei,who?,,"1, 68",
142356,192,and,me,and,,2,
142357,193,if,ti,if,,50,
142358,194,how?,"e kɔe ɣua",how?,,"1, 39",
142359,195,"no, not",teha,no,,"4, 70",
142360,196,"to count",čɔko,count,,60,
142361,197,One,kesa,one,,32,
142362,198,Two,ruka,"two; irregular medial -k-",,"1, 21",
