id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
546,"Talise (Poleo)","Tryon & Hackman (1983)",tlr,tali1259,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Gela-Guadalcanal, Guadalcanal","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-9.76764000000000010004,160.23099999999999454303
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
143355,1,hand,lima-na,arm,,1,
143356,2,left,mauli-na,left,,"1,59",
143357,3,right,mandɔa-na,"right; irregular loss of *l/*R; irregular diphthongisation of final vowels",,9,
143358,4,leg/foot,tua-na,leg,,95,
143359,5,"to walk",vavanɔ,walk,,2,
143360,5,"to walk",sivɔ,"go down",,,
143361,5,"to walk",mbā,go,,78,
143362,5,"to walk",ɣalaɣa,"go up",,,
143363,6,road/path,sala,road,,1,
143364,7,"to come",mai,come,,1,
143365,8,"to turn",pilɔ,turn,,86,
143366,9,"to swim",lesɔ,"bathe; irregular *o > e",,8,
143367,9,"to swim",ɔlɔ,swim,,74,
143368,10,dirty,kučɔ,dirty,,,
143369,11,dust,puŋu-na,dust,,98,
143370,12,skin,ɣuɣuli-na,skin,,1,
143371,13,back,mbuke-na,back,,13,
143372,14,belly,tɔmba-na,belly,,36,
143373,15,bone,suli-na,bone,,52,
143374,16,intestines,kikɔ-na,guts,,,
143375,17,liver,ate-na,liver,,1,
143376,18,breast,asease-na,breast,,,
143377,20,"to know, be knowledgeable",ndɔna,know,,56,
143378,21,"to think",papanda,think,,36,
143379,22,"to fear",matavu,fear,,1,
143380,23,blood,ɣambu-na,blood,,5,
143381,24,head,lɔva-na,head,,47,
143382,25,neck,liɔ-na,neck,,1,
143383,26,hair,vuvulu-na,"hair (body)",,31,
143384,27,nose,isu-na,nose,,1,
143385,28,"to breathe",asembona,breathe,,"16, 63",
143386,29,"to sniff, smell",siɣinia,smell,,12,
143387,30,mouth,maŋa-na,mouth,,13,
143388,31,tooth,livɔ-na,tooth,,"1,35",
143389,32,tongue,iapi-na,tongue,,21,
143390,33,"to laugh",čɔlɔ,laugh,,56,
143391,34,"to cry",ŋara,cry,,5,
143392,35,"to vomit",mumuta,vomit,,1,
143393,36,"to spit",čuve,spit,,"19,88",
143394,37,"to eat",ɣaniɣani,eat,,1,
143395,40,"to drink",inu,drink,,1,
143396,41,"to bite",ɣaʔatʔa,bite,,,
143397,42,"to suck",mučua,suck,,20,
143398,43,ear,kuli-na,ear,,6,
143399,44,"to hear",rɔrɔŋɔ,hear,,1,
143400,45,eye,mata-na,eye,,1,
143401,46,"to see",mɔrɔsia,see,,60,
143402,48,"to sleep",maturu,sleep,,1,
143403,49,"to lie down",čarɔ,"lie down",,49,
143404,51,"to sit",tɔtu,sit,,104,
143405,52,"to stand",tiɣɔtɔ,stand,,,
143406,53,"person/human being",nɔni,"person; irregular loss of initial *ti",,10,
143407,54,man/male,nɔni,man,,"46, 48",
143408,55,woman/female,ndaki,woman,,25,
143409,56,child,mbaka,child,,41,
143410,59,mother,na-na,mother,,"1, 83",
143411,60,father,tama-na,father,,1,
143412,61,house,vale,house,,14,
143413,62,thatch/roof,tavuŋa,thatch,,46,
143414,63,name,asa-na,name,,"1,18",
143415,64,"to say",kɔrivaya,say,,153,
143416,65,rope,ɣambe,rope,,,
143417,66,"to tie up, fasten",sɔria,tie,,57,
143418,67,"to sew","cuki pɔlɔ",sew,,17,
143419,69,"to hunt",ruɣu,hunt,,13,
143420,71,"to stab, pierce",tɔua,stab,,,
143421,72,"to hit",lambua,"hit (stick)",,42,
143422,73,"to steal",kɔmi,steal,,33,
143423,74,"to kill",lambua,kill,,42,
143424,75,"to die, be dead",mate,die,,1,
143425,76,"to live, be alive",mamauri,life,,"1, 76",
143426,76,"to live, be alive",mauri,alive,,"1, 76",
143427,77,"to scratch",ŋgaruŋgaru,scratch,,44,
143428,78,"to cut, hack",vala,"cut nut",,X,
143429,78,"to cut, hack","telā ɣai","cut (wood)",,,
143430,78,"to cut, hack",taɣia,"cut (string)",,,
143431,80,"to split",tela,split,,52,
143432,81,sharp,vavaŋa,sharp,,"14, 20",
143433,82,"dull, blunt",paņɔu,blunt,,63,
143434,83,"to work",aŋgɔ,work,,32,
143435,87,"to swell",čɔmɔ,swell,,45,
143436,88,"to squeeze",lɔsia,squeeze,,19,
143437,89,"to hold",velesia,hold,,63,
143438,90,"to dig",ɣeɣeli,dig,,1,
143439,95,"to fall",puka,fall,,19,
143440,96,dog,pai,dog,,54,
143441,97,bird,manu,bird,,1,
143442,98,egg,kɔlu-na,egg,,1,
143443,99,feather,ivu-na,feather,,7,
143444,100,wing,rapɔ-na,wing,,50,
143445,101,"to fly",lɔvɔ,fly,,1,
143446,101,"to fly",laŋɔ,"fly (insect!)",,x,
143447,102,rat,mbɔhu,rat,,55,
143448,103,meat/flesh,kɔkɔra-na,meat/flesh,,,
143449,104,fat/grease,sereɣa-na,fat/grease,,35,
143450,105,tail,kali-na,tail,,34,
143451,106,snake,meu,snake,,,
143452,106,snake,muata,snake,,12,
143453,108,louse,ŋutu,"louse; irregular *k > ŋ",,"1, 27",
143454,108,louse,lisa,"louse egg",,x20,
143455,109,mosquito,ŋi,mosquito,,39,
143456,110,spider,kɔmiči,spider,,46,
143457,110,spider,laɔ,spider,,9,
143458,111,fish,čeče,fish,,56,
143459,112,rotten,mambulu,rotten,,1,
143460,113,branch,areŋana,branch,,"1,17,37",
143461,114,leaf,rau,leaf,,1,
143462,115,root,lamu-na,root,,3,
143463,116,flower,saŋga-na,flower,,12,
143464,117,fruit,vua-na,fruit,,1,
143465,118,grass,mburumburu,grass,,19,
143466,119,earth/soil,kɔči,earth,,50,
143467,120,stone,vatu,stone,,1,
143468,121,sand,marasa,sand,,61,
143469,122,water,kɔlɔ,water,,42,
143470,123,"to flow",čɔčɔ,flow,,41,
143471,124,sea,tasi,sea,,1,
143472,127,woods/forest,ɣoana,bush,,"48, 64",
143473,128,sky,mbarambara,sky,,45,
143474,129,moon,vula,moon,,1,
143475,130,star,vetuɣu,star,,"1, 50",
143476,131,cloud,parakɔ,cloud,,74,
143477,132,fog,lavɔ,fog,,3,
143478,133,rain,laŋi,rain,,7,
143479,134,thunder,visa,thunder,,19,
143480,135,lightning,pilakia,lightning,,26,
143481,136,wind,ɣuɣuri,wind,,12,
143482,137,"to blow",ɣuɣuri,blow,,47,
143483,138,warm,papara,warm,,71,
143484,139,cold,mbisi,cold,,46,
143485,140,dry,mamača,dry,,11,
143486,141,wet,mbɔči,wet,,55,
143487,142,heavy,mamava,heavy,,46,
143488,143,fire,kembe,fire,,31,
143489,144,"to burn",vuru,burn,,48,
143490,145,smoke,puŋu-na,smoke,,28,
143491,146,ash,tɔra,ashes,,27,
143492,147,black,mbau,black,,42,
143493,148,white,sere,white,,15,
143494,149,red,čiči,red,,19,
143495,150,yellow,mila,yellow,,44,
143496,151,green,maraɔ,green,,13,
143497,152,small,tetelɔ,small,,56,
143498,153,big,lɔki,big,,55,
143499,154,short,kumu-na,short,,63,
143500,155,long,kači,long,,57,
143501,156,thin,maɣambɔ,thin,,,
143502,157,thick,paru,thick,,44,
143503,160,"painful, sick",lɔmbɔɣu,sick,,56,
143504,162,old,"sasaɣai sau","old (person)",,,
143505,162,old,"maleɣoni sau","old (thing)",,x,
143506,163,new,vaɔlu,new,,1,
143507,164,good,ndɔu,good,,54,
143508,165,"bad, evil",sekɔ,bad,,50,
143509,166,"correct, true",ɣɔtɔ,correct,,13,
143510,167,night,mbɔŋi,night,,1,
143511,168,day,ndaŋi,day,,6,
143512,169,year,uvi,year,,41,
143513,170,when?,ŋisa,when?,,"1,24",
143514,173,at,ai,at,,,
143515,174,"in, inside",lalɔ-na,in,,1,
143516,176,below,vava-na,below,,1,
143517,177,this,ini,this,,1,
143518,179,near,varaŋi,near,,"1, 74",
143519,180,far,aɔ-na,far,,"1, 56",
143520,181,where?,vai,where?,,3,
143521,182,I,nau,"I (1sg)",,"1, 22",
143527,183,thou,ɣɔe,"you (2sg)",,s,
143522,184,he/she,ia,he,,1,
143523,185,we,taruka,"we (1du.incl)",,1,
143524,185,we,ɣami,"we (1pl.excl)",,2,
143525,185,we,ɣita,"we (1pl.incl)",,1,
143526,185,we,"ɣami ruka","we (1du.excl)",,2,
143528,186,you,-mu,"your (2sg.poss)",,x,
143529,186,you,-miu,"your (2pl.poss)",,x,
143530,186,you,ɣamuruka,"you (2du)",,x,
143531,186,you,ɣamu,"you (2pl)",,1,
143532,187,they,ruka,"they (3du)",,x,
143533,187,they,ɣira,"they (3pl)",,"1, 69",
143534,188,what?,sava,what?,,1,
143535,189,who?,sei,who?,,1,
143536,192,and,mai,and,,"2, 46",
143537,193,if,tini,if,,51,
143538,194,how?,visa,how?,,,
143539,195,"no, not",taɣara,no,,77,
143540,196,"to count",iču,count,,46,
143541,197,One,čikai,one,,42,
143542,197,One,kɛsa,one,,32,
143543,198,Two,ruka,"two; irregular medial -k-",,"1, 21",
143544,199,Three,tɔlu,three,,1,
143545,200,Four,vati,four,,"1,65",
143546,201,Five,čeɣe,five,,16,
143547,202,Six,ɔnɔ,six,,1,
143548,203,Seven,vitu,seven,,1,
143549,204,Eight,alu,eight,,3,
143550,205,Nine,siu,"nine; irregular loss of *a",,5,
143551,206,Ten,saŋavulu,ten,,5,
143552,209,"One Hundred","čika saŋatu","one hundred; irregular loss of *R",,"4, 38",
143553,210,"One Thousand","čikai tɔɣa","one thousand",,27,
